#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
 |"h:m:s"|"d:m:s"|mag|mag|mag|mag|mag|mag|mas/yr|mas/yr|mas/yr|mas/yr|%
----|-----------|------------|------|------|------|------|------|------|------|----|------|----|---
   1|19 40 24.59|+40 03 18.58|20.440| 0.046|      |      | 1.496| 0.111|  -8.5| 5.5|  -2.2| 5.5| 85
   2|19 40 24.65|+40 09 40.85|18.709| 0.010| 0.211| 0.060| 0.753| 0.018|  -0.6| 7.8|  -0.7| 7.8| 94
   3|19 40 24.66|+40 09 58.24|19.883| 0.026|      |      | 1.484| 0.068|-105.1| 6.2|-171.7| 6.2|  0
   4|19 40 24.73|+40 13 41.68|20.387| 0.041|      |      | 1.536| 0.110|      |    |      |    |
   5|19 40 24.75|+40 07 04.94|18.102| 0.006| 0.540| 0.052| 0.939| 0.012|   2.0| 4.0|   1.5| 4.0| 44
   6|19 40 24.76|+40 15 16.11|20.511| 0.046|      |      | 1.268| 0.107|      |    |      |    |
   7|19 40 24.77|+40 09 32.64|18.275| 0.007| 0.086| 0.037| 0.708| 0.012|   0.9| 5.1|   1.6| 5.1| 66
   8|19 40 24.79|+40 16 14.38|19.687| 0.023|      |      | 0.864| 0.041|   0.6| 6.0|   3.9| 6.0| 64
   9|19 40 24.80|+40 11 03.59|18.294| 0.007| 0.344| 0.048| 0.793| 0.013|   1.1| 5.3|   4.2| 5.3| 52
  10|19 40 24.82|+40 06 42.84|16.962| 0.003| 0.218| 0.014| 0.623| 0.005|  -5.8| 4.5|  -1.8| 4.5| 94
  11|19 40 24.83|+40 13 53.85|18.916| 0.012| 0.018| 0.055| 0.557| 0.019|  35.1| 5.3| -26.9| 5.3|  0
  12|19 40 24.83|+40 12 08.11|16.160| 0.002| 0.116| 0.008| 0.630| 0.003|  -8.1| 4.0|  -0.2| 4.0| 69
  13|19 40 24.92|+40 02 26.33|18.070| 0.006| 0.101| 0.035| 0.772| 0.011|   4.8| 4.5| -13.7| 4.5| 13
  14|19 40 24.92|+40 15 39.48|17.319| 0.004| 0.349| 0.022| 0.751| 0.007|  -5.8| 4.5|  -1.4| 4.5| 93
  15|19 40 24.95|+40 03 58.25|20.146| 0.034|      |      | 1.427| 0.080|  -2.4| 6.9|   0.4| 6.9| 93
  16|19 40 24.95|+40 10 09.17|20.318| 0.038|      |      | 1.551| 0.103| -27.9| 6.9|  50.6| 6.9|  0
  17|19 40 24.97|+40 02 13.61|15.917| 0.005| 0.160| 0.011| 0.660| 0.006|  24.6| 3.9| -32.3| 3.9|  0
  18|19 40 24.97|+40 12 47.20|19.323| 0.016|      |      | 0.804| 0.029|  -1.8| 6.0|  -4.1| 6.0| 97
  19|19 40 24.99|+40 13 10.61|19.518| 0.019|      |      | 1.665| 0.056|   2.9| 5.8|  -8.1| 5.8| 63
  20|19 40 24.99|+40 07 45.61|19.652| 0.021|      |      | 0.855| 0.039|  -3.3| 7.3|  -0.6| 7.3| 97
  21|19 40 25.00|+40 12 57.27|17.732| 0.005| 0.196| 0.026| 0.665| 0.008|  -4.3| 4.8|   3.4| 4.8| 65
  22|19 40 25.00|+40 16 02.61|15.275| 0.004| 0.295| 0.008| 0.784| 0.004|  10.2| 3.9|  -5.7| 3.9|  5
  23|19 40 25.03|+40 18 56.24|19.379| 0.018|      |      | 1.524| 0.047|  -7.9| 5.8| -22.8| 5.8|  7
  24|19 40 25.04|+40 14 01.65|16.631| 0.002| 0.139| 0.012| 0.685| 0.004|  -4.6| 4.0|   2.9| 4.0| 58
  25|19 40 25.04|+40 00 53.63|18.362| 0.008| 0.465| 0.059| 0.827| 0.014|  -9.1| 4.7|  -4.1| 4.7| 76
  26|19 40 25.06|+40 04 46.33|19.748| 0.024|      |      | 1.057| 0.046|  -2.8| 6.9|  -6.3| 6.9| 95
  27|19 40 25.08|+40 03 00.68|18.921| 0.012| 0.490| 0.086| 0.712| 0.020|  -1.0| 5.3|  -0.1| 5.3| 86
  28|19 40 25.13|+40 14 52.05|20.092| 0.031|      |      | 1.062| 0.064|  -1.8| 7.3|  14.4| 7.3| 27
  29|19 40 25.16|+40 01 00.22|18.048| 0.006| 0.546| 0.049| 0.867| 0.011| -11.9| 4.2|  -5.7| 4.2| 42
  30|19 40 25.18|+40 04 35.31|19.223| 0.015|      |      | 1.008| 0.029|  -4.1| 6.7|  -7.4| 6.7| 92
  31|19 40 25.20|+40 19 53.57|20.500| 0.049|      |      | 1.336| 0.113|      |    |      |    |
  32|19 40 25.25|+40 07 32.53|17.399| 0.004| 0.336| 0.023| 0.775| 0.007|  -3.3| 4.3|  -3.5| 4.3| 99
  33|19 40 25.29|+40 15 28.43|19.530| 0.019| 0.248| 0.115| 0.619| 0.032|  -2.4| 7.3|  -5.2| 7.3| 97
  34|19 40 25.33|+40 12 44.00|19.378| 0.017| 0.366| 0.107| 0.616| 0.028|   0.7| 6.0|  -4.5| 6.0| 86
  35|19 40 25.33|+40 08 09.29|19.722| 0.023|      |      | 1.335| 0.053|   9.8| 6.7|  -9.9| 6.7| 31
  36|19 40 25.35|+40 06 03.30|20.704| 0.055|      |      | 1.543| 0.141|      |    |      |    |
  37|19 40 25.37|+40 10 45.07|19.226| 0.015| 0.035| 0.077| 0.659| 0.025|  -6.5| 5.3|  -5.7| 5.3| 91
  38|19 40 25.38|+40 14 35.22|14.782| 0.003| 0.026| 0.005| 0.586| 0.003|  -2.3| 3.9|  -2.0| 3.9| 94
  39|19 40 25.41|+40 17 57.81|18.208| 0.007| 0.382| 0.050| 0.856| 0.013|  -3.2| 4.3| -20.9| 4.9|  6
  40|19 40 25.42|+40 10 17.97|17.594| 0.004| 0.799| 0.045| 1.057| 0.009| -12.6| 4.2|   7.7| 4.2|  9
  41|19 40 25.45|+40 04 54.60|16.791| 0.003| 0.218| 0.014| 0.724| 0.005|   1.2| 4.2|  -1.7| 4.2| 69
  42|19 40 25.45|+40 03 08.81|16.745| 0.003| 0.316| 0.015| 0.767| 0.005|  -4.1| 4.0|   0.8| 4.0| 79
  43|19 40 25.46|+40 16 43.44|19.681| 0.023| 0.231| 0.153| 0.782| 0.040|   6.9| 6.7|   8.4| 6.7| 28
  44|19 40 25.46|+40 06 54.95|19.403| 0.017| 0.174| 0.112| 0.825| 0.031|  -4.7| 5.3|  -4.5| 5.3| 98
  45|19 40 25.50|+40 10 03.21|20.290| 0.036|      |      | 0.961| 0.071| 150.4| 7.3|-165.7| 7.3|  0
  46|19 40 25.51|+40 18 30.11|17.841| 0.005| 0.634| 0.043| 0.815| 0.010|  -5.1| 4.5|   6.5| 4.5| 34
  47|19 40 25.54|+40 18 16.69|17.887| 0.006| 1.424| 0.116| 1.268| 0.012|  -5.2| 4.0|   0.4| 4.0| 81
  48|19 40 25.55|+40 02 49.86|19.971| 0.029|-0.100| 0.147| 0.763| 0.048|  -1.8| 7.3|  -5.9| 7.3| 95
  49|19 40 25.59|+40 19 33.10|19.884| 0.028|      |      | 1.002| 0.054|      |    |      |    |
  50|19 40 25.61|+40 06 26.01|16.254| 0.002| 0.557| 0.014| 0.998| 0.004|  -2.5| 3.9|   0.4| 3.9| 79
