# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Dec 10 23:24:41 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.017873 0.09000 9.39794 0.0900000036 1.0816895962    0.090 -3.432  3.3575  5.206    0 13.350 22.461 19.941 18.135 16.023 13.793 11.271 10.665 10.366
0.017873 0.09000 9.39794 0.0955582857 1.1328942776    0.096 -3.332  3.3714  5.188    0 13.100 22.176 19.676 17.875 15.770 13.543 11.022 10.416 10.115
0.017873 0.09000 9.39794 0.1000000015 1.1711064577    0.100 -3.256  3.3819  5.174    0 12.910 21.959 19.474 17.678 15.578 13.353 10.832 10.227 9.925
0.017873 0.09000 9.39794 0.1200000048 1.3193155527    0.120 -3.000  3.4146  5.128    1 12.271 21.233 18.798 17.015 14.931 12.714 10.194 9.591 9.284
0.017873 0.09000 9.39794 0.1300523877 1.3821759224    0.130 -2.903  3.4259  5.110    0 12.027 20.482 18.211 16.464 14.488 12.347 9.970 9.367 9.058
0.017873 0.09000 9.39794 0.1400000006 1.4384527206    0.140 -2.813  3.4362  5.094    0 11.803 19.702 17.598 15.897 14.041 11.985 9.770 9.166 8.859
0.017873 0.09000 9.39794 0.1599999964 1.5372931957    0.160 -2.671  3.4501  5.066    1 11.448 18.670 16.759 15.119 13.408 11.463 9.447 8.841 8.538
0.017873 0.09000 9.39794 0.2000000030 1.6938791275    0.200 -2.456  3.4689  5.023    1 10.911 17.316 15.627 14.045 12.518 10.737 8.954 8.346 8.052
0.017873 0.09000 9.39794 0.2500000000 1.8403258324    0.250 -2.253  3.4854  4.982    0 10.402 16.204 14.664 13.123 11.732 10.096 8.485 7.874 7.592
0.017873 0.09000 9.39794 0.3000000119 1.9529139996    0.300 -2.093  3.4970  4.948    1 10.003 15.443 13.986 12.472 11.162 9.622 8.114 7.500 7.228
0.017873 0.09000 9.39794 0.3423470259 2.0306932926    0.342 -1.956  3.5045  4.899    0 9.660 14.882 13.478 11.990 10.727 9.241 7.788 7.170 6.904
0.017873 0.09000 9.39794 0.3500000238 2.0434176922    0.350 -1.935  3.5060  4.893    0 9.608 14.791 13.395 11.911 10.657 9.181 7.739 7.120 6.856
0.017873 0.09000 9.39794 0.3589147627 2.0577912331    0.359 -1.907  3.5080  4.885    0 9.539 14.669 13.283 11.805 10.563 9.101 7.675 7.054 6.792
0.017873 0.09000 9.39794 0.3682574332 2.0723652840    0.368 -1.880  3.5102  4.877    0 9.469 14.545 13.170 11.698 10.468 9.021 7.610 6.989 6.729
0.017873 0.09000 9.39794 0.4000000358 2.1185026169    0.400 -1.793  3.5173  4.854    0 9.252 14.167 12.818 11.361 10.168 8.772 7.410 6.783 6.529
0.017873 0.09000 9.39794 0.4499999881 2.1822810173    0.450 -1.645  3.5293  4.805    1 8.883 13.558 12.242 10.813 9.677 8.358 7.071 6.433 6.190
0.017873 0.09000 9.39794 0.5000000000 2.2374541759    0.500 -1.494  3.5432  4.756    1 8.505 12.960 11.654 10.253 9.173 7.936 6.728 6.078 5.846
