# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Dec 11 01:17:07 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.45, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.017873 0.09000 9.39794 0.0900000036 1.0816895962    0.090 -3.432  3.3575  5.206    0 13.350 23.147 20.495 18.580 16.338 14.052 11.401 10.747 10.418
0.017873 0.09000 9.39794 0.0955582857 1.1328942776    0.096 -3.332  3.3714  5.188    0 13.100 22.862 20.230 18.320 16.084 13.802 11.151 10.498 10.167
0.017873 0.09000 9.39794 0.1000000015 1.1711064577    0.100 -3.256  3.3819  5.174    0 12.910 22.645 20.029 18.123 15.892 13.612 10.962 10.309 9.976
0.017873 0.09000 9.39794 0.1200000048 1.3193155527    0.120 -3.000  3.4146  5.128    1 12.271 21.919 19.353 17.461 15.246 12.973 10.324 9.673 9.335
0.017873 0.09000 9.39794 0.1300523877 1.3821759224    0.130 -2.903  3.4259  5.110    0 12.027 21.167 18.768 16.909 14.806 12.607 10.100 9.449 9.110
0.017873 0.09000 9.39794 0.1400000006 1.4384527206    0.140 -2.813  3.4362  5.094    0 11.803 20.388 18.158 16.343 14.362 12.246 9.900 9.248 8.910
0.017873 0.09000 9.39794 0.1599999964 1.5372931957    0.160 -2.671  3.4501  5.066    1 11.448 19.356 17.321 15.564 13.733 11.725 9.577 8.923 8.590
0.017873 0.09000 9.39794 0.2000000030 1.6938791275    0.200 -2.456  3.4689  5.023    1 10.911 18.001 16.193 14.491 12.849 11.001 9.084 8.428 8.103
0.017873 0.09000 9.39794 0.2500000000 1.8403258324    0.250 -2.253  3.4854  4.982    0 10.402 16.889 15.232 13.568 12.067 10.360 8.615 7.956 7.643
0.017873 0.09000 9.39794 0.3000000119 1.9529139996    0.300 -2.093  3.4970  4.948    1 10.003 16.128 14.554 12.917 11.500 9.888 8.244 7.582 7.279
0.017873 0.09000 9.39794 0.3423470259 2.0306932926    0.342 -1.956  3.5045  4.899    0 9.660 15.567 14.047 12.434 11.066 9.506 7.918 7.252 6.956
0.017873 0.09000 9.39794 0.3500000238 2.0434176922    0.350 -1.935  3.5060  4.893    0 9.608 15.476 13.964 12.356 10.997 9.447 7.870 7.202 6.908
0.017873 0.09000 9.39794 0.3589147627 2.0577912331    0.359 -1.907  3.5080  4.885    0 9.539 15.353 13.852 12.250 10.903 9.367 7.805 7.136 6.844
0.017873 0.09000 9.39794 0.3682574332 2.0723652840    0.368 -1.880  3.5102  4.877    0 9.469 15.229 13.739 12.142 10.809 9.287 7.740 7.071 6.780
0.017873 0.09000 9.39794 0.4000000358 2.1185026169    0.400 -1.793  3.5173  4.854    0 9.252 14.852 13.388 11.806 10.510 9.038 7.540 6.865 6.581
0.017873 0.09000 9.39794 0.4499999881 2.1822810173    0.450 -1.645  3.5293  4.805    1 8.883 14.243 12.812 11.258 10.022 8.624 7.201 6.516 6.242
0.017873 0.09000 9.39794 0.5000000000 2.2374541759    0.500 -1.494  3.5432  4.756    1 8.505 13.645 12.224 10.697 9.520 8.203 6.858 6.160 5.897
0.017873 0.09000 9.39794 0.5026826262 2.2402026653    0.503 -1.485  3.5442  4.753    1 8.483 13.609 12.188 10.662 9.489 8.178 6.838 6.139 5.877
0.017873 0.09000 9.39794 0.5500000119 2.2836582661    0.550 -1.334  3.5611  4.709    1 8.105 13.019 11.581 10.072 8.959 7.757 6.506 5.793 5.546
0.017873 0.09000 9.39794 0.6000000238 2.3211214542    0.600 -1.173  3.5835  4.675    1 7.702 12.380 10.899 9.405 8.358 7.311 6.165 5.434 5.213
0.017873 0.09000 9.39794 0.6499999762 2.3520355225    0.650 -1.010  3.6104  4.655    1 7.296 11.719 10.180 8.736 7.756 6.873 5.824 5.084 4.904
0.017873 0.09000 9.39794 0.6694127321 2.3626165390    0.669 -0.948  3.6216  4.650    1 7.141 11.441 9.890 8.478 7.527 6.707 5.695 4.962 4.798
0.017873 0.09000 9.39794 0.7000000477 2.3779268265    0.700 -0.854  3.6388  4.644    1 6.904 10.966 9.434 8.088 7.185 6.461 5.503 4.784 4.645
0.017873 0.09000 9.39794 0.7389213443 2.3953170776    0.739 -0.734  3.6624  4.643    1 6.606 10.175 8.822 7.586 6.767 6.147 5.272 4.614 4.495
0.017873 0.09000 9.39794 0.7500000000 2.3998889923    0.750 -0.701  3.6689  4.642    1 6.523 9.947 8.658 7.454 6.660 6.060 5.209 4.571 4.456
0.017873 0.09000 9.39794 0.7992638946 2.4184668064    0.799 -0.569  3.6891  4.617    1 6.191 9.169 8.092 6.984 6.269 5.720 4.940 4.368 4.263
0.017873 0.09000 9.39794 0.8412859440 2.4323523045    0.841 -0.459  3.7056  4.596    1 5.917 8.558 7.656 6.618 5.963 5.448 4.723 4.201 4.103
0.017873 0.09000 9.39794 0.8485277891 2.4345860481    0.848 -0.441  3.7084  4.593    1 5.871 8.458 7.584 6.558 5.912 5.402 4.687 4.172 4.076
0.017873 0.09000 9.39794 0.8584411740 2.4375736713    0.858 -0.415  3.7120  4.587    1 5.808 8.326 7.489 6.478 5.844 5.341 4.637 4.133 4.038
0.017873 0.09000 9.39794 0.8977917433 2.4486880302    0.897 -0.318  3.7261  4.565    1 5.564 7.828 7.131 6.175 5.583 5.104 4.445 3.978 3.889
0.017873 0.09000 9.39794 0.9130152464 2.4526934624    0.912 -0.280  3.7311  4.555    1 5.471 7.648 7.000 6.062 5.485 5.014 4.371 3.918 3.830
0.017873 0.09000 9.39794 0.9470555782 2.4611163139    0.947 -0.198  3.7421  4.533    1 5.266 7.259 6.714 5.820 5.274 4.822 4.212 3.786 3.703
0.017873 0.09000 9.39794 0.9769814610 2.4679663181    0.977 -0.127  3.7509  4.511    1 5.089 6.926 6.474 5.617 5.098 4.659 4.074 3.668 3.590
