# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Dec 10 23:55:02 CET 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.4, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.017873 0.09000 9.39794 0.0900000036 1.0816895962    0.090 -3.432  3.3575  5.206    0 13.350 23.071 20.434 18.530 16.303 14.024 11.387 10.738 10.412
0.017873 0.09000 9.39794 0.0955582857 1.1328942776    0.096 -3.332  3.3714  5.188    0 13.100 22.786 20.168 18.271 16.049 13.773 11.137 10.489 10.161
0.017873 0.09000 9.39794 0.1000000015 1.1711064577    0.100 -3.256  3.3819  5.174    0 12.910 22.569 19.967 18.073 15.857 13.583 10.947 10.300 9.970
0.017873 0.09000 9.39794 0.1200000048 1.3193155527    0.120 -3.000  3.4146  5.128    1 12.271 21.843 19.291 17.411 15.211 12.944 10.310 9.664 9.329
0.017873 0.09000 9.39794 0.1300523877 1.3821759224    0.130 -2.903  3.4259  5.110    0 12.027 21.091 18.706 16.860 14.771 12.578 10.086 9.439 9.104
0.017873 0.09000 9.39794 0.1400000006 1.4384527206    0.140 -2.813  3.4362  5.094    0 11.803 20.312 18.096 16.293 14.326 12.217 9.886 9.239 8.904
0.017873 0.09000 9.39794 0.1599999964 1.5372931957    0.160 -2.671  3.4501  5.066    1 11.448 19.279 17.258 15.514 13.697 11.696 9.562 8.914 8.584
0.017873 0.09000 9.39794 0.2000000030 1.6938791275    0.200 -2.456  3.4689  5.023    1 10.911 17.925 16.130 14.441 12.812 10.972 9.069 8.419 8.098
0.017873 0.09000 9.39794 0.2500000000 1.8403258324    0.250 -2.253  3.4854  4.982    0 10.402 16.813 15.169 13.518 12.029 10.331 8.600 7.947 7.637
0.017873 0.09000 9.39794 0.3000000119 1.9529139996    0.300 -2.093  3.4970  4.948    1 10.003 16.052 14.491 12.868 11.462 9.858 8.230 7.573 7.273
0.017873 0.09000 9.39794 0.3423470259 2.0306932926    0.342 -1.956  3.5045  4.899    0 9.660 15.491 13.984 12.385 11.029 9.477 7.904 7.243 6.950
0.017873 0.09000 9.39794 0.3500000238 2.0434176922    0.350 -1.935  3.5060  4.893    0 9.608 15.400 13.901 12.306 10.959 9.417 7.855 7.193 6.902
0.017873 0.09000 9.39794 0.3589147627 2.0577912331    0.359 -1.907  3.5080  4.885    0 9.539 15.277 13.789 12.200 10.865 9.338 7.790 7.127 6.838
0.017873 0.09000 9.39794 0.3682574332 2.0723652840    0.368 -1.880  3.5102  4.877    0 9.469 15.153 13.676 12.093 10.771 9.258 7.726 7.062 6.774
0.017873 0.09000 9.39794 0.4000000358 2.1185026169    0.400 -1.793  3.5173  4.854    0 9.252 14.776 13.325 11.756 10.472 9.009 7.526 6.856 6.575
0.017873 0.09000 9.39794 0.4499999881 2.1822810173    0.450 -1.645  3.5293  4.805    1 8.883 14.167 12.749 11.208 9.983 8.595 7.187 6.506 6.236
0.017873 0.09000 9.39794 0.5000000000 2.2374541759    0.500 -1.494  3.5432  4.756    1 8.505 13.569 12.161 10.648 9.481 8.173 6.843 6.151 5.891
0.017873 0.09000 9.39794 0.5026826262 2.2402026653    0.503 -1.485  3.5442  4.753    1 8.483 13.532 12.124 10.613 9.450 8.148 6.824 6.130 5.872
0.017873 0.09000 9.39794 0.5500000119 2.2836582661    0.550 -1.334  3.5611  4.709    1 8.105 12.943 11.518 10.023 8.921 7.727 6.492 5.784 5.540
0.017873 0.09000 9.39794 0.6000000238 2.3211214542    0.600 -1.173  3.5835  4.675    1 7.702 12.304 10.835 9.355 8.319 7.281 6.150 5.425 5.207
0.017873 0.09000 9.39794 0.6499999762 2.3520355225    0.650 -1.010  3.6104  4.655    1 7.296 11.643 10.116 8.687 7.717 6.843 5.810 5.075 4.899
