# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 07:25:57 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.84510 0.0900000036 1.0816895962    0.090 -3.422  3.3633  5.219    1  0.000  0.545     0.00     0.00 -1  -3.9e-17      0.00 7.099e-01 2.753e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 13.325 22.761 20.093 18.235 16.052 13.790 11.276 10.654 10.363
0.01471 0.00000 9.84510 0.1000000015 1.1711064577    0.100 -3.238  3.3895  5.186    1  0.000  0.545     0.00     0.00 -1 -5.87e-17      0.00 7.096e-01 2.756e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.865 22.239 19.606 17.758 15.587 13.331 10.818 10.197 9.902
0.01471 0.00000 9.84510 0.1138702929 1.2775208950    0.114 -3.048  3.4146  5.153    1  0.000  0.545     0.00     0.00 -1 -8.84e-17      0.00 7.092e-01 2.761e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.391 21.702 19.105 17.266 15.107 12.857 10.344 9.724 9.425
0.01471 0.00000 9.84510 0.1200000048 1.3193155527    0.120 -2.972  3.4247  5.140    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.090e-01 2.762e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 12.199 21.066 18.615 16.805 14.744 12.561 10.171 9.550 9.248
0.01471 0.00000 9.84510 0.1400000006 1.4384527206    0.140 -2.789  3.4446  5.103    1  0.000  0.545     0.00     0.00 -1 -1.53e-16      0.00 7.085e-01 2.768e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.743 19.555 17.422 15.698 13.870 11.853 9.761 9.138 8.835
0.01471 0.00000 9.84510 0.1523680389 1.5015743971    0.152 -2.699  3.4532  5.085    1  0.000  0.545     0.00     0.00 -1 -1.85e-16      0.00 7.081e-01 2.771e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.519 18.914 16.901 15.209 13.475 11.533 9.558 8.934 8.632
0.01471 0.00000 9.84510 0.1599999964 1.5372931957    0.160 -2.648  3.4582  5.075    1  0.000  0.545     0.00     0.00 -1 -2.05e-16      0.00 7.080e-01 2.773e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.389 18.548 16.604 14.925 13.246 11.351 9.442 8.816 8.516
0.01471 0.00000 9.84510 0.2000000030 1.6938791275    0.200 -2.430  3.4769  5.029    1  0.000  0.545     0.00     0.00 -1  -3.2e-16      0.00 7.071e-01 2.781e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.845 17.216 15.487 13.866 12.369 10.640 8.942 8.315 8.024
0.01471 0.00000 9.84510 0.2500000000 1.8403258324    0.250 -2.220  3.4932  4.981    1  0.000  0.545     0.00     0.00 -1 -4.88e-16      0.00 7.064e-01 2.788e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.321 16.110 14.527 12.941 11.577 10.001 8.460 7.830 7.549
0.01471 0.00000 9.84510 0.3000000119 1.9529139996    0.300 -2.057  3.5038  4.940    1  0.000  0.545     0.00     0.00 -1 -2.32e-16      0.00 7.061e-01 2.791e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.913 15.382 13.877 12.323 11.031 9.536 8.076 7.444 7.172
