# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 22:45:58 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.87506 0.0900000036 1.0816895962    0.090 -3.422  3.3633  5.219    1 13.324 23.963 19.311 17.530 14.981 13.441
0.01471 0.00000 9.87506 0.1000000015 1.1711064577    0.100 -3.238  3.3895  5.186    1 12.865 23.439 18.830 17.061 14.519 12.983
0.01471 0.00000 9.87506 0.1200000048 1.3193155527    0.120 -2.971  3.4248  5.140    1 12.199 22.247 17.867 16.140 13.710 12.266
0.01471 0.00000 9.87506 0.1400000006 1.4384527206    0.140 -2.789  3.4447  5.103    1 11.742 20.704 16.738 15.095 12.920 11.686
0.01471 0.00000 9.87506 0.1599999964 1.5372931957    0.160 -2.647  3.4582  5.074    1 11.389 19.676 15.958 14.349 12.366 11.261
0.01471 0.00000 9.87506 0.2000000030 1.6938791275    0.200 -2.429  3.4770  5.028    1 10.843 18.318 14.886 13.321 11.593 10.635
0.01471 0.00000 9.87506 0.2500000000 1.8403258324    0.250 -2.219  3.4933  4.980    1 10.318 17.191 13.955 12.408 10.900 10.058
0.01471 0.00000 9.87506 0.3000000119 1.9529139996    0.300 -2.056  3.5038  4.938    1 9.909 16.452 13.323 11.804 10.408 9.624
0.01471 0.00000 9.87506 0.3500000238 2.0434176922    0.350 -1.905  3.5124  4.889    1 9.533 15.829 12.778 11.284 9.970 9.231
0.01471 0.00000 9.87506 0.4000000358 2.1185026169    0.400 -1.761  3.5235  4.847    1 9.172 15.206 12.224 10.754 9.539 8.853
0.01471 0.00000 9.87506 0.4500000179 2.1822810173    0.450 -1.611  3.5358  4.797    1 8.797 14.590 11.658 10.215 9.098 8.465
0.01471 0.00000 9.87506 0.5000000000 2.2374541759    0.500 -1.453  3.5511  4.746    1 8.402 13.953 11.051 9.632 8.629 8.060
0.01471 0.00000 9.87506 0.5250934958 2.2619073391    0.525 -1.364  3.5613  4.719    1 8.179 13.597 10.698 9.287 8.362 7.835
0.01471 0.00000 9.87506 0.5500000119 2.2836582661    0.550 -1.279  3.5710  4.693    1 7.968 13.269 10.365 8.960 8.109 7.624
0.01471 0.00000 9.87506 0.5713286996 2.3005619049    0.571 -1.204  3.5818  4.678    1 7.780 12.961 10.051 8.654 7.880 7.439
0.01471 0.00000 9.87506 0.6000000238 2.3211214542    0.600 -1.108  3.5956  4.658    1 7.539 12.579 9.658 8.281 7.595 7.204
0.01471 0.00000 9.87506 0.6435074210 2.3483324051    0.643 -0.955  3.6217  4.641    1 7.159 11.929 8.995 7.687 7.144 6.837
0.01471 0.00000 9.87506 0.6499999762 2.3520355225    0.650 -0.934  3.6255  4.638    1 7.104 11.828 8.896 7.603 7.080 6.785
0.01471 0.00000 9.87506 0.7000000477 2.3779268265    0.700 -0.765  3.6558  4.623    1 6.682 10.850 8.108 6.967 6.594 6.382
0.01471 0.00000 9.87506 0.7089517117 2.3821210861    0.709 -0.735  3.6611  4.620    1 6.608 10.647 7.970 6.862 6.509 6.310
0.01471 0.00000 9.87506 0.7390447855 2.3953688145    0.739 -0.637  3.6786  4.610    1 6.361 9.982 7.531 6.539 6.238 6.070
0.01471 0.00000 9.87506 0.7500000000 2.3998889923    0.750 -0.601  3.6848  4.605    1 6.273 9.760 7.383 6.429 6.143 5.985
