# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Oct 21 22:40:54 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.87506 0.0900000036 1.0816895962    0.090 -3.422  3.3633  5.219    1 13.324 25.217 20.233 18.208 15.496 13.819
0.01471 0.00000 9.87506 0.1000000015 1.1711064577    0.100 -3.238  3.3895  5.186    1 12.865 24.692 19.752 17.739 15.034 13.361
0.01471 0.00000 9.87506 0.1200000048 1.3193155527    0.120 -2.971  3.4248  5.140    1 12.199 23.499 18.791 16.820 14.227 12.646
0.01471 0.00000 9.87506 0.1400000006 1.4384527206    0.140 -2.789  3.4447  5.103    1 11.742 21.953 17.666 15.777 13.441 12.068
0.01471 0.00000 9.87506 0.1599999964 1.5372931957    0.160 -2.647  3.4582  5.074    1 11.389 20.923 16.888 15.033 12.890 11.644
0.01471 0.00000 9.87506 0.2000000030 1.6938791275    0.200 -2.429  3.4770  5.028    1 10.843 19.563 15.820 14.007 12.120 11.020
0.01471 0.00000 9.87506 0.2500000000 1.8403258324    0.250 -2.219  3.4933  4.980    1 10.318 18.435 14.891 13.095 11.430 10.444
0.01471 0.00000 9.87506 0.3000000119 1.9529139996    0.300 -2.056  3.5038  4.938    1 9.909 17.695 14.261 12.492 10.938 10.011
0.01471 0.00000 9.87506 0.3500000238 2.0434176922    0.350 -1.905  3.5124  4.889    1 9.533 17.072 13.717 11.972 10.502 9.618
0.01471 0.00000 9.87506 0.4000000358 2.1185026169    0.400 -1.761  3.5235  4.847    1 9.172 16.449 13.164 11.443 10.072 9.241
0.01471 0.00000 9.87506 0.4500000179 2.1822810173    0.450 -1.611  3.5358  4.797    1 8.797 15.832 12.600 10.905 9.632 8.854
0.01471 0.00000 9.87506 0.5000000000 2.2374541759    0.500 -1.453  3.5511  4.746    1 8.402 15.196 11.995 10.323 9.165 8.450
0.01471 0.00000 9.87506 0.5250934958 2.2619073391    0.525 -1.364  3.5613  4.719    1 8.179 14.840 11.641 9.978 8.898 8.225
0.01471 0.00000 9.87506 0.5500000119 2.2836582661    0.550 -1.279  3.5710  4.693    1 7.968 14.512 11.309 9.651 8.646 8.013
0.01471 0.00000 9.87506 0.5713286996 2.3005619049    0.571 -1.204  3.5818  4.678    1 7.780 14.205 10.996 9.346 8.418 7.829
0.01471 0.00000 9.87506 0.6000000238 2.3211214542    0.600 -1.108  3.5956  4.658    1 7.539 13.823 10.604 8.973 8.134 7.595
0.01471 0.00000 9.87506 0.6435074210 2.3483324051    0.643 -0.955  3.6217  4.641    1 7.159 13.176 9.943 8.380 7.685 7.228
0.01471 0.00000 9.87506 0.6499999762 2.3520355225    0.650 -0.934  3.6255  4.638    1 7.104 13.076 9.845 8.296 7.622 7.176
0.01471 0.00000 9.87506 0.7000000477 2.3779268265    0.700 -0.765  3.6558  4.623    1 6.682 12.103 9.061 7.661 7.137 6.774
0.01471 0.00000 9.87506 0.7089517117 2.3821210861    0.709 -0.735  3.6611  4.620    1 6.608 11.901 8.923 7.556 7.053 6.701
0.01471 0.00000 9.87506 0.7390447855 2.3953688145    0.739 -0.637  3.6786  4.610    1 6.361 11.237 8.486 7.233 6.782 6.462
0.01471 0.00000 9.87506 0.7500000000 2.3998889923    0.750 -0.601  3.6848  4.605    1 6.273 11.016 8.339 7.124 6.688 6.378
0.01471 0.00000 9.87506 0.7698094845 2.4076881409    0.770 -0.540  3.6939  4.592    1 6.119 10.667 8.102 6.943 6.527 6.232
0.01471 0.00000 9.87506 0.7954584360 2.4171259403    0.795 -0.461  3.7055  4.573    1 5.922 10.227 7.810 6.717 6.325 6.046
0.01471 0.00000 9.87506 0.8000000119 2.4187245369    0.800 -0.447  3.7075  4.570    1 5.887 10.152 7.760 6.677 6.289 6.013
0.01471 0.00000 9.87506 0.8103638291 2.4222958088    0.810 -0.415  3.7119  4.562    1 5.808 9.985 7.648 6.589 6.209 5.939
0.01471 0.00000 9.87506 0.8336469531 2.4299476147    0.833 -0.344  3.7216  4.541    1 5.630 9.620 7.403 6.394 6.031 5.774
0.01471 0.00000 9.87506 0.8500000238 2.4350347519    0.850 -0.294  3.7282  4.526    1 5.505 9.377 7.239 6.260 5.907 5.659
0.01471 0.00000 9.87506 0.8532322049 2.4360136986    0.853 -0.284  3.7295  4.523    1 5.481 9.330 7.207 6.233 5.882 5.636
0.01471 0.00000 9.87506 0.8748574853 2.4423501492    0.874 -0.218  3.7375  4.499    1 5.314 9.024 6.993 6.057 5.720 5.484
0.01471 0.00000 9.87506 0.8951841593 2.4479863644    0.895 -0.155  3.7447  4.475    1 5.158 8.735 6.796 5.895 5.570 5.343
0.01471 0.00000 9.87506 0.8999999762 2.4492788315    0.899 -0.140  3.7463  4.469    1 5.121 8.667 6.750 5.858 5.535 5.310
0.01471 0.00000 9.87506 0.9020283818 2.4498183727    0.901 -0.134  3.7470  4.467    1 5.105 8.639 6.731 5.842 5.520 5.296
0.01471 0.00000 9.87506 0.9142984748 2.4530241489    0.914 -0.095  3.7509  4.450    1 5.009 8.473 6.615 5.744 5.429 5.209
0.01471 0.00000 9.87506 0.9261655211 2.4560317993    0.926 -0.058  3.7545  4.432    1 4.915 8.322 6.505 5.650 5.340 5.125
0.01471 0.00000 9.87506 0.9479784369 2.4613349438    0.947  0.011  3.7606  4.398    1 4.742 8.050 6.303 5.476 5.175 4.967
0.01471 0.00000 9.87506 0.9499999881 2.4618122578    0.950  0.018  3.7612  4.394    1 4.725 8.025 6.284 5.460 5.160 4.952
0.01471 0.00000 9.87506 0.9584422112 2.4637806416    0.958  0.045  3.7633  4.379    1 4.656 7.926 6.206 5.391 5.094 4.889
0.01471 0.00000 9.87506 0.9771324992 2.4679996967    0.977  0.107  3.7675  4.343    1 4.503 7.712 6.033 5.238 4.948 4.748
0.01471 0.00000 9.87506 0.9948655367 2.4718344212    0.995  0.164  3.7707  4.307    1 4.360 7.526 5.877 5.096 4.811 4.615
0.01471 0.00000 9.87506 1.0000000000 2.4729156494    1.000  0.181  3.7714  4.295    1 4.319 7.475 5.832 5.055 4.771 4.576
0.01471 0.00000 9.87506 1.0121659040 2.4754271507    1.012  0.221  3.7729  4.266    1 4.217 7.353 5.723 4.954 4.673 4.479
0.01471 0.00000 9.87506 1.0245145559 2.4779062271    1.024  0.265  3.7744  4.233    1 4.106 7.224 5.606 4.843 4.565 4.374
0.01471 0.00000 9.87506 1.0339014530 2.4797453880    1.034  0.301  3.7750  4.204    1 4.019 7.128 5.515 4.756 4.479 4.288
0.01471 0.00000 9.87506 1.0430157185 2.4814946651    1.043  0.336  3.7751  4.173    1 3.931 7.039 5.426 4.668 4.391 4.201
0.01471 0.00000 9.87506 1.0499999523 2.4828116894    1.050  0.364  3.7748  4.146    1 3.861 6.974 5.358 4.599 4.321 4.130
0.01471 0.00000 9.87506 1.0517861843 2.4831452370    1.051  0.371  3.7746  4.140    1 3.843 6.957 5.340 4.581 4.303 4.112
0.01471 0.00000 9.87506 1.0615960360 2.4849541187    1.061  0.411  3.7734  4.098    1 3.742 6.871 5.244 4.479 4.200 4.007
0.01471 0.00000 9.87506 1.0700304508 2.4864790440    1.069  0.447  3.7704  4.054    2 3.652 6.815 5.165 4.389 4.106 3.909
0.01471 0.00000 9.87506 1.0776551962 2.4878337383    1.077  0.478  3.7654  4.006    2 3.575 6.800 5.108 4.312 4.021 3.819
0.01471 0.00000 9.87506 1.0845797062 2.4890453815    1.084  0.499  3.7567  3.952    2 3.522 6.863 5.093 4.261 3.956 3.743
0.01471 0.00000 9.87506 1.0888934135 2.4897911549    1.088  0.503  3.7470  3.912    2 3.513 6.995 5.130 4.257 3.936 3.711
0.01471 0.00000 9.87506 1.0915292501 2.4902434349    1.091  0.497  3.7377  3.881    2 3.527 7.151 5.190 4.279 3.945 3.709
0.01471 0.00000 9.87506 1.0933815241 2.4905598164    1.093  0.489  3.7290  3.855    2 3.547 7.302 5.257 4.310 3.962 3.714
0.01471 0.00000 9.87506 1.0951405764 2.4908590317    1.094  0.486  3.7199  3.823    2 3.554 7.457 5.317 4.331 3.969 3.708
0.01471 0.00000 9.87506 1.0972537994 2.4912171364    1.096  0.499  3.7101  3.771    2 3.522 7.595 5.347 4.318 3.939 3.664
0.01471 0.00000 9.87506 1.0991312265 2.4915339947    1.098  0.528  3.7031  3.715    2 3.449 7.645 5.322 4.261 3.870 3.585
0.01471 0.00000 9.87506 1.0996586084 2.4916229248    1.099  0.539  3.7015  3.697    2 3.421 7.645 5.306 4.237 3.843 3.555
0.01471 0.00000 9.87506 1.1000000238 2.4916803837    1.099  0.549  3.7007  3.685    2 3.398 7.635 5.288 4.216 3.820 3.531
0.01471 0.00000 9.87506 1.1001741886 2.4917094707    1.100  0.553  3.7003  3.679    2 3.386 7.630 5.278 4.205 3.808 3.519
0.01471 0.00000 9.87506 1.1016478539 2.4919567108    1.101  0.598  3.6974  3.623    3 3.274 7.568 5.188 4.101 3.699 3.405
0.01471 0.00000 9.87506 1.1028233767 2.4921536446    1.102  0.639  3.6955  3.575    3 3.172 7.495 5.099 4.005 3.599 3.302
0.01471 0.00000 9.87506 1.1041914225 2.4923818111    1.104  0.691  3.6937  3.516    3 3.041 7.393 4.981 3.880 3.471 3.170
0.01471 0.00000 9.87506 1.1052030325 2.4925503731    1.105  0.734  3.6924  3.469    3 2.935 7.308 4.883 3.777 3.365 3.063
0.01471 0.00000 9.87506 1.1063367128 2.4927384853    1.106  0.786  3.6909  3.412    3 2.806 7.206 4.765 3.652 3.237 2.932
0.01471 0.00000 9.87506 1.1072018147 2.4928820133    1.107  0.829  3.6897  3.364    3 2.698 7.122 4.666 3.547 3.131 2.824
0.01471 0.00000 9.87506 1.1080099344 2.4930157661    1.107  0.872  3.6885  3.316    3 2.590 7.038 4.569 3.443 3.024 2.715
0.01471 0.00000 9.87506 1.1087125540 2.4931318760    1.108  0.913  3.6872  3.270    3 2.487 6.959 4.476 3.344 2.922 2.611
0.01471 0.00000 9.87506 1.1095567942 2.4932711124    1.109  0.967  3.6855  3.210    3 2.354 6.859 4.357 3.216 2.791 2.477
0.01471 0.00000 9.87506 1.1101444960 2.4933679104    1.109  1.007  3.6842  3.165    3 2.252 6.786 4.267 3.120 2.691 2.375
0.01471 0.00000 9.87506 1.1108249426 2.4934797287    1.110  1.058  3.6823  3.106    3 2.125 6.696 4.154 2.998 2.565 2.246
0.01471 0.00000 9.87506 1.1113318205 2.4935631752    1.111  1.100  3.6807  3.059    3 2.021 6.625 4.064 2.899 2.463 2.141
0.01471 0.00000 9.87506 1.1119004488 2.4936563969    1.111  1.150  3.6787  3.000    3 1.894 6.542 3.955 2.779 2.339 2.013
0.01471 0.00000 9.87506 1.1124243736 2.4937422276    1.112  1.202  3.6764  2.939    3 1.764 6.459 3.844 2.657 2.213 1.883
0.01471 0.00000 9.87506 1.1128785610 2.4938166142    1.112  1.252  3.6742  2.881    3 1.640 6.382 3.739 2.541 2.092 1.758
0.01471 0.00000 9.87506 1.1132941246 2.4938845634    1.113  1.302  3.6719  2.822    3 1.515 6.305 3.634 2.425 1.971 1.633
0.01471 0.00000 9.87506 1.1136788130 2.4939475060    1.113  1.353  3.6695  2.761    3 1.388 6.230 3.528 2.307 1.848 1.505
0.01471 0.00000 9.87506 1.1140139103 2.4940023422    1.113  1.401  3.6670  2.704    3 1.268 6.163 3.430 2.197 1.732 1.385
0.01471 0.00000 9.87506 1.1143354177 2.4940547943    1.114  1.451  3.6645  2.644    3 1.143 6.095 3.330 2.083 1.612 1.261
0.01471 0.00000 9.87506 1.1146271229 2.4941022396    1.114  1.498  3.6619  2.586    3 1.024 6.031 3.233 1.974 1.497 1.141
0.01471 0.00000 9.87506 1.1149135828 2.4941489697    1.114  1.545  3.6594  2.530    3 0.909 5.971 3.142 1.869 1.387 1.027
0.01471 0.00000 9.87506 1.1152865887 2.4942097664    1.115  1.587  3.6572  2.478    3 0.802 5.923 3.058 1.772 1.285 0.920
0.01471 0.00000 9.87506 1.1155093908 2.4942460060    1.115  1.555  3.6594  2.520    3 0.883 5.945 3.116 1.843 1.361 1.001
0.01471 0.00000 9.87506 1.1156537533 2.4942696095    1.115  1.519  3.6617  2.565    3 0.971 5.982 3.182 1.922 1.446 1.089
0.01471 0.00000 9.87506 1.1156853437 2.4942748547    1.115  1.511  3.6623  2.576    3 0.993 5.991 3.199 1.941 1.466 1.111
0.01471 0.00000 9.87506 1.1157709360 2.4942886829    1.115  1.528  3.6613  2.555    3 0.950 5.969 3.165 1.903 1.425 1.068
0.01471 0.00000 9.87506 1.1159976721 2.4943256378    1.115  1.576  3.6586  2.496    3 0.830 5.912 3.071 1.794 1.310 0.948
0.01471 0.00000 9.87506 1.1162211895 2.4943618774    1.116  1.624  3.6558  2.437    3 0.710 5.876 2.983 1.687 1.196 0.828
0.01471 0.00000 9.87506 1.1164289713 2.4943957329    1.116  1.671  3.6530  2.379    3 0.592 5.842 2.896 1.580 1.083 0.710
0.01471 0.00000 9.87506 1.1166166067 2.4944262505    1.116  1.717  3.6503  2.322    3 0.477 5.811 2.812 1.477 0.973 0.595
0.01471 0.00000 9.87506 1.1167894602 2.4944541454    1.116  1.763  3.6474  2.265    3 0.363 5.785 2.732 1.377 0.864 0.481
0.01471 0.00000 9.87506 1.1169514656 2.4944806099    1.116  1.810  3.6445  2.206    3 0.246 5.760 2.651 1.275 0.753 0.365
0.01471 0.00000 9.87506 1.1170953512 2.4945039749    1.116  1.855  3.6417  2.150    3 0.133 5.739 2.574 1.177 0.647 0.253
