#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-21T18:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dadfbb914a6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/133/1409&tab:{J/AJ/133/1409/table4}&key:source=J/AJ/133/1409&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/133/1409/table4
#-order=I
#-out=FTS
#-out=WEBDA
#-out=RAJ2000
#-out=DEJ2000
#-out=f_u'mag
#-out=u'mag
#-out=e_u'mag
#-out=f_g'mag
#-out=g'mag
#-out=e_g'mag
#-out.all=2
#-out=f_r'mag
#-out=r'mag
#-out=e_r'mag
#-out=f_i'mag
#-out=i'mag
#-out=e_i'mag
#-out=f_z'mag
#-out=z'mag
#-out=e_z'mag
#-out=Mm
#-out=Comm
#-out=PKM
#PKM=PKM
#-out.all=2
#

#RESOURCE=yCat_51331409
#Name: J/AJ/133/1409
#Title: u'g'r'i'z' photometry in NGC 188 (Fornal+, 2007)
#Table	J_AJ_133_1409_table4:
#Name: J/AJ/133/1409/table4
#Title: Available Data from the USNO 1.0m Telescope for NGC 188
#Column	FTS	(I3)	Star identification number, Cl* NGC 188 FTS NNN in Simbad (1)	[ucd=meta.id;meta.main]
#Column	WEBDA	(I4)	? The webda identification number (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	f_u'mag	(I1)	[0,1] Flag on u'mag (4)	[ucd=meta.code]
#Column	u'mag	(F6.3)	? The u' band magnitude (3)	[ucd=phot.mag;em.opt.U]
#Column	e_u'mag	(F6.3)	? Error (photon noise) in u'mag	[ucd=stat.error;phot.mag]
#Column	f_g'mag	(I1)	[0,1] Flag on g'mag (4)	[ucd=meta.code]
#Column	g'mag	(F6.3)	? The g' band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	e_g'mag	(F6.3)	? Error (photon noise) in g'mag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	f_r'mag	(I1)	[0,1] Flag on r'mag (4)	[ucd=meta.code]
#Column	r'mag	(F6.3)	? The r' band magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	e_r'mag	(F6.3)	? Error (photon noise) in r'mag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	f_i'mag	(I1)	[0,1] Flag on i'mag (4)	[ucd=meta.code]
#Column	i'mag	(F6.3)	? The i' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_i'mag	(F6.3)	? Error (photon noise) in i'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	f_z'mag	(I1)	[0,1] Flag on z'mag (4)	[ucd=meta.code]
#Column	z'mag	(F6.3)	? The z' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_z'mag	(F6.3)	? Error (photon noise) in z'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Mm	(I2)	Membership probability from Platais et al. (2003, Cat. J/AJ/126/2922)	[ucd=stat]
#Column	Comm	(A3)	Comments (5)	[ucd=meta.note]
#Column	PKM	(A3)	Data from Platais et al. 2003, Cat. J/AJ/126/2922	[ucd=meta.ref.url]
FTS|WEBDA|RAJ2000|DEJ2000|f_u'mag|u'mag|e_u'mag|f_g'mag|g'mag|e_g'mag|f_r'mag|r'mag|e_r'mag|f_i'mag|i'mag|e_i'mag|f_z'mag|z'mag|e_z'mag|Mm|Comm|PKM
 | |"h:m:s"|"d:m:s"| |mag|mag| |mag|mag| |mag|mag| |mag|mag| |mag|mag|%| |
---|----|-----------|---------|-|------|------|-|------|------|-|------|------|-|------|------|-|------|------|--|---|---
  1|    |00 47 57.12|+85 14 56|0|14.858| 0.002|0|12.520| 0.003|0|11.632| 0.002|1|      |      |0|11.087| 0.015|96|d  |PKM
  2|    |00 46 19.43|+85 13 09|0|13.244| 0.002|0|12.084| 0.003|0|11.731| 0.002|0|11.623| 0.003|0|11.587| 0.015| 0|   |PKM
  3|    |00 47 56.30|+85 11 34|0|15.583| 0.003|0|12.860| 0.003|0|11.812| 0.002|0|11.433| 0.003|0|11.158| 0.015| 0|   |PKM
  4|    |00 50 44.06|+85 17 42|0|14.559| 0.005|0|12.592| 0.003|0|11.852| 0.002|0|11.541| 0.003|0|11.358| 0.015| 0|   |PKM
  5|    |00 44 52.56|+85 14 05|0|15.868| 0.003|0|12.934| 0.003|0|11.901| 0.002|0|11.508| 0.003|0|11.263| 0.015|98|   |PKM
  6|    |00 46 59.77|+85 13 16|0|15.575| 0.003|0|12.931| 0.003|0|12.014| 0.002|0|11.683| 0.003|0|11.469| 0.015|98|   |PKM
  7|    |00 45 51.07|+85 18 08|0|15.986| 0.003|0|13.062| 0.003|0|12.028| 0.002|0|11.632| 0.003|0|11.384| 0.015|96|   |PKM
  8|    |00 51 55.35|+85 16 19|0|14.839| 0.002|0|12.994| 0.003|0|12.306| 0.002|0|12.055| 0.003|0|11.938| 0.014| 0|   |PKM
  9|    |00 49 20.25|+85 18 39|0|14.475| 0.002|0|12.870| 0.003|0|12.324| 0.002|0|12.149| 0.003|0|12.073| 0.014| 0|   |PKM
 10|    |00 48 57.99|+85 09 35|1|      |      |1|      |      |0|12.417| 0.002|0|12.216| 0.003|0|12.119| 0.015| 0|b,d|PKM
 11|    |00 47 18.32|+85 19 45|0|16.213| 0.004|0|13.576| 0.003|0|12.649| 0.003|0|12.298| 0.003|0|12.073| 0.014|96|   |PKM
 12|    |00 52 14.22|+85 17 11|0|15.704| 0.003|0|13.546| 0.003|0|12.764| 0.003|0|12.492| 0.003|0|12.350| 0.014| 0|   |PKM
 13|    |00 49 56.19|+85 19 11|0|14.384| 0.002|0|13.290| 0.003|0|12.971| 0.003|0|12.865| 0.003|0|12.830| 0.014| 0|   |PKM
 14|    |00 51 24.24|+85 18 03|0|15.098| 0.002|0|13.644| 0.003|0|13.012| 0.003|0|12.707| 0.003|0|12.526| 0.014| 0|   |PKM
 15|    |00 51 21.89|+85 12 37|0|16.500| 0.004|0|13.934| 0.003|0|13.022| 0.003|0|12.675| 0.003|0|12.483| 0.014|98|   |PKM
 16|    |00 46 27.68|+85 10 26|0|14.835| 0.002|0|13.565| 0.003|0|13.115| 0.003|0|12.937| 0.003|0|12.868| 0.014| 0|   |PKM
 17|    |00 50 56.46|+85 17 34|0|15.069| 0.002|0|13.724| 0.003|0|13.198| 0.003|0|12.994| 0.003|0|12.902| 0.014| 0|   |PKM
 18|    |00 49 27.38|+85 12 43|0|16.897| 0.006|0|14.328| 0.003|0|13.237| 0.003|0|12.809| 0.003|0|12.601| 0.014| 0|   |PKM
 19|    |00 44 18.04|+85 16 02|0|15.030| 0.002|0|13.742| 0.003|0|13.277| 0.003|0|13.105| 0.003|0|13.043| 0.014| 0|   |PKM
 20|    |00 45 36.85|+85 15 08|0|16.663| 0.005|0|14.163| 0.003|0|13.279| 0.003|0|12.937| 0.003|0|12.745| 0.014| 0|   |PKM
 21|4653|00 48 59.17|+85 12 29|0|16.579| 0.004|0|14.167| 0.003|0|13.305| 0.003|0|12.989| 0.003|0|12.808| 0.014|98|   |PKM
 22|2119|00 49 03.37|+85 15 25|0|14.871| 0.002|0|13.662| 0.003|0|13.360| 0.003|0|13.260| 0.003|0|13.230| 0.014|93|   |PKM
 23|1002|00 47 53.31|+85 15 02|0|15.704| 0.003|0|14.057| 0.003|0|13.416| 0.003|0|13.301| 0.003|0|12.734| 0.014| 3|   |PKM
 24|    |00 52 25.95|+85 15 27|0|15.248| 0.002|0|13.903| 0.003|0|13.485| 0.003|0|13.352| 0.003|0|13.300| 0.014|95|   |PKM
 25|1075|00 46 33.75|+85 14 34|0|16.801| 0.005|0|14.392| 0.003|0|13.547| 0.003|0|13.245| 0.003|0|13.055| 0.014|94|   |PKM
 26|5134|00 46 53.78|+85 14 37|0|15.274| 0.002|0|13.962| 0.003|0|13.558| 0.003|0|13.482| 0.003|0|13.379| 0.014| 0|   |PKM
 27|    |00 46 30.10|+85 11 52|0|16.411| 0.004|0|14.343| 0.003|0|13.569| 0.003|0|13.264| 0.003|0|13.113| 0.014|96|   |PKM
 28|    |00 44 29.44|+85 15 09|0|16.626| 0.005|0|14.468| 0.003|0|13.647| 0.003|0|13.350| 0.003|0|13.216| 0.014| 0|   |PKM
 29|    |00 45 22.63|+85 12 38|0|16.302| 0.004|0|14.485| 0.003|0|13.735| 0.003|0|13.430| 0.003|0|13.260| 0.014|98|   |PKM
 30|1343|00 48 19.92|+85 13 27|0|14.714| 0.002|0|13.940| 0.003|0|13.736| 0.003|0|13.696| 0.004|0|13.706| 0.014| 0|   |PKM
 31|    |00 45 19.18|+85 15 28|0|15.245| 0.002|0|14.069| 0.003|0|13.740| 0.003|0|13.637| 0.004|0|13.592| 0.014|97|   |PKM
 32|    |00 45 18.22|+85 19 19|0|15.266| 0.002|0|14.057| 0.003|0|13.752| 0.003|0|13.674| 0.004|0|13.657| 0.014|92|   |PKM
 33|    |00 47 32.26|+85 11 02|0|16.892| 0.006|0|14.590| 0.003|0|13.764| 0.003|0|13.460| 0.003|0|13.297| 0.014|98|   |PKM
 34|1003|00 47 51.60|+85 15 09|0|15.344| 0.002|0|14.133| 0.003|0|13.835| 0.003|0|13.761| 0.004|0|13.668| 0.014|90|   |PKM
 35|1061|00 45 49.49|+85 14 03|0|17.034| 0.006|0|14.672| 0.003|0|13.843| 0.003|0|13.547| 0.003|0|13.377| 0.014|98|   |PKM
 36|    |00 45 27.06|+85 12 17|0|15.739| 0.003|0|14.340| 0.003|0|13.850| 0.003|0|13.695| 0.004|0|13.669| 0.014| 0|   |PKM
 37|2178|00 46 26.96|+85 11 47|0|16.405| 0.009|0|14.601| 0.004|0|13.908| 0.003|0|13.648| 0.004|1|      |      |43|b,d|PKM
 38|    |00 49 59.95|+85 19 25|0|15.997| 0.003|0|14.502| 0.003|0|13.953| 0.003|0|13.750| 0.004|0|13.640| 0.014| 0|   |PKM
 39|2122|00 49 33.05|+85 15 16|0|16.868| 0.005|0|14.749| 0.003|0|13.986| 0.003|0|13.735| 0.004|0|13.588| 0.014|98|   |PKM
 40|1020|00 47 03.82|+85 15 27|0|16.591| 0.005|0|14.730| 0.003|0|14.032| 0.003|0|13.792| 0.004|0|13.696| 0.014| 0|   |PKM
 41|    |00 45 56.68|+85 17 29|0|15.591| 0.003|0|14.369| 0.003|0|14.045| 0.003|0|13.961| 0.004|0|13.934| 0.014|98|   |PKM
 42|    |00 45 19.01|+85 15 23|1|      |      |1|      |      |0|14.069| 0.003|0|14.068| 0.004|0|13.813| 0.014|14|b  |PKM
 43|4715|00 50 06.12|+85 14 48|0|17.210| 0.007|0|14.893| 0.004|0|14.073| 0.003|0|13.787| 0.004|0|13.626| 0.014|95|   |PKM
 44|2138|00 50 40.56|+85 13 26|0|15.726| 0.003|0|14.558| 0.003|0|14.127| 0.003|0|13.957| 0.004|0|13.916| 0.014| 0|   |PKM
