angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.206264,11.988,85.248889,1,,00 47 57.12,+85 14 56,14.858,12.52,11.632,,11.087,96,d,PKM,11.987313,85.2488823,5027,11.987313,85.248882,-5.74,-0.93,96,11.939,1.202,
0.603732,11.580958,85.219167,2,,00 46 19.43,+85 13 09,13.244,12.084,11.731,11.623,11.587,0,,PKM,11.5805319,85.2190031,4694,11.5805319,85.219003,-19.38,-1.63,0,11.847,0.586,
1.286938,11.984583,85.192778,3,,00 47 56.30,+85 11 34,15.583,12.86,11.812,11.433,11.158,0,,PKM,11.9810586,85.1929794,5888,11.9810586,85.192979,-12.96,5.58,0,15.434,0.663,D
0.824838,12.683583,85.295,4,,00 50 44.06,+85 17 42,14.559,12.592,11.852,11.541,11.358,0,,PKM,12.6831697,85.2952266,5308,12.6831697,85.295227,6.95,1.59,0,12.117,1.011,
0.705937,11.219,85.234722,5,,00 44 52.56,+85 14 05,15.868,12.934,11.901,11.508,11.263,98,,PKM,11.2182071,85.2349067,4668,11.2182071,85.234907,-5.03,-0.67,98,12.319,1.294,
0.341414,11.749042,85.221111,6,,00 46 59.77,+85 13 16,15.575,12.931,12.014,11.683,11.469,98,,PKM,11.7482097,85.2210463,5085,11.7482097,85.221046,-5.49,-0.06,98,12.362,1.241,D
0.284295,11.462792,85.302222,7,,00 45 51.07,+85 18 08,15.986,13.062,12.028,11.632,11.384,96,,PKM,11.4627512,85.3023009,4565,11.4627512,85.302301,-5.08,-1.06,96,12.439,1.325,
0.303242,12.980625,85.271944,8,,00 51 55.35,+85 16 19,14.839,12.994,12.306,12.055,11.938,0,,PKM,12.9797011,85.27198,5659,12.9797011,85.27198,4.58,50.77,0,12.556,0.912,
0.120745,12.334375,85.310833,9,,00 49 20.25,+85 18 39,14.475,12.87,12.324,12.149,12.073,0,,PKM,12.3343375,85.3107996,5297,12.3343375,85.3108,-17.18,-25.59,0,12.528,0.758,
1.300655,12.241625,85.159722,10,,00 48 57.99,+85 09 35,,,12.417,12.216,12.119,0,bd,PKM,12.2376629,85.159859,5874,12.2376629,85.159859,-8.71,2.36,0,16.726,0.959,D
0.716683,11.826333,85.329167,11,,00 47 18.32,+85 19 45,16.213,13.576,12.649,12.298,12.073,96,,PKM,11.8264837,85.3293657,4909,11.8264837,85.329366,-5.71,-0.95,96,13.01,1.245,
0.797440,13.05925,85.286389,12,,00 52 14.22,+85 17 11,15.704,13.546,12.764,12.492,12.35,0,,PKM,13.0585819,85.2866036,5646,13.0585819,85.286604,20.62,26.55,0,13.061,1.002,
0.565235,12.484125,85.319722,13,,00 49 56.19,+85 19 11,14.384,13.29,12.971,12.865,12.83,0,,PKM,12.4838588,85.3198775,5292,12.4838588,85.319878,-1.45,3.3,0,13.075,0.545,
0.345740,12.851,85.300833,14,,00 51 24.24,+85 18 03,15.098,13.644,13.012,12.707,12.526,0,,PKM,12.8505535,85.3009218,5629,12.8505535,85.300922,-2.74,1.45,0,13.293,0.8,
0.784176,12.841208,85.210278,15,,00 51 21.89,+85 12 37,16.5,13.934,13.022,12.675,12.483,98,,PKM,12.8400999,85.2104752,5855,12.8400999,85.210475,-5.27,-0.55,98,13.352,1.2,
0.368403,11.615333,85.173889,16,,00 46 27.68,+85 10 26,14.835,13.565,13.115,12.937,12.868,0,,PKM,11.6144991,85.1739635,5829,11.6144991,85.173963,-2.09,-0.79,0,13.273,0.7,
0.637158,12.73525,85.292778,17,,00 50 56.46,+85 17 34,15.069,13.724,13.198,12.994,12.902,0,,PKM,12.7349358,85.2929531,5311,12.7349358,85.292953,9.84,-14.56,0,13.485,0.712,D
0.490599,12.364083,85.211944,18,,00 49 27.38,+85 12 43,16.897,14.328,13.237,12.809,12.601,0,,PKM,12.3624708,85.2119225,5433,12.3624708,85.211923,72.44,-1.06,0,13.698,1.224,
0.530876,11.075167,85.267222,19,,00 44 18.04,+85 16 02,15.03,13.742,13.277,13.105,13.043,0,,PKM,11.0749974,85.2673688,4613,11.0749974,85.267369,-17.8,7.07,0,13.453,0.677,
0.567199,11.403542,85.252222,20,,00 45 36.85,+85 15 08,16.663,14.163,13.279,12.937,12.745,0,,PKM,11.4033974,85.2523791,5927,11.4033974,85.252379,-7.28,1.15,0,13.658,1.141,D
0.640291,12.246542,85.208056,21,4653,00 48 59.17,+85 12 29,16.579,14.167,13.305,12.989,12.808,98,,PKM,12.2456579,85.2082178,5438,12.2456579,85.208218,-5.38,-0.73,98,13.631,1.13,
0.239886,12.264042,85.256944,22,2119,00 49 03.37,+85 15 25,14.871,13.662,13.36,13.26,13.23,93,,PKM,12.2635749,85.2569983,5350,12.2635749,85.256998,-5.88,-0.87,93,13.453,0.495,D
0.197395,11.972125,85.250556,23,1002,00 47 53.31,+85 15 02,15.704,14.057,13.416,13.301,12.734,3,,PKM,11.971465,85.2505605,5023,11.971465,85.250561,-6.62,0.47,3,14.853,0.724,
0.903248,13.108125,85.2575,24,,00 52 25.95,+85 15 27,15.248,13.903,13.485,13.352,13.3,95,,PKM,13.1074334,85.2577443,5671,13.1074334,85.257744,-4.7,-0.24,95,13.6,0.659,
0.353020,11.640625,85.242778,25,1075,00 46 33.75,+85 14 34,16.801,14.392,13.547,13.245,13.055,94,,PKM,11.640096,85.2428657,5048,11.640096,85.242866,-5.98,-0.63,94,13.876,1.108,
0.157069,11.724083,85.243611,26,5134,00 46 53.78,+85 14 37,15.274,13.962,13.558,13.482,13.379,0,,PKM,11.7243872,85.2436466,5934,11.7243872,85.243647,0.0,0.0,0,14.342,0.456,D
0.252167,11.625417,85.197778,27,,00 46 30.10,+85 11 52,16.411,14.343,13.569,13.264,13.113,96,,PKM,11.6245826,85.1977728,5894,11.6245826,85.197773,-4.97,-0.02,96,14.052,1.09,D
0.528975,11.122667,85.2525,28,,00 44 29.44,+85 15 09,16.626,14.468,13.647,13.35,13.216,0,,PKM,11.1221885,85.2526415,4636,11.1221885,85.252641,6.52,17.35,0,14.005,0.981,
0.330021,11.344292,85.210556,29,,00 45 22.63,+85 12 38,16.302,14.485,13.735,13.43,13.26,98,,PKM,11.3436522,85.2106305,4705,11.3436522,85.21063,-5.54,-0.57,98,13.964,0.962,
1.344905,12.083,85.224167,30,1343,00 48 19.92,+85 13 27,14.714,13.94,13.736,13.696,13.706,0,,PKM,12.0796973,85.2244199,5885,12.0796973,85.22442,0.0,0.0,0,14.132,0.276,D
1.112659,11.329917,85.257778,31,,00 45 19.18,+85 15 28,15.245,14.069,13.74,13.637,13.592,97,,PKM,11.3297923,85.2580869,4626,11.3297923,85.258087,-5.36,-0.86,97,13.886,0.499,
0.866894,11.325917,85.321944,32,,00 45 18.22,+85 19 19,15.266,14.057,13.752,13.674,13.657,92,,PKM,11.326126,85.3221842,4540,11.326126,85.322184,-4.64,-0.1,92,13.857,0.521,
0.557428,11.884417,85.183889,33,,00 47 32.26,+85 11 02,16.892,14.59,13.764,13.46,13.297,98,,PKM,11.8837451,85.1840332,5133,11.8837451,85.184033,-5.34,-0.48,98,14.077,1.094,
0.199145,11.965,85.2525,34,1003,00 47 51.60,+85 15 09,15.344,14.133,13.835,13.761,13.668,90,,PKM,11.964405,85.2525252,5020,11.964405,85.252525,-5.86,0.15,90,14.0,0.502,
