#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-27T02:17:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d8d71312c91	
#INFO	-out.max=50	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=50
#-out.all=2
#-nav=cat:J/AJ/137/3743&tab:{J/AJ/137/3743/orb1}&key:source=J/AJ/137/3743/orb1&HTTPPRM:&
#-source=J/AJ/137/3743/orb1
#-order=I
#-out=F
#-out=PKM
#-out=m_PKM
#-out=n_PKM
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=gamma
#-out=e_gamma
#-out=K
#-out.all=2
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sig
#-out=N
#-out=VC
#VC=VC
#-out=Vel
#Vel=Vel
#-out.all=2
#

#RESOURCE=yCat_51373743
#Name: J/AJ/137/3743
#Title: Spectroscopic binary orbits in NGC 188 (Geller+, 2009)
#Table	J_AJ_137_3743_orb1:
#Name: J/AJ/137/3743/orb1
#Title: Orbital parameters for single-lined binaries
#Column	F	(A1)	Simbad column added by the CDS	[ucd=meta.code]
#Column	PKM	(I4)	Source identification number (G1)	[ucd=meta.id;meta.main]
#Column	m_PKM	(A1)	[ab] Multiplicity index	[ucd=meta.code.multip]
#Column	n_PKM	(A1)	[*] Poor phase coverage (1)	[ucd=meta.note]
#Column	Per	(F10.5)	Orbital period	[ucd=time.period]
#Column	e_Per	(F9.5)	rms uncertainty on Per	[ucd=stat.error]
#Column	Ncyc	(F5.1)	? Number of cycles observed (not in table6)	[ucd=meta.number]
#Column	gamma	(F6.2)	Centre-of-mass radial velocity, {gamma}	[ucd=phys.veloc;pos.heliocentric]
#Column	e_gamma	(F5.2)	rms uncertainty on gamma	[ucd=stat.error]
#Column	K	(F5.2)	Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	rms uncertainty on K	[ucd=stat.error]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	rms uncertainty on e	[ucd=stat.error]
#Column	omega	(F5.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	e_omega	(F5.1)	rms uncertainty on omega	[ucd=stat.error]
#Column	T0	(F8.2)	Julian date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.2)	rms uncertainty on T0	[ucd=stat.error]
#Column	asini	(F7.3)	Projected semi-major axis	[ucd=phys.size.smajAxis]
#Column	e_asini	(F6.3)	rms uncertainty on asini	[ucd=stat.error]
#Column	f(m)	(E9.2)	Mass function	[ucd=phys.mass]
#Column	e_f(m)	(E9.2)	rms uncertainty on f(m)	[ucd=stat.error]
#Column	sig	(F5.2)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	N	(I2)	Number of RV measurements	[ucd=meta.number]
#Column	VC	(A2)	Velocity curve	[ucd=meta.ref.url]
#Column	Vel	(A3)	Individual velocities	[ucd=meta.ref.url]
F|PKM|m_PKM|n_PKM|Per|e_Per|Ncyc|gamma|e_gamma|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sig|N|VC|Vel
 | | | |d|d| |km/s|km/s|km/s|km/s| | |deg|deg|d|d|10+6km|10+6km|Msun|Msun|km/s| | |
-|----|-|-|----------|---------|-----|------|-----|-----|-----|------|------|-----|-----|--------|------|-------|------|---------|---------|-----|--|--|---
M| 451| | | 722.00000|  4.00000|  5.5|-41.04| 0.10| 4.35| 0.17| 0.340| 0.030|235.0|  6.0|51010.00| 12.00| 40.600| 1.600| 5.10e-03| 6.00e-04| 0.37|28|VC|Vel
M| 880| | |  20.29200|  0.00400| 42.1|-41.71| 0.24|15.40| 0.30| 0.213| 0.016|238.0|  4.0|50715.29|  0.21|  4.210| 0.080| 7.20e-03| 4.00e-04| 0.77|31|VC|Vel
M|1888| | |2240.00000| 30.00000|  1.8|-41.44| 0.22| 6.40| 0.40| 0.210| 0.040|  2.0| 13.0|52510.00| 80.00|192.000|12.000| 5.70e-02| 1.00e-02| 1.11|40|VC|Vel
M|2679| | |1033.00000|  8.00000|  3.8|-42.30| 0.30| 6.20| 0.40| 0.070| 0.050| 50.0| 50.0|52500.00|130.00| 88.000| 5.000| 2.50e-02| 5.00e-03| 1.22|30|VC|Vel
M|3171| | | 123.01000|  0.17000|  8.3|-42.56| 0.13| 8.40| 0.14| 0.129| 0.020|275.0| 10.0|50827.00|  3.00| 14.090| 0.240| 7.40e-03| 4.00e-04| 0.51|28|VC|Vel
M|3732| |*| 893.00000|  3.00000|  4.4|-42.60| 0.17| 4.10| 1.00| 0.740| 0.110| 46.0|  8.0|52181.00| 10.00| 34.000|10.000| 2.00e-03| 1.60e-03| 0.48|25|VC|Vel
M|3871| | |1960.00000| 50.00000|  1.9|-42.87| 0.18| 2.91| 0.23| 0.540| 0.070| 10.0| 12.0|52630.00| 60.00| 66.000| 6.000| 3.00e-03| 7.00e-04| 0.84|33|VC|Vel
M|4080| | |  32.19700|  0.01300| 31.7|-42.45| 0.24|20.70| 0.30| 0.069| 0.015|264.0| 18.0|50884.60|  1.60|  9.160| 0.150| 2.96e-02| 1.40e-03| 1.05|21|VC|Vel
M|4147| | |1194.00000|  7.00000|  3.1|-42.30| 0.09| 3.62| 0.13| 0.140| 0.040|321.0| 14.0|52120.00| 50.00| 58.900| 2.100| 5.70e-03| 6.00e-04| 0.32|19|VC|Vel
M|4289| | |  11.48770|  0.00090|116.2|-42.62| 0.23|40.80| 0.30| 0.012| 0.010|200.0| 50.0|50744.50|  1.70|  6.440| 0.050| 8.07e-02| 2.00e-03| 1.11|25|VC|Vel
M|4333| | |1001.00000| 18.00000|  3.5|-42.70| 0.30| 4.90| 0.40| 0.500| 0.060|207.0| 10.0|50825.00| 20.00| 58.000| 6.000| 7.70e-03| 2.20e-03| 1.37|31|VC|Vel
M|4348| | |1168.00000|  8.00000|  3.2|-40.70| 0.30| 6.70| 0.40| 0.090| 0.050|220.0| 40.0|51750.00|130.00|107.000| 7.000| 3.60e-02| 7.00e-03| 1.34|27|VC|Vel
M|4369| | | 441.00000|  3.00000|  2.0|-41.91| 0.16| 6.42| 0.22| 0.380| 0.030| 53.0|  6.0|50625.00|  6.00| 36.000| 1.400| 9.50e-03| 1.00e-03| 0.66|20|VC|Vel
M|4386| | | 108.39300|  0.01800| 11.7|-42.97| 0.12|20.20| 1.10| 0.785| 0.013|133.7|  0.9|51125.56|  0.23| 18.600| 1.200| 2.20e-02| 4.00e-03| 0.54|32|VC|Vel
M|4390| | |1313.00000|  7.00000|  3.0|-42.40| 0.23| 5.50| 0.90| 0.370| 0.080|143.0|  8.0|51203.00| 23.00| 92.000|15.000| 1.80e-02| 9.00e-03| 0.60|32|VC|Vel
M|4392| | |4640.00000|150.00000|  0.9|-42.13| 0.07| 5.06| 0.09| 0.511| 0.015|194.0|  3.0|55530.00|160.00|277.000| 6.000| 3.90e-02| 3.00e-03| 0.30|34|VC|Vel
