Star    HD(E)   Hipparcos   RA          Dec         V       B-V     U-B         SpType          P           e       Hyad?
vB158   20278   15206       3:16:03.1   11:37:42    8.03    0.61    0.13        G1              17317       0.599   ?
J207    -       -           3:30:31.2   20:05:55    10.79   1.39    1.24        K7              11228       0.422   ?
vB135   23261   -           3:43:54.3   3:26:47     8.98    0.89    0.62        K1IV-V          319.2       0.278   ?
vB9     -       18719       4:00:39.5   20:22:50    8.67    0.71    0.24        G4              6114        0.327   Y
vB34    27483   20284       4:20:52.7   13:51:51    6.17    0.46    0.02        F6              3.06        0       Y
vB38    27628   20400       4:22:03.5   14:04:38    5.72    0.32    0.1         Am              2.14        0       Y
vB40A   27691   20440       4:22:44.2   15:03:22    6.99    0.56    0.09        G0              4.00        0       Y
vB45    27749   20484       4:23:25.1   16:46:38    5.64    0.30    0.14        Am              8.42        0       Y
G7-192  -       -           4:23:50.7   9:12:20     12.88   1.52    -           M3              5.26        0       Y
HD28007 28007   -           4:25:53.5   17:26:51    7.54    0.33    -           F2              5.32        0       ?
G7-254A 285880  -           4:31:54.7   14:40:52    11.34   0.84    -           G6              45.93       0.616   ?
J288    286839  21179       4:32:25.7   13:06:48    11.02   1.22    1.01        K5              1.48        0       Y
vB117   283882  22394       4:49:13.0   24:48:10    9.67    1.07    0.92        K3              11.93       0.5144  Y
HD33400 33400   24116       5:10:47.5   20:34:09    7.85    0.40    0.00        F4              76.64       0.057   Y
