#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-11T18:32:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5df136376f63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table2}&key:source=J/AJ/138/159/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table2
#-order=I
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=N1
#-out=N2
#-out=RV
#-out=e_RV
#-out=e/i
#-out=Mmb
#-out=bin
#-out=gamma
#-out=Com
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table2:
#Name: J/AJ/138/159/table2
#Title: The NGC 6819 WOCS radial-velocity database
#Column	WOCS	(A6)	WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Averaged V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Averaged B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	N1	(I2)	Number of WIYN RV measurements	[ucd=meta.number]
#Column	N2	(I2)	Number of CfA RV measurements	[ucd=meta.number]
#Column	RV	(F7.2)	Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RV	(F5.2)	Standard error of RV (1)	[ucd=stat.error]
#Column	e/i	(F6.2)	? external/internal error ratio (2)	[ucd=stat.error]
#Column	Mmb	(I2)	? Calculated RV membership probability [NULL integer written as an empty string]	[ucd=meta.code.member]
#Column	bin	(A3)	Binarity classification (3)	[ucd=meta.code.multip]
#Column	gamma	(F7.3)	? Center-of-mass radial velocity {gamma}	[ucd=phys.veloc;pos.barycenter]
#Column	Com	(a19)	Additional comment	[ucd=meta.note]
WOCS|RAJ2000|DEJ2000|Vmag|B-V|N1|N2|RV|e_RV|e/i|Mmb|bin|gamma|Com
 |"h:m:s"|"d:m:s"|mag|mag| | |km/s|km/s| |%| |km/s|
------|-----------|-----------|-----|-----|--|--|-------|-----|------|--|---|-------|-------------------
001001|19 41 18.71|+40 11 42.9|12.68| 1.24| 3|20|   6.04| 3.40| 23.88|  |BU |       |
002001|19 41 18.93|+40 11 41.0|13.38| 1.24| 3| 0|   0.94| 0.04|  0.13|88|SM |       |
003001|19 41 18.76|+40 11 54.8|13.64| 1.17| 4| 2|   1.42| 0.30|  1.29|93|SM |       |
004001|19 41 15.75|+40 11 36.0|13.98| 1.19| 3| 5|   1.49| 0.18|  0.77|93|SM |       |
005001|19 41 16.21|+40 11 26.4|15.02| 0.64| 1| 0|   4.90| 0.40|      |  |U  |       |
006001|19 41 18.25|+40 11 34.8|15.20| 0.61| 2| 0|  -0.93| 1.87|      |  |U  |       |
007001|19 41 17.27|+40 11 27.3|15.20| 0.65| 3| 0|   2.24| 0.28|  1.00|95|SM |       |
008001|19 41 18.63|+40 11 35.2|15.27| 0.61| 3| 0|   2.16| 2.27|  8.04|  |BLM|       |
009001|19 41 18.01|+40 11 19.6|15.48| 0.61| 1| 0|   5.66| 0.40|      |  |U  |       |
011001|19 41 16.51|+40 11 53.4|15.73| 0.60| 1| 0|   3.73| 0.40|      |  |U  |       |
013001|19 41 17.99|+40 11 41.2|15.87| 0.68|13| 0|   1.73| 0.95|  8.19|  |BLM|       |
015001|19 41 16.86|+40 11 43.3|15.94| 0.61| 2| 0|   2.91| 0.80|      |  |U  |       |
001002|19 41 17.05|+40 10 51.8|11.78| 1.55| 2|11|   0.94| 0.18|  0.93|88|SM |       |
003002|19 41 21.99|+40 12 02.1|12.76| 1.12| 2|32|   1.04| 4.48|      |  |BLM|       |Rapid rotator
004002|19 41 21.87|+40 11 48.6|12.84| 1.22| 1| 4|   3.47| 0.12|  0.37|92|SM |       |
005002|19 41 14.76|+40 11 00.8|12.88| 1.15| 1| 4|   0.79| 0.21|  0.64|86|SM |       |
006002|19 41 15.93|+40 11 11.5|12.94| 1.08| 8|13|   1.46| 0.04|  5.10|95|BM |  2.190|SB1
008002|19 41 22.45|+40 12 03.4|13.01| 1.10|17|13|   3.23| 0.35|  3.38|93|SM |       |
009002|19 41 21.34|+40 11 57.2|13.01| 1.13| 5|11|   2.86| 0.66|  4.13|  |BLM|       |
010002|19 41 13.55|+40 12 20.6|13.06| 1.17| 1| 4|   2.37| 0.23|  0.70|95|SM |       |
011002|19 41 13.45|+40 11 56.2|13.12| 1.18| 5| 3|   2.96| 0.08|  0.41|94|SM |       |
012002|19 41 21.76|+40 12 11.2|13.19| 1.25| 2| 5|   1.14| 0.20|  0.78|91|SM |       |
013002|19 41 12.82|+40 11 29.4|13.90| 1.16| 2| 2|   3.71| 0.19|  0.57|89|SM |       |
014002|19 41 16.33|+40 12 31.6|14.49| 0.57| 3| 3|   2.98| 0.72|  2.83|94|SM |       |
015002|19 41 18.71|+40 11 03.3|14.43| 0.70|30| 0|   3.64| 0.08| 17.59|93|BM |  3.257|SB1
016002|19 41 17.81|+40 10 48.0|14.54| 0.67|10| 2|   3.86| 0.06|  5.94|65|BM |  4.588|SB1
017002|19 41 20.60|+40 12 17.1|14.53| 0.59| 4| 2|   3.94| 0.29|  1.26|86|SM |       |
018002|19 41 16.00|+40 11 00.0|14.58| 0.76| 4| 2|   4.09| 0.20|  0.88|83|SM |       |
019002|19 41 14.82|+40 11 51.3|14.72| 0.66| 5| 0|   3.13| 0.75|  3.76|94|SM |       |
020002|19 41 19.44|+40 12 31.2|14.72| 0.58|13| 0|   4.52| 0.72|  6.27|  |BLM|       |
021002|19 41 13.19|+40 12 03.3|14.76| 0.67| 3| 0|   2.24| 0.09|  0.34|95|SM |       |
022002|19 41 20.94|+40 11 32.9|14.89| 0.59| 4| 0|   3.23| 0.33|  1.45|93|SM |       |
023002|19 41 19.69|+40 12 33.7|14.89| 0.65| 3| 0|   1.06| 0.51|  1.79|90|SM |       |
024002|19 41 14.73|+40 11 17.7|14.91| 0.60| 3| 0|   2.11| 0.50|  1.76|95|SM |       |
025002|19 41 18.85|+40 12 39.1|14.99| 0.64| 3| 0|   2.67| 0.29|  1.04|95|SM |       |
026002|19 41 14.04|+40 11 34.5|14.99| 0.63| 3| 0|   1.84| 0.10|  0.37|94|SM |       |
027002|19 41 17.95|+40 11 13.8|14.99| 0.61| 8| 0|   2.35| 0.89|  5.88|  |BLM|       |
028002|19 41 14.34|+40 11 26.2|15.01| 0.65| 3| 0|   3.00| 0.41|  1.45|94|SM |       |
029002|19 41 12.29|+40 11 45.3|15.02| 0.62| 3| 0|   4.52| 0.70|  2.46|68|SM |       |
030002|19 41 20.18|+40 12 35.5|15.14| 0.97| 3| 0|  -0.34| 0.41|  1.46|37|SN |       |
031002|19 41 16.98|+40 11 14.6|15.18| 0.62| 1| 0|  -1.40| 0.40|      |  |U  |       |
032002|19 41 14.18|+40 11 28.3|15.26| 0.59| 2| 0|  -1.07| 0.67|      |  |U  |       |
033002|19 41 18.47|+40 12 33.6|15.27| 0.64|15| 0|  11.18| 8.80| 82.27|  |BU |       |
034002|19 41 19.93|+40 12 22.3|15.35| 0.58| 2| 0|   3.54| 0.51|      |  |U  |       |
035002|19 41 20.37|+40 12 05.7|15.37| 0.63| 3| 0|   2.14| 0.33|  1.15|95|SM |       |
036002|19 41 14.41|+40 11 44.0|15.39| 0.63| 1| 0|   2.14| 0.40|      |  |U  |       |
