#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-07T20:11:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9b9ae08e03	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table1}&key:source=J/AJ/138/159/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table1
#-order=I
#-out=WOCS
#-out=Vmag
#-out=B-V
#-out=V-R
#-out=V-I
#-out=Vmag1
#-out=B-V1
#-out=Vmag2
#-out=B-V2
#-out=Vmag3
#-out=B-V3
#-out=Jmag
#-out=J-Ks
#-out=A74
#-out=S72
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table1:
#Name: J/AJ/138/159/table1
#Title: The NGC 6819 WOCS photometry database
#Column	WOCS	(A6)	[1001/115030] WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? Phot98 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Phot98 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F6.3)	? Phot98 project (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	? Phot98 project (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Vmag1	(F6.3)	? Phot03 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V1	(F6.3)	? Phot03 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J band magnitude	[ucd=phot.mag;em.IR.J]
#Column	J-Ks	(F6.3)	? 2MASS (J-Ks) color index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	A74	(I4)	? Auner (1974A&AS...13..143A) identification, <NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S72	(I3)	? Sanders (1972A&A....19..155S) identification, <[S72b] NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	_RA	(F9.5)	Position for stars having a radial velocity (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position for stars having a radial velocity (declination part)	[ucd=pos.eq.dec;meta.main]
WOCS|Vmag|B-V|V-R|V-I|Vmag1|B-V1|Vmag2|B-V2|Vmag3|B-V3|Jmag|J-Ks|A74|S72|_RA|_DE
 |mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag| | |deg|deg
------|------|------|------|------|------|------|------|------|------|------|------|------|----|---|---------|---------
001001|      |      |      |      |12.692| 1.229|12.669| 1.245|      |      |10.212| 0.929| 974|115|295.32796|+40.19525
002001|13.357| 1.248| 0.622| 1.250|13.399| 1.223|13.378| 1.238|      |      |10.341| 0.722| 435|   |295.32887|+40.19472
003001|13.622| 1.194| 0.591| 1.194|13.664| 1.143|13.644| 1.164|      |      |11.564| 0.673| 395|116|295.32817|+40.19856
004001|13.936| 1.203| 0.612| 1.208|13.994| 1.177|13.971| 1.191|14.001| 1.170|11.847| 0.683| 428|100|295.31562|+40.19333
011001|15.701| 0.618| 0.316| 0.719|15.746| 0.591|15.720| 0.609|15.763| 0.600|14.436| 0.315| 396|   |295.31879|+40.19817
013001|15.853| 0.679| 0.392| 0.797|15.886| 0.689|15.873| 0.684|      |      |14.501| 0.482| 432|   |295.32496|+40.19478
015001|15.933| 0.621| 0.334| 0.713|15.992| 0.607|15.883| 0.619|15.969| 0.600|14.603| 0.378| 429|   |295.32025|+40.19536
001002|      |      |      |      |11.733| 1.615|11.837| 1.489|      |      | 8.819| 0.996| 550|110|295.32104|+40.18106
002002|      |      |      |      |12.662| 0.379|12.645| 0.361|      |      |11.794| 0.180| 976|105|         |
003002|      |      |      |      |12.760| 1.111|12.763| 1.130|      |      |10.660| 0.736| 390|126|295.34162|+40.20058
004002|      |      |      |      |12.854| 1.211|12.831| 1.228|      |      |10.684| 0.721| 438|124|295.34112|+40.19683
005002|      |      |      |      |12.886| 1.144|12.870| 1.150|      |      |10.790| 0.635| 978| 97|295.31150|+40.18356
006002|12.897| 1.108| 0.516| 1.081|12.977| 1.067|12.956| 1.075|      |      |11.022| 0.595| 979|106|295.31637|+40.18653
007002|12.924| 0.399| 0.160| 0.375|13.012| 0.386|12.991| 0.369|      |      |      |      | 982|107|         |
008002|12.998| 1.094| 0.596| 1.139|13.020| 1.096|13.017| 1.109|      |      |10.986| 0.644| 386|131|295.34354|+40.20094
009002|12.994| 1.141| 0.588| 1.161|13.026| 1.113|13.013| 1.135|      |      |10.967| 0.669| 391|118|295.33892|+40.19922
010002|13.045| 1.170| 0.597| 1.192|13.077| 1.156|13.070| 1.176|      |      |10.969| 0.701| 333| 89|295.30646|+40.20572
011002|      |      |      |      |13.129| 1.172|13.120| 1.185|      |      |10.992| 0.669| 398| 96|295.30604|+40.19894
012002|13.186| 1.271| 0.647| 1.293|13.214| 1.253|13.168| 1.230|      |      |10.941| 0.742| 389|130|295.34067|+40.20311
013002|13.878| 1.159| 0.610| 1.195|13.916| 1.151|13.897| 1.158|      |      |11.798| 0.669| 424| 86|295.30342|+40.19150
014002|      |      |      |      |      |      |14.408| 0.593|14.578| 0.557|13.201| 0.278| 336|102|295.31804|+40.20878
015002|      |      |      |      |14.442| 0.753|14.424| 0.638|      |      |13.146| 0.270| 474|   |295.32796|+40.18425
016002|14.532| 0.669| 0.396| 0.805|14.566| 0.670|14.529| 0.692|14.529| 0.667|      |      | 551|   |295.32421|+40.18000
017002|14.517| 0.586| 0.357| 0.718|14.541| 0.594|14.516| 0.602|14.552| 0.595|13.296| 0.262|    |120|295.33583|+40.20475
018002|14.553| 0.753| 0.421| 0.866|14.593| 0.757|14.566| 0.762|14.600| 0.755|13.093| 0.352| 547|   |295.31667|+40.18333
