#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:04:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e6e321a69a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/table4}&key:source=J/AJ/150/10/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/10/table4
#-order=I
#-out=WOCS
#-out=IDG
#-out=P38
#-out=IDM
#-out=IDMc
#-out=IDC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out.all=2
#-out=r_B-V
#-out=NW
#-out=VC
#VC=VC
#-out=<RV>
#-out=e_<RV>
#-out=s_<RV>
#-out=vsini
#-out=e_vsini
#-out=PRV
#-out=PPM1
#-out=PPM2
#-out=e/i
#-out=Mm
#-out=O
#-out=SB
#-out=RR
#-out=X
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_table4:
#Name: J/AJ/150/10/table4
#Title: Radial-velocity summary table
#Column	WOCS	(I6)	[2004/259044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	IDG	(I6)	[2004/261044]? Identification number from paper XXXVIII (Geller et al. 2010, cat. J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	P38	(I3)	Display the data from Paper XXXVIII (Geller et al. 2009, J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	IDM	(I3)	[14/439]? Identification number from paper XXXIV (Meibom et al. 2009, cat. J/ApJ/695/679) (1) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDMc	(I3)	[4/521]? Identification number from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDC	(I3)	[3/763]? Identification number from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[11.43/16.5] The V-band apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	[0.2/1.36] The (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I2)	[1/2]? Source of the photometry (2) [NULL integer written as an empty string]	[ucd=meta.ref;phot.color;em.opt.B]
#Column	NW	(I2)	[0/53] Number of WIYN 3.5m observations	[ucd=meta.number]
#Column	VC	(A2)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	<RV>	(F7.2)	[-129/301] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F6.2)	[0/370]? Standard deviation of RV observation	[ucd=stat.stdev;spect.dopplerVeloc;stat.mean]
#Column	s_<RV>	(F4.1)	[0.5/2.1] Single-measurement precision in RV ({sigma}_i_)	[ucd=meta.code.qual;instr.precision;spect.dopplerVeloc]
#Column	vsini	(F5.1)	[0/144] Mean projected rotational velocity (3)	[ucd=phys.veloc.rotat;stat.mean]
#Column	e_vsini	(F5.1)	[0/124]? Standard error on vsini (3)	[ucd=stat.error;phys.veloc.rotat;stat.mean]
#Column	PRV	(I2)	[0/96]? Radial velocity membership probability (4) [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM1	(I2)	[0/99]? Proper-motion membership probability from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	PPM2	(I2)	[0/97]? Proper-motion membership probability from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	e/i	(F6.2)	[0/740] Ratio of RV standard deviation to single-measurement RV precision	[ucd=instr.precision;arith.ratio;spect.dopplerVeloc]
#Column	Mm	(A3)	Membership class (BLM, BLN, BM, BN, SM, SN, or U) (G2)	[ucd=src]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SB	(A3)	Single (SB1) or double-lined (SB2) binary (5)	[ucd=meta.code.multip]
#Column	RR	(A2)	"RR" Indicates a Rapid Rotator	[ucd=meta.code]
#Column	X	(A1)	"X" Indicates an X-ray source	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|IDG|P38|IDM|IDMc|IDC|RAJ2000|DEJ2000|Vmag|B-V|r_B-V|NW|VC|<RV>|e_<RV>|s_<RV>|vsini|e_vsini|PRV|PPM1|PPM2|e/i|Mm|O|SB|RR|X|Simbad
 | | | | | |"h:m:s"|"d:m:s"|mag|mag| | | |km/s|km/s|km/s|km/s|km/s|%|%|%| | | | | | |
------|------|---|---|---|---|-----------|-----------|-----|-----|--|--|--|-------|------|----|-----|-----|--|--|--|------|---|-|---|--|-|------
  6006|  6006|  1|   |231|   |06 08 59.47|+24 18 36.4|13.16| 0.69| 2|46|VC|  -7.51|  3.73| 0.9| 46.3|  0.4|95|99|  |  3.99|SM | |   |RR| |Simbad
  7012|  7012|  0|   |130|   |06 08 43.10|+24 19 07.7|11.85| 0.36| 2| 7|VC|  22.02| 24.45| 0.5| 12.2|  3.4| 0|99|  | 46.45|BLN| |SB2|  | |Simbad
 22026| 21026|  0|   |519|   |06 10 01.35|+24 23 54.5|14.38| 0.77| 2|17|VC|   2.71| 22.66| 0.6| 14.6| 11.5| 0| 0|  | 40.81|BN |O|SB2|  | |Simbad
 31045| 31045|  1|   |   |   |06 08 47.76|+24 42 03.9|14.19| 0.65| 1| 7|VC|  52.72| 20.96| 2.1|143.2|  2.2| 0|  |  |  9.99|BLN| |SB1|RR| |Simbad
 56055| 57055|  1|   |   |   |06 08 05.22|+24 43 47.2|15.04| 0.93| 1|16|VC| -16.60| 30.32| 0.6| 14.7|  4.7|95|  |  | 54.50|BM |O|SB2|  | |Simbad
 14056| 17056|  1|   |   |   |06 08 21.78|+24 46 03.1|13.55| 0.68| 1|27|VC|  -2.91| 48.36| 0.8| 31.5|  3.1| 0|  |  | 63.80|BU | |SB2|  | |Simbad
 56059| 62059|  0|   |   |   |06 10 52.00|+24 37 38.8|15.39| 0.87| 1| 9|VC|  21.67| 43.11| 0.8| 37.3| 42.6| 0|  |  | 52.09|BU | |SB2|  | |Simbad
 35072| 34072|  0|   |   |   |06 07 33.10|+23 52 07.7|14.69| 0.75| 1| 8|VC| -13.85| 32.63| 0.6| 20.4| 20.4| 0|  |  | 52.23|BU | |SB2|  | |Simbad
 24050| 20050|  1|   |   |   |06 10 43.15|+24 08 27.4|13.92| 0.74| 1|12|VC| -16.45| 11.09| 0.5| 10.0|     | 0|  |  | 22.17|BU | |SB1|  | |Simbad
  9003|  9003|  1|136|   |   |06 09 02.52|+24 19 51.9|16.28| 1.06| 2|29|VC|  -7.53|  4.34| 0.7| 23.4|  0.5|94|  |  |  6.58|BM |O|SB1|  |X|Simbad
 31007| 31007|  1|   |   |   |06 09 06.87|+24 17 24.3|16.18| 1.08| 2|20|VC|  -8.54|  3.73| 0.9| 41.6|  1.6|96|  |  |  4.24|BLM| |SB1|RR| |Simbad
  7007|  7007|  0|   |375|   |06 09 22.78|+24 20 26.2|11.43| 0.20| 2|10|VC|  -5.87|  4.16| 0.7| 22.8|  3.5|59|99|  |  6.36|BLM| |SB1|RR|X|Simbad
 16009| 16009|  1|   |180|   |06 08 50.43|+24 22 30.6|14.01| 0.67| 2|14|VC|  -7.38|  7.20| 1.8|118.0|  4.5|95|99|  |  4.01|BLM| |SB1|RR| |Simbad
 19014| 19014|  1|   |448|   |06 09 36.70|+24 22 20.0|13.81| 0.63| 2|11|VC|  -7.21|  9.64| 2.0|138.1|  5.2|94|99|  |  4.73|BLM| |SB1|RR| |Simbad
 24015| 24015|  0|   |461|   |06 09 38.19|+24 18 52.0|13.57| 0.61| 2|10|VC|  12.44| 13.47| 0.5|  0.0|  0.0| 0| 0|  | 26.93|BLN| |SB1|RR| |Simbad
  9016|  9016|  1|   |349|   |06 09 18.49|+24 13 19.1|13.55| 0.63| 2|18|VC| -11.11| 12.08| 0.5| 11.8|  6.3|63| 0|  | 23.16|BM |O|SB1|  | |Simbad
 13019| 12019|  1|   |182|   |06 08 50.83|+24 12 10.9|13.94| 0.61| 2|10|VC|  44.57|  8.98| 0.5|  0.0|  0.0| 0| 0|  | 17.95|BLN| |SB1|RR| |Simbad
 29020| 29020|  0|   |   |227|06 08 31.60|+24 26 02.2|14.77| 0.68| 2| 8|VC|  74.49|  5.31| 0.5|  0.0|  0.0| 0|  | 5| 10.62|BLN| |SB1|RR| |Simbad
 19021| 19021|  1|   |490|   |06 09 46.37|+24 15 45.3|14.01| 0.71| 2|25|VC|  -7.10|  2.43| 0.8| 37.6|  0.4|93|99|  |  2.93|SM | |   |RR| |Simbad
  6021|  6021|  0|   | 53|   |06 08 25.59|+24 23 36.2|12.03| 0.20| 2| 6|VC|  -3.62|  4.20| 0.8| 36.9|  1.3| 0|98|  |  5.10|BU | |SB1|RR|X|Simbad
 21021| 21021|  1|   |101|   |06 08 36.92|+24 28 17.6|14.31| 0.67| 2|30|VC|  -5.28|  2.81| 0.8| 37.0| 13.4|21|97|  |  3.42|SN | |   |RR| |Simbad
 71022| 71022|  0|   |   |   |06 09 21.93|+24 30 42.7|16.50| 1.09| 2|11|VC|  -6.59|  1.97| 0.7| 26.5|  1.5|86|  |  |  2.82|SM | |   |RR| |Simbad
 31022| 31022|  1|   |168|   |06 08 48.59|+24 10 28.4|15.17| 0.73| 2|16|VC|  17.51|  8.58| 0.6| 16.8|  1.6| 0| 0|  | 14.76|BU | |SB1|  | |Simbad
