#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:06:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e918242924	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/sb1}&key:source=J/AJ/150/10/sb1&HTTPPRM:&
#-source=J/AJ/150/10/sb1
#-order=I
#-out=Region
#-out=WOCS
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=RV
#-out=e_RV
#-out=K
#-out=e_K
#-out=e
#-out.all=2
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sigma
#-out=N
#-out=VC
#VC=VC
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_sb1:
#Name: J/AJ/150/10/sb1
#Title: Orbital parameters for single-lined binaries:  in M35 , and in the field
#Column	Region	(A5)	Simbad column added by the CDS	[ucd=meta.id.parent]
#Column	WOCS	(I6)	[4003/97044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	Per	(F12.7)	[2.24717/6100] Orbital period	[ucd=time.period]
#Column	e_Per	(F11.7)	[2e-06/110] Error in Per	[ucd=stat.error]
#Column	Ncyc	(F6.1)	[1/2111.2] Number of orbital cycles encompassed by our measurements	[ucd=meta.number]
#Column	RV	(F6.2)	[-26.38/52.6] Center-of-mass velocity ({gamma})	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_RV	(F5.2)	[0.07/1.4] Error in RV	[ucd=stat.error]
#Column	K	(F6.2)	[-18/50] Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	[0.1/21] Error in K	[ucd=stat.error]
#Column	e	(F6.3)	[-0.003/0.94] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	[0.003/0.15] Error in eccentricity	[ucd=stat.error]
#Column	omega	(F5.1)	[0/360] Longitude of periastron ({omega})	[ucd=src.orbital.periastron]
#Column	e_omega	(F4.1)	[0.5/40] Error in omega	[ucd=stat.error]
#Column	T0	(F9.3)	[51257/56392] Heliocentric Julian Date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.3)	[0.024/30] Error in T0	[ucd=stat.error]
#Column	asini	(F7.3)	[-92/312] Projected semi-major axis (a sin i)	[ucd=phys.size.smajAxis]
#Column	e_asini	(F7.3)	[0.006/300] Error in asini	[ucd=stat.error]
#Column	f(m)	(D12.5)	Mass function (M_2_*sini)^3^/(M_1_+M_2_)^2^	[ucd=phys.mass]
#Column	e_f(m)	(E9.2)	Error in f(m)	[ucd=stat.error]
#Column	sigma	(F5.2)	[0.32/3.29] The rms residual velocity from the orbital solution ({sigma})	[ucd=stat.fit.residual;phys.veloc;instr.det.noise]
#Column	N	(I2)	[10/52] Number of radial velocity measurements	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curve	[ucd=meta.ref.url]
Region|WOCS|Per|e_Per|Ncyc|RV|e_RV|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sigma|N|VC
 | |d|d| |km/s|km/s|km/s|km/s| | |deg|deg|d|d|10+6km|10+6km|Msun|Msun|km/s| |
-----|------|------------|-----------|------|------|-----|------|-----|------|------|-----|----|---------|------|-------|-------|------------|---------|-----|--|--
M35  |  4003|4430.0000000| 50.0000000|   1.3| -8.59| 0.08|  4.61| 0.12| 0.311| 0.019|168.1| 1.2|54337.670| 0.060|267.000|  7.000| 3.80000e-02| 3.00e-03| 0.39|29|VC
M35  |  7003| 643.9000000|  1.1000000|   8.0| -9.10| 0.30| 12.80| 0.50| 0.250| 0.040|206.0| 1.2|52775.030| 0.060|109.000|  4.000| 1.26000e-01| 1.40e-02| 1.19|17|VC
M35  |  7025| 361.9000000|  0.9000000|  15.6| -9.00| 1.40|  7.20| 1.70| 0.140| 0.080|151.2| 1.2|53916.070| 0.060| 36.000|  8.000| 1.40000e-02| 1.00e-02| 1.12|29|VC
M35  |  9003| 804.5000000|  1.4000000|   7.9| -7.20| 0.30|  7.50| 0.60| 0.660| 0.040|196.9| 1.2|54347.500| 0.060| 62.000|  6.000| 1.50000e-02| 4.00e-03| 1.31|29|VC
M35  |  9016|  41.2010000|  0.0070000|  52.4|-10.30| 0.12| 16.23| 0.22| 0.372| 0.013|260.2| 1.2|56034.510| 0.060|  8.530|  0.130| 1.46000e-02| 6.00e-04| 0.48|18|VC
M35  | 10019|1155.0000000|  4.0000000|   4.5| -8.60| 0.30|  7.70| 0.90| 0.703| 0.023|140.0|40.0|53844.900| 1.000| 86.000| 11.000| 1.90000e-02| 7.00e-03| 0.88|42|VC
M35  | 12059| 144.9000000|  0.3000000|  17.5| -9.00| 0.30|  5.30| 0.80| 0.390| 0.060| 27.1| 1.9|55467.380| 0.070|  9.700|  1.500| 1.70000e-03| 8.00e-04| 0.70|16|VC
M35  | 14025|  22.6190000|  0.0003000| 275.0| -7.85| 0.14| 17.47| 0.21| 0.398| 0.010|290.0|30.0|52603.600| 0.300|  4.990|  0.060| 9.70000e-03| 4.00e-04| 0.50|20|VC
M35  | 15012|  23.2750000|  0.0040000| 224.6| -8.70| 0.70| 12.00| 6.00| 0.710| 0.150|186.0|10.0|53192.900| 0.500|  2.700|  1.600| 1.40000e-03| 2.30e-03| 3.29|31|VC
M35  | 16016|   7.0885800|  0.0000500| 756.5| -7.49| 0.11| 30.18| 0.15| 0.005| 0.006| 83.7| 1.6|52731.200| 0.060|  2.942|  0.014| 2.02000e-02| 3.00e-04| 0.42|18|VC
M35  | 16025| 935.3000000|  2.3000000|   5.6| -7.20| 0.17|  8.70| 0.30| 0.150| 0.040|360.0|10.0|54190.000|30.000|110.000|  4.000| 6.10000e-02| 6.00e-03| 0.82|24|VC
M35  | 18012| 358.0000000|  0.7000000|  16.3| -8.95| 0.20|  2.93| 0.23| 0.320| 0.070|242.1| 1.2|52942.900| 0.300| 13.700|  1.100| 7.90000e-04| 1.90e-04| 0.84|34|VC
M35  | 18016|  79.1860000|  0.0070000|  75.0| -8.24| 0.12| 15.10| 0.16| 0.378| 0.010|329.2| 1.8|52179.080| 0.070| 15.220|  0.170| 2.24000e-02| 7.00e-04| 0.45|21|VC
M35  | 19057|1129.0000000| 10.0000000|   4.5| -9.20| 0.30|  8.00| 3.00| 0.830| 0.090|104.1| 0.9|54075.500| 0.070| 70.000| 30.000| 1.10000e-02| 1.20e-02| 1.15|30|VC
M35  | 20016|  49.0732000|  0.0021000| 121.6| -9.34| 0.10| 16.81| 0.18| 0.351| 0.013|249.9| 0.5|52126.652| 0.024| 10.620|  0.130| 1.98000e-02| 7.00e-04| 0.45|32|VC
