#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:34:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe5209191	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table5}&key:source=J/AJ/148/38/table6&HTTPPRM:&
#-source=J/AJ/148/38/table5
#-order=I
#-out=WOCS
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=RV
#-out=e_RV
#-out=K
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sigma
#-out=N
#-out.all=2
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table5:
#Name: J/AJ/148/38/table5
#Title: Orbital parameters for NGC 6819 single-lined binaries
#Column	WOCS	(I5)	[1001/77007] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	Per	(F11.6)	[1.57469/7810] Orbital period	[ucd=time.period]
#Column	e_Per	(F10.6)	The 1{sigma} error in Per	[ucd=stat.error]
#Column	Ncyc	(F6.1)	[1.1/2623.5] Number of orbital cycles observed	[ucd=meta.number]
#Column	RV	(F5.2)	Center-of-mass radial velocity ({gamma})	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	The 1{sigma} error in RV	[ucd=stat.error;phys.veloc]
#Column	K	(F5.2)	[1.7/55.1] Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	The 1{sigma} error in K	[ucd=stat.error]
#Column	e	(F6.3)	[0/1] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	The 1{sigma} error in e	[ucd=stat.error]
#Column	omega	(F5.1)	Longitude of periastron {omega}	[ucd=src.orbital.periastron]
#Column	e_omega	(F5.1)	The 1{sigma} error in omega	[ucd=stat.error]
#Column	T0	(F8.2)	[48249/56244] An Heliocentric Julian Date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.2)	The 1{sigma} error in T0	[ucd=stat.error]
#Column	asini	(F7.3)	Projected semi-major axis (a sin i)	[ucd=phys.angSize.smajAxis]
#Column	e_asini	(F7.3)	The 1{sigma} error in asini	[ucd=stat.error]
#Column	f(m)	(E9.2)	The mass function	[ucd=phys.mass]
#Column	e_f(m)	(E8.1)	The 1{sigma} error in f(m)	[ucd=stat.error]
#Column	sigma	(F5.2)	The rms residual velocity from the orbital solution ({sigma})	[ucd=stat.fit.residual;phys.veloc;instr.det.noise]
#Column	N	(I2)	[12/42] Number of radial velocity measurements	[ucd=meta.number]
WOCS|Per|e_Per|Ncyc|RV|e_RV|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sigma|N
 |d|d| |km/s|km/s|km/s|km/s| | |deg|deg|d|d|Gm|Gm|Msun|Msun|km/s|
-----|-----------|----------|------|-----|-----|-----|-----|------|------|-----|-----|--------|------|-------|-------|---------|--------|-----|--
 1001| 653.400000|  0.500000|   6.1| 1.43| 0.17|21.49| 0.23| 0.226| 0.011| 88.0|  3.0|48784.00|  4.00|188.100|  2.000| 6.21e-01| 2.0e-02| 0.65|23
 1006|1524.000000|  5.000000|   5.5| 2.73| 0.13| 5.37| 0.18| 0.240| 0.040|131.0| 10.0|49770.00| 40.00|109.000|  4.000| 2.25e-02| 2.2e-03| 0.49|18
 1010|1144.000000|  3.000000|   7.7| 1.10| 0.40| 7.20| 0.70| 0.550| 0.040|107.0| 11.0|53065.00| 22.00| 95.000|  9.000| 2.60e-02| 7.0e-03| 1.56|32
 2008|2379.000000|  9.000000|   3.3| 1.79| 0.14| 5.76| 0.16| 0.240| 0.040|143.0|  5.0|52040.00| 30.00|183.000|  5.000| 4.30e-02| 4.0e-03| 0.51|41
 2012|2920.000000| 30.000000|   1.8| 2.64| 0.16| 6.01| 0.20| 0.390| 0.030| 19.0|  4.0|51860.00| 30.00|223.000|  8.000| 5.10e-02| 5.0e-03| 0.41|19
 3002|  17.697800|  0.000300| 414.5| 2.20| 0.30|42.70| 0.50| 0.022| 0.012|130.0| 30.0|48961.80|  1.40| 10.380|  0.120| 1.42e-01| 5.0e-03| 2.02|37
 3011|7369.000000| 19.000000|   1.1| 3.02| 0.11| 4.28| 0.11| 0.608| 0.012|345.0|  4.0|54980.00| 30.00|344.000| 10.000| 2.99e-02| 2.3e-03| 0.32|26
 4008|1449.000000|  4.000000|   4.5| 1.22| 0.09| 5.13| 0.13| 0.060| 0.030|180.0| 30.0|50710.00|130.00|102.000|  3.000| 2.01e-02| 1.5e-03| 0.50|33
 6001| 323.100000|  2.100000|   6.0| 2.50| 0.30| 7.00| 0.70| 0.430| 0.050|319.0|  9.0|55442.00|  7.00| 28.000|  3.000| 9.00e-03| 3.0e-03| 0.79|16
 6002|3360.000000| 50.000000|   1.6| 2.19| 0.20| 4.70| 0.60| 0.720| 0.060|113.0|  4.0|48249.00| 24.00|151.000| 23.000| 1.20e-02| 5.0e-03| 0.49|21
 6004| 113.615000|  0.022000|  35.8| 1.36| 0.21|17.20| 0.30| 0.162| 0.019|166.0|  6.0|49453.30|  1.90| 26.500|  0.400| 5.80e-02| 3.0e-03| 0.89|26
 6006|5200.000000|120.000000|   1.6| 0.64| 0.12| 3.44| 0.14| 0.100| 0.040|344.0| 21.0|56200.00|300.00|245.000| 10.000| 2.20e-02| 3.0e-03| 0.40|35
 7009| 209.890000|  0.040000|  23.1| 0.22| 0.11|20.50| 0.30| 0.585| 0.007|216.5|  1.1|49988.90|  0.60| 48.000|  0.800| 1.00e-01| 5.0e-03| 0.61|38
 8007|  66.837000|  0.016000|  82.6| 3.74| 0.10| 4.04| 0.12| 0.220| 0.030| 79.0|  6.0|51623.20|  1.20|  3.620|  0.110| 4.20e-04| 4.0e-05| 0.21|17
 8012|  40.744000|  0.008000|  50.0| 1.21| 0.12|14.21| 0.18| 0.586| 0.009|213.9|  1.4|52417.46|  0.13|  6.450|  0.100| 6.50e-03| 3.0e-04| 0.45|18
 9001| 458.400000|  1.100000|   4.1| 1.58| 0.20| 8.00| 0.40| 0.540| 0.030|249.0|  5.0|55368.00|  3.00| 43.000|  3.000| 1.50e-02| 3.0e-03| 0.57|12
 9002|1584.000000| 10.000000|   2.7| 1.99| 0.12| 3.94| 0.24| 0.390| 0.060| 74.0|  7.0|50031.00| 22.00| 79.000|  5.000| 7.90e-03| 1.5e-03| 0.43|16
 9026|1240.000000| 30.000000|   1.8| 3.64| 0.12| 4.00| 0.40| 0.350| 0.060| 99.0| 10.0|51700.00| 30.00| 63.000|  6.000| 6.60e-03| 1.8e-03| 0.39|19
11006|7810.000000| 60.000000|   1.1| 2.35| 0.22| 3.80| 0.30| 0.670| 0.040|172.0|  7.0|48470.00| 70.00|310.000| 30.000| 1.90e-02| 4.0e-03| 0.70|32
