#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
 |"h:m:s"|"d:m:s"|mag|mag| | |km/s|km/s| |%|%| |km/s|km/s| | | | |
------|-----------|-----------|-----|-----|--|--|-------|-----|------|--|--|---|-------|-----|---|-|---|--|------
  1001|19 41 18.71|+40 11 42.9|12.69| 1.41| 3|20|   6.04| 3.40| 23.88|90|19|BM |   1.42| 0.17|SB1|O|  1|VC|Simbad
  1002|19 41 17.05|+40 10 51.8|11.65| 1.73| 2|11|   0.94| 0.18|  0.92|84|99|SM |       |     |   | |  1|VC|Simbad
  1004|19 41 26.59|+40 11 41.8|12.22| 1.50| 5| 5|   1.55| 0.22|  1.15|91|99|SM |       |     |   | |  1|VC|Simbad
  1005|19 41 11.85|+40 13 30.1|     |     | 5| 6| -38.30| 0.19|  1.02| 0|87|SN |       |     |   | |  1|VC|Simbad
  1006|19 41 17.76|+40 09 15.9|12.83| 1.23| 5|13|   1.47| 0.96|  6.30|94|99|BM |   2.72| 0.13|SB1|O|  1|VC|Simbad
  1007|19 41 13.20|+40 14 56.7|     |     | 3| 6|   3.42| 0.28|  1.31|91| 0|SN |       |     |   | |  1|VC|Simbad
  1010|19 41 42.64|+40 11 40.2|12.82| 0.29|17|15|   2.33| 0.87|  8.66|86|87|BM |   1.07| 0.35|SB1|O|  1|VC|Simbad
  1011|19 41 44.98|+40 12 50.3|11.80| 0.59| 2| 6| -22.50| 0.27|  1.13| 0| 0|SN |       |     |   | |  1|VC|Simbad
  1012|19 41 46.76|+40 10 02.3|12.40| 0.73|11| 2|  14.81| 9.70| 73.19| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  1013|19 41 44.81|+40 08 01.9|11.97| 0.62| 6| 9| -27.61| 0.37|  2.34| 0| 0|SN |       |     |   | |  1|VC|Simbad
  1014|19 41 34.39|+40 17 48.2|     |     | 3| 3|   2.45| 0.18|  0.71|94|99|SM |       |     |   | |  1|VC|Simbad
  1015|19 41 23.64|+40 19 07.3|12.12| 1.67| 1| 5| -19.63| 0.32|  1.08| 0| 3|SN |       |     |   | |  1|VC|Simbad
  1016|19 41 08.23|+40 19 31.9|     |     | 0| 3|   2.13| 0.37|  0.74|94|99|SM |       |     |   | |  1|VC|Simbad
  1020|19 42 04.52|+40 14 57.0|     |     | 3| 0| -10.70| 0.61|  2.14| 0|99|SN |       |     |   | |  0|VC|Simbad
  1033|19 42 09.77|+39 58 42.3|14.44| 0.93| 3| 0|  -6.43| 0.35|  1.23| 0|  |SN |       |     |   | |  0|VC|Simbad
  2001|19 41 18.93|+40 11 41.0|13.38| 1.31| 3| 0|   0.94| 0.04|  0.13|84| 0|SN |       |     |   | |  1|VC|Simbad
  2002|19 41 15.85|+40 11 23.2|12.64| 0.47|10| 6|   3.94| 1.10|  8.02|85|99|BLM|       |     |   | |  1|VC|Simbad
  2003|19 41 11.03|+40 11 11.7|11.63| 1.12| 0| 4|   3.31| 0.25|  0.63|92|99|SM |       |     |   | |  1|VC|Simbad
  2004|19 41 27.08|+40 12 28.3|12.63| 1.38| 2| 4|   0.56| 0.21|  0.75|73|99|SM |       |     |   | |  1|VC|Simbad
  2005|19 41 11.72|+40 09 47.3|13.03| 0.42|14|12|   2.91| 0.18|  1.59|94| 0|SN |       |     |   | |  1|VC|Simbad
  2006|19 41 29.15|+40 13 04.1|13.11| 1.27| 3| 0|   1.01| 0.11|  0.39|85|98|SM |       |     |   | |  1|VC|Simbad
  2007|19 41 05.24|+40 14 04.2|13.12| 1.30| 3| 4|   3.25| 0.18|  0.74|92|99|SM |       |     |   | |  1|VC|Simbad
  2008|19 41 30.31|+40 09 00.5|11.69| 1.86|13|29|   1.57| 0.63|  6.46|93|99|BM |   1.78| 0.13|SB1|O|  1|VC|Simbad
  2009|19 41 24.91|+40 07 44.0|12.44| 2.50| 1| 7| -37.23| 0.32|  1.25| 0|98|SN |       |     |   | |  1|VC|Simbad
  2010|19 41 40.96|+40 13 26.0|13.02| 1.82| 4| 3|  -6.10| 0.17|  0.75| 0|29|SN |       |     |   | |  1|VC|Simbad
