#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-07T20:09:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9b9ad7873a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table6}&key:source=J/AJ/148/38/table6&HTTPPRM:&
#-source=J/AJ/148/38/table6
#-order=I
#-out=WOCS
#-out=m_WOCS
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=RV
#-out=e_RV
#-out=K1
#-out=e_K1
#-out=K2
#-out.all=2
#-out=e_K2
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini1
#-out=e_asini1
#-out=asini2
#-out=e_asini2
#-out=msini1
#-out=e_msini1
#-out=msini2
#-out=e_msini2
#-out=q
#-out=e_q
#-out=sig1
#-out=sig2
#-out=N1
#-out=N2
#-out.all=2
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table6:
#Name: J/AJ/148/38/table6
#Title: Orbital parameters For NGC 6819 double-lined binaries
#Column	WOCS	(I5)	[4004/76004] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	m_WOCS	(A1)	[b] Flag for eclipsing binary WOCS 24009 (G2)	[ucd=phys.mass]
#Column	Per	(F10.6)	[3.18508/297.2] Orbital period	[ucd=time.period]
#Column	e_Per	(F9.6)	The 1{sigma} error in Per	[ucd=stat.error]
#Column	Ncyc	(F6.1)	[14.5/1023.6] Number of orbital cycles observed	[ucd=meta.number]
#Column	RV	(F5.2)	Center-of-mass radial velocity ({gamma})	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	The 1{sigma} error in RV	[ucd=stat.error;phys.veloc]
#Column	K1	(F5.2)	[18.1/90] Orbital amplitude of the primary	[ucd=src.var.amplitude]
#Column	e_K1	(F5.2)	The 1{sigma} error in K1	[ucd=stat.error]
#Column	K2	(F5.1)	[20/103.3] Orbital amplitude of the secondary	[ucd=src.var.amplitude]
#Column	e_K2	(F4.1)	The 1{sigma} error in K2	[ucd=stat.error]
#Column	e	(F6.3)	[0/1] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	The 1{sigma} error in e	[ucd=stat.error]
#Column	omega	(F5.1)	Longitude of periastron {omega}	[ucd=src.orbital.periastron]
#Column	e_omega	(F5.1)	The 1{sigma} error in omega	[ucd=stat.error]
#Column	T0	(F8.2)	[51635.6/55064.8] An Heliocentric Julian Date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F5.2)	The 1{sigma} error in T0	[ucd=stat.error]
#Column	asini1	(F6.3)	Projected primary semi-major axis (a sin i)	[ucd=phys.angSize.smajAxis]
#Column	e_asini1	(F6.3)	The 1{sigma} error in asini1	[ucd=stat.error]
#Column	asini2	(F6.3)	Projected secondary semi-major axis (a sin i)	[ucd=phys.angSize.smajAxis]
#Column	e_asini2	(F6.3)	The 1{sigma} error in asini2	[ucd=stat.error]
#Column	msini1	(F6.3)	Projected primary mass (m sin^3^ i)	[ucd=phys.mass]
#Column	e_msini1	(F6.3)	The 1{sigma} error in msini1	[ucd=stat.error]
#Column	msini2	(F6.3)	Projected secondary mass (m sin^3^ i)	[ucd=phys.mass]
#Column	e_msini2	(F6.3)	The 1{sigma} error in msini2	[ucd=stat.error]
#Column	q	(F6.3)	[0.7/1.03] Mass ratio	[ucd=phys.mass]
#Column	e_q	(F6.3)	The 1{sigma} error in q	[ucd=stat.error]
#Column	sig1	(F5.2)	The rms residual velocity for the primary from the orbital solution ({sigma})	[ucd=stat.fit.residual]
#Column	sig2	(F5.2)	The rms residual velocity for the secondary from the orbital solution ({sigma})	[ucd=stat.fit.residual]
#Column	N1	(I2)	[12/49] Number of radial velocity measurements for the primary	[ucd=meta.number]
#Column	N2	(I2)	[11/37] Number of radial velocity measurements for the secondary	[ucd=meta.number]
WOCS|m_WOCS|Per|e_Per|Ncyc|RV|e_RV|K1|e_K1|K2|e_K2|e|e_e|omega|e_omega|T0|e_T0|asini1|e_asini1|asini2|e_asini2|msini1|e_msini1|msini2|e_msini2|q|e_q|sig1|sig2|N1|N2
 | |d|d| |km/s|km/s|km/s|km/s|km/s|km/s| | |deg|deg|d|d|Gm|Gm|Gm|Gm|Msun|Msun|Msun|Msun| | |km/s|km/s| |
-----|-|----------|---------|------|-----|-----|-----|-----|-----|----|------|------|-----|-----|--------|-----|------|------|------|------|------|------|------|------|------|------|-----|-----|--|--
 4004| |297.170000| 0.090000|  27.4| 2.50| 0.30|18.10| 0.50| 22.9| 0.4| 0.227| 0.017| 89.0|  5.0|51907.00| 4.00|72.200| 2.000|91.300| 1.900| 1.100| 0.060| 0.870| 0.050| 0.790| 0.030| 2.10| 1.56|38|21
11004| | 91.336000| 0.012000|  20.2| 2.48| 0.22|31.80| 0.30| 40.1| 0.8| 0.447| 0.007|115.6|  1.5|51635.69| 0.20|35.700| 0.400|45.100| 0.900| 1.410| 0.060| 1.110| 0.040| 0.792| 0.017| 0.72| 2.14|19|17
12006| | 33.239300| 0.002200| 111.3| 1.75| 0.14|39.97| 0.21| 54.3| 0.5| 0.366| 0.006|286.5|  0.8|52256.78| 0.08|17.000| 0.090|23.110| 0.210| 1.340| 0.030| 0.986| 0.014| 0.735| 0.008| 0.54| 1.31|18|16
14005| | 29.718400| 0.000800| 145.0| 3.27| 0.20|46.30| 0.40| 52.2| 0.8| 0.308| 0.007|171.9|  1.4|53425.03| 0.13|18.020| 0.150|20.300| 0.300| 1.340| 0.050| 1.190| 0.030| 0.888| 0.016| 0.73| 1.89|22|20
17003| | 20.890400| 0.001100| 106.5| 2.90| 0.30|41.10| 1.30| 43.2| 0.6| 0.059| 0.015|351.0| 10.0|52489.20| 0.60|11.800| 0.400|12.390| 0.210| 0.660| 0.030| 0.630| 0.050| 0.950| 0.040| 2.70| 1.29|15|12
23018| |  3.574911| 0.000021| 609.4| 2.90| 0.30|76.30| 0.50| 97.3| 0.5| 0.010| 0.005|326.0| 25.0|55064.78| 0.24| 3.750| 0.030| 4.783| 0.024| 1.086| 0.014| 0.852| 0.013| 0.785| 0.007| 2.39| 2.04|49|37
24009|b|  3.649210| 0.000040| 983.5| 0.40| 0.70|90.00| 1.30| 88.0| 1.3| 0.005| 0.011| 69.0|140.0|54836.10| 1.40| 4.520| 0.070| 4.420| 0.070| 1.050| 0.040| 1.080| 0.040| 1.023| 0.023| 4.86| 5.00|26|22
25010| | 18.789910| 0.000200| 136.0| 3.72| 0.21|56.70| 0.60| 61.4| 0.4| 0.397| 0.006|305.8|  1.4|53192.52| 0.05|13.450| 0.160|14.560| 0.130| 1.290| 0.030| 1.190| 0.030| 0.924| 0.013| 1.16| 0.88|12|11
37013| |167.190000| 0.040000|  24.0| 1.70| 0.30|24.30| 0.70| 23.9| 0.8| 0.414| 0.019| 17.0|  3.0|54072.70| 0.90|50.800| 1.600|50.000| 1.800| 0.730| 0.060| 0.740| 0.060| 1.020| 0.040| 1.76| 2.08|23|19
38008| |  5.496330| 0.000040| 269.3| 3.47| 0.11|57.75| 0.15| 67.5| 0.8| 0.002| 0.002|190.0| 70.0|51994.50| 1.10| 4.365| 0.013| 5.100| 0.070| 0.604| 0.017| 0.516| 0.008| 0.855| 0.012| 0.45| 2.62|19|19
40007| |  3.185087| 0.000012|1023.6| 3.70| 0.50|87.90| 1.00|103.3| 1.1| 0.002| 0.008| 90.0|300.0|54329.30| 2.40| 3.850| 0.050| 4.530| 0.050| 1.250| 0.030| 1.060| 0.030| 0.851| 0.014| 4.25| 4.87|40|37
42002| |278.980000| 0.230000|  14.5| 3.10| 0.30|19.40| 0.50| 20.0| 1.5| 0.375| 0.018|305.0|  6.0|53522.00| 4.00|69.200| 2.100|71.000| 6.000| 0.720| 0.130| 0.700| 0.080| 0.970| 0.090| 1.09| 3.36|14|11
42007| |145.342000| 0.018000|  30.7| 2.05| 0.25|26.40| 0.80| 26.4| 1.2| 0.541| 0.019|170.8|  1.7|52910.50| 0.50|44.400| 1.000|44.300| 1.900| 0.660| 0.060| 0.660| 0.040| 1.000| 0.050| 1.37| 2.80|29|26
55007| | 13.723550| 0.000180| 232.8| 3.17| 0.25|54.70| 0.40| 60.1| 0.5| 0.259| 0.006|160.0|  1.2|54360.34| 0.04| 9.970| 0.090|10.960| 0.110| 1.017| 0.023| 0.925| 0.020| 0.910| 0.011| 1.18| 1.68|23|20
