#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:18:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405ee0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/orbits}&key:source=J/A+AS/124/75/orbits&HTTPPRM:&
#-source=J/A+AS/124/75/orbits
#-order=I
#-out=IDS
#-out=Level
#-out=Period
#-out=x_Period
#-out=T
#-out=e
#-out=a
#-out=x_a
#-out=Node
#-out=LongP
#-out=n_Node
#-out=Incl
#-out=K1
#-out=K2
#-out=V0
#-out=Comm
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_orbits:
#Name: J/A+AS/124/75/orbits
#Title: Orbital parameters
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy	[ucd=meta.code.multip]
#Column	Period	(F10.4)	Period (see X_period for the units)	[ucd=time.period]
#Column	x_Period	(A1)	[dy] Units of period (d,y)	[ucd=meta.unit]
#Column	T	(F10.3)	Periastron epoch (y or JD-2400000)	[ucd=time.epoch]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	a	(F7.3)	Semi-major axis (see x_a fir the units)	[ucd=phys.angSize.smajAxis;src.orbital]
#Column	x_a	(A1)	["m] Units of axis (",m)	[ucd=meta.unit]
#Column	Node	(F6.1)	P.A. of the node	[ucd=src.orbital.node]
#Column	LongP	(F6.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	n_Node	(A1)	'A' if primary node, 'B' otherwise	[ucd=meta.note]
#Column	Incl	(F6.1)	Inclination	[ucd=src.orbital.inclination]
#Column	K1	(F6.1)	Primary semi-amplitude	[ucd=src.var.amplitude]
#Column	K2	(F6.1)	Secondary semi-amplitude	[ucd=src.var.amplitude]
#Column	V0	(F7.1)	Center of mass velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Comm	(a31)	Comment, reference	[ucd=meta.note]
IDS|Level|Period|x_Period|T|e|a|x_a|Node|LongP|n_Node|Incl|K1|K2|V0|Comm
 | | | | | | | |deg|deg| |deg|km/s|km/s|km/s|
----------|----|----------|-|----------|------|-------|-|------|------|-|------|------|------|-------|-------------------------------
00002+4516|  11| 1506.6800|y|  1969.440| 0.500| 11.698|"| 174.4| 350.4|B|  56.6|   0.0|   0.0|    0.0|VBO
00002+4516|  11|  362.3000|y|  1710.000| 0.520|  6.179|"|  19.1| 276.6|B|  62.3|   0.0|   0.0|    0.0|VBO
00010+5752|   1|  106.7000|y|  1943.100| 0.450|  1.440|"| 221.0| 277.0|B|  45.0|   0.0|   0.0|    0.0|A&A 341 121 1999 Soderhjelm
00010+5752|  12|   47.6850|d| 49891.500| 0.610|  0.000| |   0.0| 290.0|A|   0.0|  10.2|   0.0|  -11.7|Obs. 119 27 1999 Griffin
00082+2625|  11|  368.0000|y|  1970.500| 0.690|  0.564|"|  15.7| 113.8|B| 127.5|   0.0|   0.0|    0.0|VBO
00082+2625|  12|    6.0263|d| 50330.709| 0.025|  0.000| |   0.0|  33.4|A|   0.0|  68.1|  71.4|   -8.6|PAZH 24 343 1998 Tokovinin
00098+0815|  11|    0.8417|d| 36094.121| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  89.9|  96.8|    2.6|SB  10, UU Psc
00120+0819|  11|   36.8000|y|  1931.000| 0.000|  0.190|"| 125.0|  95.0|B|  90.0|   0.0|   0.0|    0.0|Baize A&AS 71 177 1987
00120+0819|  11|   36.1300|y|  1972.330| 0.072|  0.204|"| 125.0| 313.9|B|  96.3|   0.0|   0.0|    0.0|Ling I, IAU #93 1984
00120+0819|  11|   18.0200|y|  1968.880| 0.856|  0.121|"| 138.2|  37.8|B| 109.7|   0.0|   0.0|    0.0|Ling II IAU #93 1984
00158+6627|  11|  240.0000|y|  1927.000| 0.800|  0.460|"| 147.3| 184.3|B| 103.0|   0.0|   0.0|    0.0|VBO
00189+5127|  11|   25.4400|d| 43840.300| 0.140|  0.000| |   0.0| 165.0|A|   0.0|  23.4|   0.0|  -15.8|ApJS 74 551 1990 (SB 17)
00220-0826|   1|   53.3800|y|  1949.920| 0.650|  0.360|"|  26.6| 295.2|A| 110.0|   7.0|   7.0|  -19.4|VBO
00220-0826|  12|    6.3903|d| 49238.069| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  56.4|   0.0|  -19.4|PAZh 21 445 1995 Smekhov
00263+6642|   1|  320.0000|y|  1993.000| 0.000|  4.060|"| 168.0|   0.0|B|  51.0|   0.0|   0.0|    0.0|VBO
