#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:17:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405e01	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/systems}&key:source=J/A+AS/124/75/systems&HTTPPRM:&
#-source=J/A+AS/124/75/systems
#-order=I
#-out=IDS
#-out=Level
#-out=Comp
#-out=Type
#-out=logP
#-out=Sep
#-out=x_Sep
#-out=PA
#-out=Vmag1
#-out=SP1
#-out=Vmag2
#-out=SP2
#-out=Mass1
#-out=MCode1
#-out=Mass2
#-out=MCode2
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_systems:
#Name: J/A+AS/124/75/systems
#Title: Individual subsystems
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy (1)	[ucd=meta.code.multip]
#Column	Comp	(A3)	Component designation	[ucd=meta.id]
#Column	Type	(a6)	Observing technique/status (2)	[ucd=meta.code;obs]
#Column	logP	(F5.2)	? Logarithm (10) of period in days	[ucd=time.period]
#Column	Sep	(F8.3)	Separation or axis	[ucd=pos.angDistance]
#Column	x_Sep	(A1)	['"m] Units of sep. (',",m)	[ucd=meta.unit]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Vmag1	(F5.2)	V-magnitude of the primary	[ucd=phot.mag;em.opt.V]
#Column	SP1	(a5)	Spectral type of the primary	[ucd=src.spType]
#Column	Vmag2	(F5.2)	V-magnitude of the secondary	[ucd=phot.mag;em.opt.V]
#Column	SP2	(a5)	Spectral type of the secondary	[ucd=src.spType]
#Column	Mass1	(F6.2)	Mass of the primary	[ucd=phys.mass]
#Column	MCode1	(A1)	Mass estimation code for primary (3)	[ucd=meta.code]
#Column	Mass2	(F6.2)	Mass of the secondary	[ucd=phys.mass]
#Column	MCode2	(A1)	Mass estimation code for secondary (3)	[ucd=meta.code]
#Column	Rem	(a20)	Remark	[ucd=meta.note]
IDS|Level|Comp|Type|logP|Sep|x_Sep|PA|Vmag1|SP1|Vmag2|SP2|Mass1|MCode1|Mass2|MCode2|Rem
 | | | |d| | |deg|mag| |mag| |solMass| |solMass| |
----------|----|---|------|-----|--------|-|---|-----|-----|-----|-----|------|-|------|-|--------------------
00002+4516|   1|AF |Cmrph | 7.85| 328.000|"|255| 8.97|dK6  | 9.92|M2V  |  1.12|s|  0.37|a|Gl 2
00002+4516|  11|AB |V     | 5.74|  11.698|"|174| 8.97|dK6  | 9.02|M0V  |  0.65|a|  0.47|a|STT 547
00010+5752|   1|AB |V     | 4.59|   1.432|"|  0| 6.36|G3V  | 7.30|G9V  |  0.98|*|  1.17|s|STF 3062
00010+5752|  12|Bab|S1    | 1.68|   0.013|"|  0| 7.30|G9V  | 0.00|     |  0.86|*|  0.31|*|Obs. 119 27 1999
00082+2625|   1|AC |Crp   | 7.20|  18.000|"|225| 6.30|G0III|10.37|G7V  |  4.04|s|  1.80|s|STT 2
00082+2625|  11|AB |V     | 5.13|   0.564|"|225| 6.70|G0III| 7.50|F2IV |  2.50|a|  1.54|a|STT 2
00082+2625|  12|Cab|S2    | 0.78|   0.639|m|  0|10.96|G7V  |11.32|G8V  |  0.92|*|  0.88|*|PAZh 24 343 1998
00098+0815|   1|AB |Cmhrp | 6.73|  11.464|"|147| 6.05|F0IV | 7.58|0.44 |  2.39|s|  1.13|a|STF 12
00098+0815|  11|Aab|S2,E  |-0.08|   0.291|m|  0| 6.80|F0IV | 6.80|F1IV |  1.24|*|  1.15|*|SB 10, UU Psc
00120+0819|   1|BC |Cmhr  | 5.90|   3.987|"|234| 7.78|F5   | 7.85|     |  2.40|s|  1.27|v|STF 22
00120+0819|  11|BA |V     | 4.12|   0.204|"|128| 7.78|F5   | 8.38|     |  1.29|a|  1.11|v|A 1803
00158+6627|   1|AC |Chpm  | 7.25|  13.500|"|114| 7.21|B8V  |10.11| 0.42|  7.46|s|  1.30|a|STF 26
00158+6627|  11|AB |V     | 4.94|   0.460|"|159| 7.70|B8V  | 8.30|A1V  |  4.48|a|  2.98|a|STT 6
00168-2334|   1|AB |Chpr  | 5.87|   5.500|"| 25| 7.61|G1V  | 9.18|1.14 |  1.06|a|  1.48|s|HJ 1957
00168-2334|  12|BC |v     | 3.83|   0.200|"| 91| 9.90|1.14 | 9.90|     |  0.74|a|  0.74|v|RST 5493
00189+5127|   1|AB |v     | 4.93|   0.200|"| 41| 5.57|B5IV | 8.00|     |  7.63|s|  2.86|v|Hu 506
00189+5127|  11|Aab|S1    | 1.41|   0.800|m|  0| 5.57|B5IV | 0.00|     |  6.40|a|  1.23|m|SB  17
