#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:15:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b3c5968	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/catalog}&key:source=J/A+AS/124/75/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/124/75/catalog
#-order=I
#-out=IDS
#-out=RA2000
#-out=DE2000
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=plx
#-out=r_plx
#-out=nComp
#-out=TRAP
#-out=Name
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_catalog:
#Name: J/A+AS/124/75/catalog
#Title: Catalogue of Physical Multiple Stars (systems)
#Column	IDS	(a10)	IDS (based on 1900 position)	[ucd=meta.id;meta.main]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(I5)	? Proper motion in RA [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in DE [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	plx	(F7.4)	Parallax	[ucd=pos.parallax.trig]
#Column	r_plx	(A3)	Parallax code (1)	[ucd=meta.ref]
#Column	nComp	(I1)	Number of Components (Multiplicity)	[ucd=meta.number]
#Column	TRAP	(A1)	[T] T for trapezia	[ucd=meta.note]
#Column	Name	(a20)	Name	[ucd=meta.id]
IDS|RA2000|DE2000|pmRA|pmDE|RV|plx|r_plx|nComp|TRAP|Name
 |"h:m:s"|"d:m:s"|mas/yr|mas/yr|km/s|arcsec| | | |
----------|----------|---------|-----|-----|------|-------|---|-|-|--------------------
00002+4516|00 05 40.3|+45 48 45|  879| -154|   0.1| 0.0851|HIP|3| |Gl 4AB + Gl 2
00010+5752|00 06 15.5|+58 26 12|  247|   18| -12.0| 0.0493|HIP|3| |Gl 4.1
00082+2625|00 13 23.9|+26 59 15|  -16|  -33| -13.0| 0.0081|HIP|4| |
00098+0815|00 14 58.8|+08 49 16|   98|  -25|   2.6| 0.0125|HIP|3| |35 Psc,  UU Psc
00120+0819|00 17 24.5|+08 52 35|   75|   76|  29.5| 0.0153|HIP|3| |38 Psc
00158+6627|00 21 22.2|+67 00 19|   26|   -2|      | 0.0049|HIP|3| |
00168-2334|00 16 49.0|-23 32 40|  125| -100|   0.5| 0.0250|p1 |3| |
00189+5127|00 24 15.6|+52 01 12|   14|   -4| -15.8| 0.0024|HIP|3| |
00197-2743|00 24 42.0|-27 08 52|  -55|  612|-220.0| 0.1328|GL |3| |GJ 2005
00220-0826|00 27 07.8|-07 52 34|  -33|   21| -24.0| 0.0184|HIP|3| |
00263+6642|00 32 26.8|+67 14 10| 1739| -225|  -4.0| 0.0987|HIP|3| |Gl 22 ABC, V547 Cas
00270-0544|00 32 08.1|-05 10 43|  297|  -27| -10.1| 0.0214|HIP|3| |
00270-6331|00 31 32.6|-62 57 29|   83|  -54|  14.0| 0.0234|HIP|6| |Bet1Tuc
00272+0624|00 32 23.8|+06 57 20|   46|    4|  17.0| 0.0124|HIP|3| |51    Psc
00275+2743|00 32 49.1|+28 16 49|   -4|    6| -12.0| 0.0069|HIP|3| |
00288-5553|00 33 29.7|-55 19 42|   10|    6|      | 0.0063|HIP|3| |
00294-0506|00 34 29.7|-04 32 47|   78|    1|  10.0| 0.0100|HIP|3| |
00301-0409|00 35 14.6|-03 35 34|  408|  -37|   9.0| 0.0475|HIP|3| |13 Cet, GL 23 AB
00307+2927|00 36 02.2|+29 59 38|  186| -408| -60.0| 0.0189|HIP|3| |
00315+3310|00 36 52.8|+33 43 10|   15|   -4|   9.0| 0.0050|HIP|3| |29Pi  And
