#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-29T03:31:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea8f4f13eb2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/631/A125&tab:{J/A+A/631/A125/tableb1}&key:source=J/A+A/631/A125/tableb1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/631/A125/tableb1
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=Plx
#-out=e_Plx
#-out=SpType
#-out=TimeSpan
#-out=VC
#VC=VC
#-out=Ntot
#-out=NSoph-
#-out=NSoph+
#-out=NElod
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_36310125
#Name: J/A+A/631/A125
#Title: 54 massive companions detected with SOPHIE (Kiefer+, 2019)
#Table	J_A_A_631_A125_tableb1:
#Name: J/A+A/631/A125/tableb1
#Title: Table of the 54 observed targets
#Column	Name	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A13)	Right ascension (J2000) from Simbad	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000) from Simbad	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude from Simbad	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	B-V colour index from Simbad	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Plx	(F6.3)	Absolute parallax from Gaia DR2 (Cat. I/345)	[ucd=pos.parallax]
#Column	e_Plx	(F6.3)	rms uncertainty on Plx	[ucd=stat.error;pos.parallax]
#Column	SpType	(a13)	Spectral type (from Simbad)	[ucd=src.spType]
#Column	TimeSpan	(F8.2)	Time span	[ucd=time.interval]
#Column	VC	(A2)	Show the Radial Velocity curves	[ucd=meta.ref.url]
#Column	Ntot	(I3)	Total number of SOPHIE radial velocity measurements	[ucd=meta.number]
#Column	NSoph-	(I2)	Number of radial velocity measurements with SOPHIE- (in sophiem.dat file ) (G1)	[ucd=meta.number]
#Column	NSoph+	(I2)	Number of radial velocity measurements with SOPHIE+ (in sophiep.dat file ) (G1)	[ucd=meta.number]
#Column	NElod	(I2)	Total number of radial velocity measurements with Elodie (in elodie.dat file)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Name|RAJ2000|DEJ2000|Vmag|B-V|Plx|e_Plx|SpType|TimeSpan|VC|Ntot|NSoph-|NSoph+|NElod|Simbad
 |"h:m:s"|"d:m:s"|mag|mag|mas|mas| |d| | | | | |
---------|-------------|-------------|-----|-----|------|------|-------------|--------|--|---|--|--|--|------
HD225239 |00 04 53.7604|+34 39 35.259| 6.11| 0.63|28.280| 0.230|G2V          | 1324.26|VC| 45| 0|45| 0|Simbad
BD+210055|00 30 31.0151|+22 46 08.282| 9.24| 0.94|26.375| 0.097|K5           | 2303.79|VC| 20| 0|20| 0|Simbad
HD5470   |00 56 40.2179|+17 57 35.427| 8.33| 0.64|14.853| 0.097|G0           | 5812.53|VC| 24| 1| 3| 0|Simbad
HD13014  |02 08 26.0644|+43 11 27.653| 7.59| 0.62|15.075| 0.076|F5           | 1354.27|VC| 16| 0|16| 0|Simbad
HD15292  |02 33 40.2378|+77 40 02.217| 7.66| 0.69|27.063| 0.028|G5           |  761.78|VC| 12| 0|12| 0|Simbad
HD18450  |02 58 52.4290|+26 46 26.675| 8.22| 0.90|34.022| 0.066|K2V          | 2263.87|VC| 11| 0|11| 0|Simbad
HD23965  |03 50 03.4617|+22 35 29.896| 7.27| 0.54|23.183| 0.054|F7           | 3779.79|VC| 84|19|65| 0|Simbad
HD24505  |03 54 59.8438|+28 11 17.160| 8.03| 0.70|13.650| 0.100|G5III        | 5135.40|VC| 29| 0| 8| 1|Simbad
HD28635  |04 31 29.3459|+13 54 12.510| 7.75| 0.55|20.384| 0.084|F9V          | 7703.28|VC| 29| 0|13| 3|Simbad
HD40647  |06 06 05.7202|+69 28 34.069| 8.26| 0.80|31.860| 0.160|G5V          | 4462.55|VC| 34|18| 7| 0|Simbad
HD48679  |06 58 18.0025|+80 55 42.319| 8.85| 0.75|14.964| 0.078|G0           | 1288.64|VC| 26| 0|26| 0|Simbad
BD+291539|07 30 22.3337|+29 22 50.355| 9.34| 0.79|16.016| 0.040|G5           | 1317.21|VC| 17| 0|17| 0|Simbad
HD60846  |07 38 17.9491|+42 27 35.051| 7.92| 0.62|13.736| 0.067|F8           | 2194.99|VC| 10| 0|10| 0|Simbad
HD62923  |07 48 31.8080|+47 45 53.769| 8.03| 0.75|17.220| 0.740|G5           | 1837.98|VC| 18| 3| 0|15|Simbad
HD71827  |08 37 14.4992|+77 02 48.470| 7.29| 0.53|22.703| 0.024|F8           | 4837.82|VC| 46| 0|44| 2|Simbad
HD73636  |08 41 14.5774|+47 28 50.118| 7.57| 0.57|17.500| 0.120|G0           | 4167.73|VC| 22| 0| 0| 0|Simbad
HD77712  |09 04 15.0684|+03 01 34.932| 8.93| 0.85|19.570| 0.120|K1/2(V)      | 1508.85|VC| 19| 0|19| 0|Simbad
HD78536  |09 08 53.9250|+03 57 33.093| 8.30| 0.65|12.257| 0.054|G3V          | 4068.99|VC|  8| 3| 5| 0|Simbad
