#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-29T03:33:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea8f5427190	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/631/A125&tab:{J/A+A/631/A125/tableb3}&key:source=J/A+A/631/A125/tableb3&HTTPPRM:&
#-source=J/A+A/631/A125/tableb3
#-order=I
#-out=Name
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=vturb
#-out=e_vturb
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=NFeI
#-out=NFeII
#-out=Mass
#-out=e_Mass
#-out=logR'HK
#-out=e_logR'HK
#-out=vsini
#-out=e_vsini
#-out.all=2
#

#RESOURCE=yCat_36310125
#Name: J/A+A/631/A125
#Title: 54 massive companions detected with SOPHIE (Kiefer+, 2019)
#Table	J_A_A_631_A125_tableb3:
#Name: J/A+A/631/A125/tableb3
#Title: Table of stellar parameters for the 54 stars in Table B1
#Column	Name	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	rms uncertainty on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	rms uncertainty on logg	[ucd=stat.error]
#Column	vturb	(F5.2)	Turbulent velocity	[ucd=phys.veloc.microTurb]
#Column	e_vturb	(F5.2)	rms uncertainty on vturb	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	rms uncertainty on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	NFeI	(I3)	Number of FeI lines used	[ucd=meta.number]
#Column	NFeII	(I2)	Number of FeII lines used	[ucd=meta.number]
#Column	Mass	(F5.2)	Stellar mass estimated using the Torres et al. (2010A&ARv..18...67T, Cat. J/other/A+ARV/18.67) empirical relation	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	rms uncertainty on Mass	[ucd=stat.error;phys.mass]
#Column	logR'HK	(F5.2)	R'_HK_ activity index	[ucd=phot.flux;arith.ratio]
#Column	e_logR'HK	(F5.2)	rms uncertainty on logR'HK	[ucd=stat.error]
#Column	vsini	(F4.1)	Rotational velocity	[ucd=phys.veloc.rotat]
#Column	e_vsini	(F4.1)	? rms uncertainty on vsini	[ucd=stat.error;phys.veloc.rotat]
Name|Teff|e_Teff|logg|e_logg|vturb|e_vturb|[Fe/H]|e_[Fe/H]|NFeI|NFeII|Mass|e_Mass|logR'HK|e_logR'HK|vsini|e_vsini
 |K|K|[cm2/s]|[cm2/s]|km/s|km/s|[-]|[-]| | |Msun|Msun|[-]|[-]|km/s|km/s
---------|----|---|-----|-----|-----|-----|-----|-----|---|--|-----|-----|-----|-----|----|----
BD+132550|5529| 38| 4.12| 0.20| 0.83| 0.06| 0.21| 0.03|244|31| 1.05| 0.08|-4.59| 0.11| 3.4| 1.0
BD+192536|4609|182| 4.52| 0.52| 0.29| 1.16| 0.08| 0.10|108|13| 0.75| 0.18|-4.52| 0.10| 2.1| 1.0
BD+210055|4833| 73| 4.38| 0.24| 0.15| 1.30|-0.22| 0.09|110|13| 0.77| 0.05|-4.56| 0.11| 2.1| 1.0
BD+212816|5263| 36| 4.56| 0.21| 0.59| 0.10|-0.08| 0.02|223|33| 0.81| 0.03|-4.41| 0.16| 2.5| 1.0
BD+281779|5136| 42| 4.48| 0.20| 0.34| 0.15|-0.33| 0.03|108|13| 0.77| 0.03|-4.54| 0.12| 3.1| 1.0
BD+291539|5445| 38| 4.41| 0.20| 0.69| 0.07| 0.14| 0.03|242|33| 0.91| 0.03|-4.65| 0.14| 3.3| 1.0
BD+362641|4753|190| 4.44| 0.47| 0.06| 3.33|-0.09| 0.04| 72| 5| 0.79| 0.17|-4.86| 0.16| 0.0|
BD+680971|5286| 31| 4.41| 0.20| 0.74| 0.06|-0.05| 0.02|236|33| 0.85| 0.06|-4.43| 0.11| 3.0| 1.0
HD101305 |6040| 27| 4.12| 0.20| 0.92| 0.04|-0.28| 0.02|229|32| 0.99| 0.03|-4.54| 0.18| 1.7| 1.0
HD103913 |5964| 27| 3.93| 0.20| 1.09| 0.04|-0.10| 0.02|236|35| 1.12| 0.04|-4.52| 0.27| 3.5| 1.0
HD104289 |6231| 39| 4.03| 0.21| 1.20| 0.05| 0.07| 0.03|218|29| 1.18| 0.04|-4.62| 0.23| 4.4| 1.0
HD106888 |6249| 49| 4.29| 0.21| 1.17| 0.07| 0.14| 0.04|221|28| 1.12| 0.04|-4.40| 0.17| 5.5| 1.0
HD108436 |5651| 23| 4.23| 0.19| 0.56| 0.05|-0.38| 0.02|241|32| 0.88| 0.06|-4.67| 0.13| 2.3| 1.0
HD109157 |5184| 34| 4.45| 0.20| 0.61| 0.08|-0.10| 0.02|237|33| 0.81| 0.06|-4.59| 0.11| 3.2| 1.0
HD110376 |4826| 59| 4.37| 0.23| 0.30| 0.31|-0.23| 0.03|115|13| 0.77| 0.07|-4.68| 0.10| 1.9| 1.0
HD13014  |6075| 34| 3.95| 0.20| 1.22| 0.04| 0.20| 0.03|242|32| 1.25| 0.09|-4.76| 0.13| 6.1| 1.0
HD130396 |6349| 26| 4.18| 0.21| 1.16| 0.04|-0.03| 0.02|232|30| 1.11| 0.03|-4.63| 0.12| 3.2| 1.0
HD133621 |5711| 23| 4.06| 0.19| 0.89| 0.03|-0.43| 0.02|234|33| 0.93| 0.03|-4.85| 0.13| 2.4| 1.0
HD144286 |5353| 41| 4.40| 0.20| 0.54| 0.09|-0.02| 0.03|238|33| 0.87| 0.03|-4.56| 0.12| 2.2| 1.0
HD146735 |5974| 19| 3.98| 0.20| 1.10| 0.02| 0.11| 0.01|248|32| 1.17| 0.08|-4.79| 0.12| 3.2| 1.0
HD147487 |5865| 26| 4.19| 0.20| 0.77| 0.05|-0.21| 0.02|226|27| 0.96| 0.07|-4.62| 0.15| 2.6| 1.0
HD15292  |5679| 25| 4.27| 0.20| 0.79| 0.04| 0.02| 0.02|240|34| 0.96| 0.03|-4.85| 0.13| 3.0| 1.0
HD153376 |5944| 26| 3.81| 0.20| 1.18| 0.03| 0.14| 0.02|238|26| 1.31| 0.09|-4.51| 0.26| 4.7| 1.0
HD155228 |6272| 31| 3.81| 0.21| 1.47| 0.04|-0.13| 0.02|213|30| 1.23| 0.08|-4.90| 0.19| 5.6| 1.0
HD156111 |5208| 21| 4.01| 0.19| 0.65| 0.04|-0.35| 0.02|253|32| 0.90| 0.04|-4.82| 0.15| 2.9| 1.0
HD156728 |5777| 21| 4.35| 0.20| 0.74| 0.04|-0.14| 0.02|240|32| 0.92| 0.03|-4.64| 0.15| 2.6| 1.0
HD161479 |5642| 30| 4.16| 0.20| 1.06| 0.04| 0.25| 0.02|237|30| 1.06| 0.08|-4.42| 0.12| 4.4| 1.0
HD167215 |6201| 39| 3.99| 0.20| 1.31| 0.05|-0.29| 0.03|203|30| 1.06| 0.07|-4.73| 0.22| 4.9| 1.0
HD18450  |5016| 40| 4.39| 0.21| 0.25| 0.18|-0.19| 0.02|115|13| 0.79| 0.04|-4.68| 0.13| 1.9| 1.0
HD193554 |5841| 22| 4.25| 0.20| 0.91| 0.03|-0.12| 0.02|247|31| 0.96| 0.07|-4.40| 0.13| 2.7| 1.0
HD204613 |5868| 28| 4.10| 0.20| 0.98| 0.05|-0.27| 0.02|239|30| 0.97| 0.03|-4.88| 0.21| 2.6| 1.0
HD207992 |5426| 21| 4.34| 0.20| 0.61| 0.04|-0.27| 0.02|245|33| 0.84| 0.06|-4.76| 0.22| 2.5| 1.0
HD210631 |5725| 27| 4.09| 0.20| 0.74| 0.05|-0.33| 0.02|230|32| 0.94| 0.07|-4.66| 0.14| 2.6| 1.0
HD211681 |5793| 30| 4.00| 0.20| 1.05| 0.04| 0.36| 0.02|247|33| 1.23| 0.09|-4.67| 0.22| 4.0| 1.0
HD212029 |5927| 49| 4.14| 0.20| 1.08| 0.10|-0.92| 0.03|169|30| 0.83| 0.06|-4.70| 0.21| 1.5| 1.0
HD212733 |5046| 49| 4.41| 0.23| 0.42| 0.15| 0.04| 0.03|112|14| 0.83| 0.08|-4.82| 0.11| 1.9| 1.0
HD212735 |5693| 26| 4.17| 0.20| 0.87| 0.04| 0.28| 0.02|244|35| 1.08| 0.08|-4.65| 0.15| 3.4| 1.0
HD217850 |5605| 30| 4.13| 0.20| 0.89| 0.04| 0.28| 0.02|239|31| 1.08| 0.04|-4.85| 0.19| 3.6| 1.0
