#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-03T22:50:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5de6e5ee89d3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/PASP/116/1012&tab:{J/PASP/116/1012/cat1}&tab:{J/PASP/116/1012/crossid}&key:source=J/PASP/116/1012/cat1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#-order=I
#-out=n_SMV
#-out=SMV
#-joincol={J/PASP/116/1012/cat1}.{SMV}
#-joincol=SMV
#-joincol={J/PASP/116/1012/crossid}.{SMV}
#-outjoin={J/PASP/116/1012/crossid}.{SMV}
#-out=Xpos
#-out=Ypos
#-out=Umag
#-out=e_Umag
#-out=o_Umag
#-out=Bmag
#-out=e_Bmag
#-out=o_Bmag
#-out.all=2
#-out=Vmag
#-out=e_Vmag
#-out=o_Vmag
#-out=Rmag
#-out=e_Rmag
#-out=o_Rmag
#-out=Imag
#-out=e_Imag
#-out=o_Imag
#-out=Memb
#-out=Npm
#-out=RAJ2000
#-out=DEJ2000
#-out=S62
#-out=Sh65
#-out=C68
#-out=UMK
#-out=MT
#-out=E
#-out=PKM
#-out=DGV
#-out=S99
#-out=KS
#-out=Name
#-out.all=2
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#
#Table	J_PASP_116_1012_cat1_J_PASP_116_1012_crossid:
#Name: J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#Title:
#Column	recno1	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	n_SMV1	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SMV1	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Xpos1	(F7.1)	X pixel coordinate (G1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos1	(F7.1)	Y pixel coordinate (G1)	[ucd=pos.cartesian.y;instr.det]
#Column	Umag1	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	e_Umag1	(F6.4)	? U standard error of the mean	[ucd=stat.error;phot.mag;em.opt.U]
#Column	o_Umag1	(I2)	U number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Bmag1	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag1	(F6.4)	? B standard error of the mean	[ucd=stat.error;phot.mag;em.opt.B]
#Column	o_Bmag1	(I2)	B number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Vmag1	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag1	(F6.4)	? V standard error of the mean	[ucd=stat.error;phot.mag;em.opt.V]
#Column	o_Vmag1	(I2)	V number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Rmag1	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag1	(F6.4)	? R standard error of the mean	[ucd=stat.error;phot.mag;em.opt.R]
#Column	o_Rmag1	(I2)	R number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Imag1	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag1	(F6.4)	? I standard error of the mean	[ucd=stat.error;phot.mag;em.opt.I]
#Column	o_Imag1	(I1)	I number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Memb1	(I3)	? Mean membership probability in % [NULL integer written as an empty string]	[ucd=stat]
#Column	Npm1	(I1)	Number of independent measures of the proper motion [NULL integer written as an empty string]	[ucd=meta.number]
#Column	RAJ20001	(A11)	Hour of right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Degree of declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	recno2	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	SMV2	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	S622	(a7)	Object number in Sandage, 1962ApJ...135..333S (1)	[ucd=meta.id]
#Column	Sh652	(I2)	? Object number in Sharov, 1965SoSht.142...20S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	C682	(I3)	? Object number in Cannon 1968, unpublished dissertation [NULL integer written as an empty string]	[ucd=meta.id]
#Column	UMK2	(I3)	? Object number in Upgren, Mesrobian & Kerridge 1972AJ.....77...74U (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	MT2	(a7)	Object number in McClure & Twarog 1977ApJ...214..111M (3)	[ucd=meta.id]
#Column	E2	(a6)	Object number in Caputo et al. 1990AJ.....99..261C (4)	[ucd=meta.id]
#Column	PKM2	(I4)	? Object number in Platais et al. 2003, Cat. <J/AJ/126/2922> (5) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	DGV2	(I4)	? Object number in Dinescu et al. 1996AJ....111.1205D (6) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S992	(I4)	? Object number in Sarajedini et al. 1999AJ....118.2894S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	KS2	(A3)	Object number in Catalogued variables	[ucd=meta.id]
#Column	Name2	(a8)	Other name	[ucd=meta.id]
recno|n_SMV|SMV|Xpos|Ypos|Umag|e_Umag|o_Umag|Bmag|e_Bmag|o_Bmag|Vmag|e_Vmag|o_Vmag|Rmag|e_Rmag|o_Rmag|Imag|e_Imag|o_Imag|Memb|Npm|RAJ2000|DEJ2000|recno|SMV|S62|Sh65|C68|UMK|MT|E|PKM|DGV|S99|KS|Name
 | | |pix|pix|mag|mag| |mag|mag| |mag|mag| |mag|mag| |mag|mag| |%| |"h:m:s"|"d:m:s"| | | | | | | | | | | | |
--------|-|-------|-------|-------|------|------|--|------|------|--|------|------|--|------|------|--|------|------|-|---|-|-----------|-----------|--------|-------|-------|--|---|---|-------|------|----|----|----|---|--------
       1|x|      1|  122.2| 4118.7|      |      | 0|20.493|0.0247| 1|19.356|0.0164| 1|      |      | 0|      |      |0|   |0|00 21 13.72|+85 16 36.6|       1|      1|       |  |   |   |       |      |2480|    |    |   |
       2|x|      2|  142.2| 4366.0|      |      | 0|17.788|0.0173| 1|16.986|0.0158| 1|      |      | 0|      |      |0|  4|1|00 21 10.34|+85 18 40.5|       2|      2|       |  |   |   |       |      |2473|    |    |   |
       3|x|      3|  150.4| 4583.7|      |      | 0|18.856|0.0155| 1|18.183|0.0163| 1|      |      | 0|      |      |0|   |0|00 21 03.48|+85 20 29.2|       3|      3|       |  |   |   |       |      |2463|    |    |   |
       4|x|      4|  161.7| 3617.0|      |      | 0|15.165|0.0163| 1|14.474|0.0177| 1|      |      | 0|      |      |0|  6|1|00 21 52.15|+85 12 29.5|       4|      4|       |  |   |   |       |      |2493|    |    |   |
       5|x|      5|  163.3| 4633.1|      |      | 0|16.312|0.0154| 1|15.433|0.0161| 1|      |      | 0|      |      |0|  0|1|00 21 06.40|+85 20 54.4|       5|      5|       |  |   |   |       |      |2459|    |    |   |
       6|x|      6|  163.5| 4320.9|      |      | 0|18.114|0.0157| 1|17.494|0.0158| 1|      |      | 0|      |      |0|  6|1|00 21 21.05|+85 18 19.4|       6|      6|       |  |   |   |       |      |2475|    |    |   |
       7|x|      7|  165.1| 4769.3|      |      | 0|20.202|0.0171| 1|19.521|0.0168| 1|      |      | 0|      |      |0|   |0|00 21 00.73|+85 22 02.2|       7|      7|       |  |   |   |       |      |2455|    |    |   |
       8|x|      8|  170.8| 4120.7|      |      | 0|19.183|0.0177| 1|18.614|0.0165| 1|      |      | 0|      |      |0|  3|1|00 21 33.17|+85 16 40.3|       8|      8|       |  |   |   |       |      |2479|    |    |   |
       9|x|      9|  172.9| 4475.4|      |      | 0|21.418|0.0150| 1|20.639|0.0172| 1|      |      | 0|      |      |0|   |0|00 21 17.71|+85 19 36.6|       9|      9|       |  |   |   |       |      |3478|    |    |   |
      10|x|     10|  181.6| 3605.0|      |      | 0|20.307|0.0218| 1|18.760|0.0184| 1|      |      | 0|      |      |0|   |0|00 22 00.57|+85 12 24.6|      10|     10|       |  |   |   |       |      |2494|    |    |   |
      11|x|     11|  187.4| 4543.2|      |      | 0|18.381|0.0154| 1|17.016|0.0157| 1|      |      | 0|      |      |0|  0|1|00 21 20.45|+85 20 11.2|      11|     11|       |  |   |   |       |      |3381|    |    |   |
      12|x|     12|  191.1| 3507.0|      |      | 0|16.205|0.0175| 1|15.485|0.0155| 1|      |      | 0|      |      |0|  0|1|00 22 08.63|+85 11 36.5|      12|     12|       |  |   |   |       |      |2496|    |    |   |
      13|x|     13|  196.0| 4848.7|      |      | 0|22.111|0.0150| 1|20.499|0.0187| 1|      |      | 0|      |      |0|   |0|00 21 09.65|+85 22 43.4|      13|     13|       |  |   |   |       |      |3488|    |    |   |
      14|x|     14|  199.2| 3330.5|      |      | 0|16.314|0.0151| 1|15.672|0.0161| 1|      |      | 0|      |      |0|   |0|00 22 19.47|+85 10 09.2|      14|     14|       |  |   |   |       |      |2498|    |    |   |
      15|x|     15|  211.4| 4646.0|      |      | 0|21.590|0.0426| 1|20.763|0.0319| 1|      |      | 0|      |      |0|   |0|00 21 25.46|+85 21 03.6|      15|     15|       |  |   |   |       |      |3485|    |    |   |
      16|x|     16|  218.8| 3423.2|      |      | 0|15.915|0.0177| 1|14.875|0.0163| 1|      |      | 0|      |      |0|  0|1|00 22 23.19|+85 10 56.3|      16|     16|       |  |   |   |       |      |2497|    |    |   |
      17|x|     17|  227.3| 3582.6|      |      | 0|20.013|0.0177| 1|18.891|0.0164| 1|      |      | 0|      |      |0|  9|1|00 22 19.67|+85 12 16.0|      17|     17|       |  |   |   |       |      |2495|    |    |   |
      18|x|     18|  235.3| 4533.9|      |      | 0|18.060|0.0164| 1|17.616|0.0155| 1|      |      | 0|      |      |0|   |0|00 21 40.38|+85 20 09.2|      18|     18|       |  |   |   |       |      |2465|    |    |   |
      19|x|     19|  238.4| 3448.5|      |      | 0|21.688|0.0305| 1|20.826|0.0335| 1|      |      | 0|      |      |0|   |0|00 22 29.85|+85 11 10.0|      19|     19|       |  |   |   |       |      |3586|    |    |   |
      20|x|     20|  239.3| 4526.9|      |      | 0|19.665|0.0172| 1|18.892|0.0186| 1|      |      | 0|      |      |0|   |0|00 21 42.34|+85 20 05.9|      20|     20|       |  |   |   |       |      |2466|    |    |   |
      21|x|     21|  242.0| 3086.6|      |      | 0|20.876|0.0170| 1|19.723|0.0150| 1|      |      | 0|      |      |0|   |0|00 22 46.68|+85 08 10.3|      21|     21|       |  |   |   |       |      |2512|    |    |   |
      22|x|     22|  246.7| 3203.9|      |      | 0|18.938|0.0152| 1|18.001|0.0168| 1|      |      | 0|      |      |0|   |0|00 22 43.55|+85 09 08.8|      22|     22|       |  |   |   |       |      |2505|    |    |   |
      23|x|     23|  248.7| 3250.0|      |      | 0|18.078|0.0151| 1|17.295|0.0159| 1|      |      | 0|      |      |0|   |0|00 22 42.40|+85 09 31.9|      23|     23|       |  |   |   |       |      |2501|    |    |   |
      24|x|     24|  258.3| 4956.7|      |      | 0|14.974|0.0155| 1|14.248|0.0202| 1|      |      | 0|      |      |0|  0|1|00 21 30.24|+85 23 40.6|      24|     24|       |  |   |   |       |      |2449|    |    |   |
      25|x|     25|  258.4| 4608.4|      |      | 0|16.995|0.0153| 1|16.263|0.0157| 1|      |      | 0|      |      |0|  0|1|00 21 46.41|+85 20 47.5|      25|     25|       |  |   |   |       |      |2461|    |    |   |
