#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:41:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b43617d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/index}&key:source=J/A+AS/124/75/index&HTTPPRM:&
#-source=J/A+AS/124/75/index
#-order=I
#-out=IDS
#-out=COMP
#-out=WDS
#-out=HD
#-out=DM
#-out=HIP
#-out=HR
#-out=ADS
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_index:
#Name: J/A+AS/124/75/index
#Title: IDS-WDS-HD-BD-HIP-HR-ADS cross-index
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	COMP	(A2)	Component designation (* for primary comp.)	[ucd=meta.code.multip]
#Column	WDS	(a10)	WDS(2000) (Cat. <I/237>)	[ucd=meta.id]
#Column	HD	(I6)	? HD (Cat. <III/135>) number [NULL integer written as an empty string]	[ucd=meta.number]
#Column	DM	(a11)	BD (Cat. <I/122>), CD (Cat. <I/114>) or CPD (Cat. <I/108>) identifier	[ucd=meta.id]
#Column	HIP	(I6)	? HIPPARCOS (Cat. <I/239>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HR	(I5)	? HR (Cat. <V/50>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	ADS	(I5)	? ADS number [NULL integer written as an empty string]	[ucd=meta.id]
IDS|COMP|WDS|HD|DM|HIP|HR|ADS
 | | | | | | |
----------|--|----------|------|-----------|------|-----|-----
00002+4516|* |00057+4548|    38|BD+45 4408 |   473|     |   48
00010+5752|* |00063+5826|   123|BD+57 2865 |   518|    5|   61
00082+2625|* |00134+2659|   895|BD+26   13 |  1076|   40|  161
00098+0815|* |00150+0849|  1061|BD+08   19 |  1196|   50|  191
00098+0815|B |00150+0849|      |           |  1197|     |
00120+0819|* |00174+0852|  1317|BD+08   24 |  1392|     |  238
00158+6627|* |00214+6700|  1658|BD+66   20 |  1700|     |  293
00168-2334|* |00168-2332|  1766|CD-23  111 |      |     |  302
00189+5127|* |00243+5201|  1976|BD+51   62 |  1921|   91|  328
00197-2743|* |00247-2709|      |           |      |     |
00220-0826|* |00271-0753|  2333|BD-08   65 |  2143|     |  363
00263+6642|* |00325+6714|      |BD+66   34 |  2552|     |  440
00270-0544|* |00321-0511|  2880|BD-5    77 |  2533|     |  450
00270-6331|* |00316-6258|  2884|CP-63   50 |  2484|  126|
00270-6331|P |00316-6258|  3003|CP-63   52 |  2578|  136|
00270-6331|C |00316-6258|  2885|CP-63   50 |  2487|  127|
00272+0624|* |00324+0657|  2913|BD+06   64 |  2548|  132|  449
00272+0624|B |00324+0657|      |BD+06   65 |      |     |  449
00275+2743|* |00328+2817|  2942|BD+27   84 |  2583|  134|  455
00288-5553|* |00335-5520|  3075|CP-56  103 |  2642|     |
00294-0506|* |00345-0433|  3125|BD-05   83 |  2713|     |  475
00294-0506|C |00345-0433|      |           |  2715|     |
00301-0409|* |00352-0336|  3196|BD-04   62 |  2762|  142|  490
00307+2927|* |00360+3000|  3266|BD+29  105 |  2844|     |  497
00315+3310|* |00369+3343|  3369|BD+32  101 |  2912|  154|  513
00315+3310|B |00369+3343|      |BD+32  102 |      |     |  513
00318-4941|* |00364-4908|  3405|CD-49  141 |  2888|     |
