#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:19:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b415fc5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=9	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/remarks}&key:source=J/A+AS/124/75/remarks&HTTPPRM:&
#-source=J/A+AS/124/75/remarks
#-order=I
#-out=IDS
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_remarks:
#Name: J/A+AS/124/75/remarks
#Title: Remarks
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Rem	(a80)	Remark text	[ucd=meta.note]
IDS|Rem
 |
----------|--------------------------------------------------------------------------------
00120+0819|C has RV dip of low contrast, must be binary or triple.
00197-2743|Leinert A&A 291 L47 1994. mag.K=9.27A, 10.47B, 10.82C.  trig. par. in PASP 98 65
00263+6642|CPM Gl 48 at 310', 10.04 dM3.5. Too wide to be physical, P=83 Myr.
00272+0624|Second occultation companion never seen in speckle, very doubtful or >1.5"
00275+2743|Enigma: Ba,Bb can not be less massive than 0.87 M_sun, but they are too faint!
00307+2927|Arcturus group, 10 Gyr old, [m/H]=-0.6.
00315+3310|Lindroos A&AS 60 183 1985; A&A 156 223 1986: age 56 My, dist. 163 pc.
00508+5949|Comm. Astroph. 18 167 1995 Hubrig, Mathys: HgMn star.
00508+5949|Photometry: Schoeller et al. PAZh 1998 24 283: dV(Aa-B)=0.06, dV(AP)=0.71.
01357+2514|A: must have tertiray: K12 var, e>0! (A&A 171 157 1987)
01537+7025|ApJS 47 247 1981 Heintz: RV period of 4y not excluded.
01587-0049|Stephenson AJ 65 60 1965: A=G5II-III, B=G5V. Ptm(B): Eggen AJ 68 483 1963.
01587-0049|Griffin: Aab resolvable by speckle, probably eclipsing, i~90 deg.
02059+4412|BAAS 23 881 1991 Walker R.L.: B,C physical, D - optical.
02066+2950|Aab: twin PMS contact binary?
02208+6657|AJ 111 408 1996 Heintz: discussion. Companion of McAlister (CHARA 6) NOT Ab?
02338+6007| Oh+Kim, ASP 130 269 1997: P3=18.7y, K3=0.0019d, w3=20d.
02437+1702|Lindroos A&A 156 223 1986: age 62 My, dist. 157 pc, Av=0.21m.
03017+4034|Masses: Gatewood AJ 109 434 1995. MkIII AB: ApJ 413 L129 1993.
03017+4034|Lestrade et al., ApJ 410 808 1993: orbits are inclined by 100d mutually.
03086+8433|Griffin Obs. 109 180 1989: V0(Aa) var. -0.3 km/(s.y). Hipparcos: G-solution.
03198-1600|Dyn. parallax of AB disagrees with Hipparcos: wrong AB orbit?
03205+2822|HIPARCOS: A is a periodic variable!
03217+0923|A=SB2: Fekel ApJ 246 879 1981. Mentioned in Mazeh, MNRAS 263 775 1993. UR n=5.
