KW,Porb,T,Ecc,Gamma,Omega,K1,K2,MassFunc,ProjSemimajor
47,.002,.25,.009,.13,1.6,.18,,.0008,.11
55,.00003,.01,.004,.10,,.14,,.0003,.011
127,.0001,.08,.009,.12,2.5,.19,,.0003,.040
142,.0019,.41,.012,.28,3.3,.52,.48,.0089,.35
181,.000006,.006,.003,.10,.5,.14,,.0006,.015
184,.002,.15,.007,.11,1.3,.23,.24,.0029,.18
258,.13,1.2,.015,.11,2.2,.29,,.0034,1.3
268,.013,.33,.008,.13,1.5,.20,,.0011,.49
287,325.,38.,.03,.09,4.0,.17,,.0099,41.
325,1.4,18.,.020,.11,8.0,.15,,.0038,2.3
367,.000002,1.9,.005,.20,,.14,.37,,
367,14.,10.,.024,.20,4.6,.90,,,
368,.0045,.48,.008,.09,2.5,.13,,.00076,.17
416,.00016,.038,.005,.11,.84,.16,,.00098,.073
434,.000012,.015,.005,.13,,.18,,.00025,.0098
439,1.4,27.,.06,.12,23.,.19,,.00021,1.4
508,.77,5.7,.039,.13,5.0,.28,,.0012,3.2
539,221.,94.,.049,.18,6.8,.25,,.0079,36.
540,6.5,12.,.080,.13,5.5,.91,,.0032,16.
553,.0014,.11,.008,.25,1.2,.33,,.011,.25
VL1025,26.,18.,.029,.11,4.3,.21,,.0075,12.
