KW,Porb,T,Ecc,Gamma,Omega,K1,K2,MassFunc,ProjSemimajor,OminusC,nobs
47,34.619,8989.69,0.406,34.94,289.8,19.01,,0.0189,8.27,0.72,34
55,5.98533,9002.06,0.00,39.94,,34.73,,0.0260,2.858,0.57,32
127,13.2803,9002.61,0.226,34.31,130.7,17.82,,0.0072,3.170,0.61,33
142,45.9746,9972.36,0.223,34.90,56.7,32.50,33.92,0.1725,20.90,2.67,55
181,5.866276,8998.266,0.357,34.49,228.9,47.13,,0.0520,3.552,0.65,44
184,47.438,8969.58,0.341,34.95,68.2,23.46,24.17,0.0529,14.39,0.94,39
258,260.41,4802.6,0.394,54.69,194.9,11.95,,0.0358,39.3,0.55,31
268,144.340,4838.50,0.649,35.75,285.3,13.25,,0.0153,20.00,0.67,44
287,7365.,6249.,0.62,34.09,72.9,4.86,,0.0431,388.,0.46,28
325,896.9,9164.,0.117,34.63,146.5,8.79,,0.0619,107.6,0.52,30
367,3.057311,9998.9,0.000,33.41,,52.88,66.16,,,,88
367,1659.,8025.,0.762,33.41,230.5,8.32,,0.0318,136.,,88
368,76.5643,9478.18,0.212,34.87,12.8,14.53,,0.02275,149.47,0.47,28
416,25.84234,9978.406,0.432,34.49,318.88,26.94,,0.03850,8.635,0.60,40
434,3.932626,9998.105,0.000,34.34,,33.27,,0.01504,1.7991,0.50,20
439,457.8,9332.,0.17,34.92,34.,2.62,,0.00082,16.2,0.60,34
508,647.64,9477.1,0.496,34.19,171.1,4.72,,0.0046,36.5,0.55,26
539,5551.,6966.,0.533,34.03,49.1,4.04,,0.0236,263.,0.42,20
540,1149.5,9082.,0.669,36.75,356.0,4.05,,0.0033,48.,0.53,24
553,40.6649,9969.23,0.342,27.16,266.2,47.47,,0.375,24.95,1.57,47
VL1025,2657.,7203.,0.481,33.95,275.2,6.22,,0.0448,199.,0.52,22
VL142,117.021,4838.68,0.45,35.80,284.8,21.88,,0.091,31.4,0.8,
VL184,1.230158,4998.81,0.00,34.48,,17.78,,0.000781,0.3008,0.99,
Art1271,33.9668,5030.32,0.22,34.10,19.0,26.88,30.34,0.0640,12.27,0.84,
549,31.283,4980.2,0.12,34.92,262.0,7.57,,0.00138,3.23,0.65,
556,143.14,4942.8,0.16,34.45,354.2,22.30,,0.1581,43.29,0.54,
Art1780,2.981781,4999.1836,0.00,34.41,,38.35,40.29,0.01742,1.5710,0.86,
