KW      Va      Vb      Ca     Cb     Ma     Mb,    q       Mbmax   Mbmin
9       11.60   13.27   0.75   1.09   0.95   0.73   0.77    nan     nan 
16      9.72    10.29   0.43   0.51   1.27   1.16   0.92    nan     nan 
31      nan     10.54   0.56   nan    1.11   nan    0.99    nan     nan 
47      9.87    nan     0.48   nan    1.22   nan    >0.29   0.58    0.36
90      11.10   12.77   0.65   0.98   1.03   0.78   0.76    nan     nan 
127     10.81   nan     0.60   nan    1.07   nan    >0.23   0.40    0.23
142     10.06   nan     0.49   nan    1.19   nan    0.99    nan     nan 
181     10.57   13.61   0.55   1.18   1.12   0.68   0.61    nan     0.51
182     10.97   11.22   0.63   0.68   1.04   1.00   0.96    nan     nan 
184     12.38   nan     0.90   nan    0.83   nan    0.99    nan     nan 
268     9.89    nan     0.47   nan    1.23   nan    >0.27   0.58   0.33
275     10.66   10.78   0.57   0.59   1.10   1.08   0.98    nan     nan 
287     10.54   12.49   0.54   0.92   1.12   0.82   0.73    nan     0.48
297     11.88   13.38   0.80   1.12   0.90   0.71   0.79    nan     nan 
322     11.03   13.05   0.63   1.05   1.04   0.75   0.72    nan     nan 
325     10.69   13.33   0.58   1.10   1.09   0.72   0.66    nan     0.55
334     12.20   12.98   0.67   1.04   1.01   0.75   0.75    nan     nan 
367     11.02   12.17   0.63   0.85   1.04   0.87   0.83    nan     nan 
368     11.5    nan     0.73   nan    0.95   nan    0.35    0.33    0.33
399     10.95   nan     0.63   nan    1.05   nan    nan     0.40    nan 
416     9.59    nan     0.41   nan    1.31   nan    >0.38   0.59    0.50
434     11.39   nan     0.71   nan    0.97   nan    >0.29   0.35    0.28
439     9.45    nan     0.40   nan    1.34   nan    >0.09   0.60    0.12
458     10.47   nan     0.55   nan    1.12   nan    0.99    nan     nan 
496     10.09   10.71   0.48   0.59   1.20   1.08   0.90    nan     nan 
508     10.78   nan     0.59   nan    1.08   nan    >0.18   0.25    0.19
533     12.34   nan     0.90   nan    0.83   nan    0.99    nan     nan 
540     11.13   13.71   0.65   1.21   1.02   0.67   0.65    0.40    0.16
549     10.15   14.04   0.48   1.30   1.19   0.63   0.52    nan     0.13
556     10.55   14.77   0.55   1.39   1.12   0.58   0.52    nan     0.85
VL142   10.53   12.35   0.54   0.89   1.13   0.84   0.75    nan     0.66
VL184   11.85   nan     0.79   nan    0.93   nan    >0.10   0.3     0.09
VL1025  11.75   13.84   0.77   1.24   0.92   0.65   0.71    nan     0.43
Art1271 11.34   11.34   0.71   0.71   0.97   0.97   0.99    nan     nan 
Art1780 11.22   11.22   0.69   0.69   0.99   0.99   0.99    nan     nan 
