#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-29T03:37:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea8f66062b9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/631/A125&tab:{J/A+A/631/A125/tableb6}&key:source=J/A+A/631/A125/tableb6&HTTPPRM:&
#-source=J/A+A/631/A125/tableb6
#-order=I
#-out=Name
#-out=Per
#-out=e_Per
#-out=K
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=Tp
#-out.all=2
#-out=n_Tp
#-out=e_Tp
#-out=GammaS+
#-out=e_GammaS+
#-out=GammaS-
#-out=e_GammaS-
#-out=n_GammaS-
#-out=sO-CS+
#-out=sO-CS-
#-out=f(m)
#-out=e_f(m)
#-out=M2sini
#-out=e_M2sini
#-out=a2
#-out=e_a2
#-out.all=2
#

#RESOURCE=yCat_36310125
#Name: J/A+A/631/A125
#Title: 54 massive companions detected with SOPHIE (Kiefer+, 2019)
#Table	J_A_A_631_A125_tableb6:
#Name: J/A+A/631/A125/tableb6
#Title: *Table of orbital fits for the 40 single stellar companions in the M-dwarf regime with 90M_J_<Msini<0.52M_{sun}_, ordered by values of M2sini
#Column	Name	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	Per	(F13.7)	Period	[ucd=time.period]
#Column	e_Per	(F13.7)	rms uncertainty on Per	[ucd=stat.error]
#Column	K	(F8.2)	Semi-amplitude velocity, K	[ucd=phys.veloc;src.orbital]
#Column	e_K	(F7.2)	rms uncertainty on Velocity semi-amplitude	[ucd=stat.error]
#Column	e	(F9.6)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F8.5)	? rms uncertainty on Eccentricity	[ucd=stat.error]
#Column	omega	(F8.3)	? Periastron angle {omega}	[ucd=src.orbital.periastron]
#Column	e_omega	(F6.3)	? rms uncertainty on omega	[ucd=stat.error]
#Column	Tp	(F10.4)	Time of passage at periastron, for objects with e=0, time of primary transit (Tp-2400000)	[ucd=src.orbital.periastron]
#Column	n_Tp	(A1)	[*] * when Tp is the time of primary transit (1)	[ucd=meta.note]
#Column	e_Tp	(F9.4)	rms uncertainty on Tp	[ucd=stat.error]
#Column	GammaS+	(F9.4)	Center-of-mass velocity gamma from SOPHIE+ measurements (G1)	[ucd=phys.veloc;pos.barycenter]
#Column	e_GammaS+	(F7.4)	rms uncertainty on GammaS+	[ucd=stat.error]
#Column	GammaS-	(F8.4)	? Center-of-mass velocity gamma from SOPHIE- measurements (G1)	[ucd=phys.veloc;pos.barycenter]
#Column	e_GammaS-	(F7.4)	? rms uncertainty on GammaS-	[ucd=stat.error]
#Column	n_GammaS-	(A1)	[f] f for fixed (2)	[ucd=meta.note]
#Column	sO-CS+	(F5.2)	Residual O-C for SOPHIE+ measurements (G1)(3)	[ucd=stat.fit.residual]
#Column	sO-CS-	(F5.2)	? Residual O-C for SOPHIE- measurements (G1)(3)	[ucd=stat.fit.residual]
#Column	f(m)	(F8.2)	Mass function	[ucd=phys.mass]
#Column	e_f(m)	(F8.2)	rms uncertainty on Mass function	[ucd=stat.error]
#Column	M2sini	(F6.2)	Mass of companion, in Jupiter mass unit	[ucd=phys.mass]
#Column	e_M2sini	(F5.2)	rms uncertainty on M2sini	[ucd=stat.error]
#Column	a2	(F7.4)	Semi-major axis of companion	[ucd=phys.size.smajAxis]
#Column	e_a2	(F7.4)	rms uncertainty on a2	[ucd=stat.error]
Name|Per|e_Per|K|e_K|e|e_e|omega|e_omega|Tp|n_Tp|e_Tp|GammaS+|e_GammaS+|GammaS-|e_GammaS-|n_GammaS-|sO-CS+|sO-CS-|f(m)|e_f(m)|M2sini|e_M2sini|a2|e_a2
 |d|d|m/s|m/s| | |deg|deg|d| |d|km/s|km/s|km/s|km/s| |m/s|m/s|10-6Msun|10-6Msun|Mjup|Mjup|AU|AU
---------|-------------|-------------|--------|-------|---------|--------|--------|------|----------|-|---------|---------|-------|--------|-------|-|-----|-----|--------|--------|------|-----|-------|-------
BD+281779|   46.3170600|    0.0002200| 7789.20|   8.00| 0.617730| 0.00058| -68.975| 0.069|56469.8643| |   0.0041| -18.0180| 0.0100|-18.0317| 0.0095| | 3.69| 8.09| 1103.00|    2.40| 90.80| 2.90| 0.2396| 0.0037
HD62923  |  175.2210000|    0.0130000| 3200.10|   5.90| 0.000000|        |        |      |58237.6304|*|   0.2650|   8.3432| 0.0049|        |       | | 1.07|     |  594.90|    3.30| 91.80| 3.00| 0.6420| 0.0100
HD156111 |   39.4395700|    0.0006000| 7754.80|   1.60| 0.650530| 0.00013|  65.798| 0.027|57520.1329| |   0.0024| -48.6374| 0.0025|        |       | | 3.66|     |  834.83|    0.59| 92.00| 3.10| 0.2259| 0.0037
HD103913 | 2322.0000000|   10.0000000| 1534.00|  11.00| 0.412900| 0.00750|-175.160| 0.540|56892.6000| |   4.8000|   7.1010| 0.0180|  7.0920| 0.0160| | 6.65|12.30|  656.00|   18.00| 98.10| 3.40| 3.6590| 0.0610
HD225239 |  701.4900000|    0.5500000| 3532.90|   6.40| 0.756100| 0.00140| -34.070| 0.150|56996.1600| |   0.2000|   4.8170| 0.0100|        |       | | 8.16|     |  898.20|    4.30|100.50| 3.20| 1.5880| 0.0250
HD133621 |  448.6000000|    0.1700000| 3039.80|   3.00| 0.355830| 0.00090|  63.390| 0.270|56846.1100| |   0.4600| -49.1224| 0.0037|        |       | | 2.99|     | 1065.60|    3.20|101.80| 3.50| 1.1560| 0.0190
HD73636  |  155.2840000|    0.0250000| 3550.20|   6.60| 0.287400| 0.00110|  81.850| 0.350|55201.7800| |   0.2300| -16.5150| 0.0540|-16.5011| 0.0080| |14.10| 7.04|  632.60|    3.60|102.70| 3.40| 0.6200| 0.0100
HD101305 | 1677.4000000|    2.6000000| 2099.90|   4.00| 0.491100| 0.00200|-118.600| 0.190|58309.0000| |   2.2000|  12.5904| 0.0047|        |       | | 5.11|     | 1063.30|    6.90|106.10| 3.60| 2.8430| 0.0460
HD106888 |  365.6060000|    0.0600000| 3211.00|  43.00| 0.462900| 0.00380| -81.900| 1.100|55572.6900| |   0.7300|  -5.5180| 0.0530| -5.5460| 0.0470| | 8.33|18.80|  872.00|   34.00|108.30| 3.80| 1.0710| 0.0170
BD+192536|  178.5430000|    0.0250000| 4779.00|  50.00| 0.125400| 0.00370|-144.900| 1.500|56892.9900| |   0.8800|  -3.3020| 0.0520| -3.3140| 0.0410| | 3.26| 2.35| 1972.00|   59.00|108.50| 3.70| 0.5888| 0.0093
HD212733 |   89.8564600|    0.0001500| 6379.50|   1.30| 0.430710| 0.00017|-105.221| 0.033|55060.6477| |   0.0058|  11.6822| 0.0022| 11.6802| 0.0088| | 5.61|10.50| 1776.78|    0.89|112.00| 3.80| 0.3841| 0.0063
HD18450  |   25.0373290|    0.0000150| 9351.19|   0.98| 0.078840| 0.00014|  27.109| 0.087|56747.6986| |   0.0060|  37.8288| 0.0018|        |       | | 1.17|     | 2101.50|    0.70|114.60| 3.80| 0.1616| 0.0026
HD144286 |  316.7767000|    0.0067000| 3871.50|   5.40| 0.127290| 0.00062| -40.480| 0.460|56625.6500| |   0.3400| -53.8401| 0.0064|        |       | | 2.82|     | 1858.50|    7.60|117.60| 3.90| 0.9050| 0.0150
HD212029 |  771.0200000|    0.2800000| 3533.80|   6.60| 0.497800| 0.00110|   2.880| 0.220|57504.9500| |   0.4600|-107.5290| 0.0110|        |       | | 8.39|     | 2300.00|   12.00|122.10| 4.10| 1.6160| 0.0260
