No	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14
--	--	--	--	--	--	--	--	--	--	---	---	---	---	---
0001	1													
0002	2													
0003	3													
0004	4													
0005	5													
0006	6													
0007	7													
0008	8													
0009	9													
0010	10													
0011	11													
0012	12													
0013	13													
0014	14													
0015	15													
0016	16													
0017	17													
0018	18	60	105											
0019	19													
0020	20	79	122											
0021	21													
0022	22	108	167				139							
0023	23	123	178											
0024	24													
0025	25	133	185											
0026	26													
0027	27	156	198											
0028	28	175												
0029	29	179	212											
0030	30	182	213											
0031	31													
0032	32													
0033	33													
0034	34	201	230											
0035	35													
0036	36													
0037	37	215	246											
0038	38	229	257											
0039	39	248	270											
0040	40	249	271											
0041	41	256												
0042	42													
0043	43													
0044	44													
0045	45	272	288											
0046	46	279	292											
0047	47	301												
0048	48													
0049	49													
0050	50	308	308											
0051	51	315	316											
0052	52	319	320											
0053	53													
0054	54													
0055	55													
0056	56	355												
0057	57	360	357											
0058	58													
0059	59	384	379											
0060	60													
0061	61													
0062	62													
0063	63	389	382											
0064	64	400	388				235							
0065	65	446	415											
0066	66													
0067	67													
0068	68	485	429											
0069	69						263							
0070	70													
0071	71	489												
0072	72	491												
0073	73	495	439											
0074	74	504												
0075	75	511	448											
0076	76													
0077	77	536	461											
0078	78	544	469											
0079	79	547	470				273							
0080	80	569	481											
0081	81													
0082	82	584												
0083	83	589	493											
0084	84	591												
0085	85	597	496											
0086	86													
0087	87													
0088	88	625	507											
0089	89	644	516											
0090	90													
0091	91	684	544			805	315						7-257	
0092	92	692	554			816	318						7-258	
0093	93	712	568				323							
0094	94	724	574											
0095	95	725												
0096	96	727	578											
0097	97	748	598											
0098	98													
0099	99	778	617				352							
0100	100													
0101	101													
0102	102													
0103	103													
0104	104													
0105	105													
0106	106													
0107	107													
0108	108													
0109	109													
0110	110													
0111	111													
0112	112													
0113	113													
0114	114													
0115	115													
0116	116													
0117	117													
0118	118													
0119	119													
0120	120													
0121	121													
0122	122													
0123	123													
0124	124													
0125	125													
0126	126													
0127	127													
0128	128													
0129	129													
0130	130													
0131	131													
0132	132													
0133	133													
0134	134													
0135	135													
0136	136													
0137	137													
0138	138													
0139	139													
0140	140													
0141	141	388												
0142	142													
0143	143													
0144	144													
0145	145													
0146	146													
0147	147													
0148	148													
0149	149													
0150	150													
0151	151													
0152	152													
0153	153													
0154	154													
0155	155													
0156	156													
0157	157													
0158	158													
0159	159													
0160	160													
0161	161													
0162	162													
0163	163													
0164	164													
0165	165													
0166	166													
0167	167													
0168	168													
0169	169													
0170	170			6	211									
0171	171	214	243			125							7-175	
0172	172	250	272			197	179						7-182	
0173	173	276	290	35		217	188						7-185	
0174	174	310	312	39		271	198						7-196	
0175	175	342	342	36		312	214						7-202	
0176	176	363	361			352	222							
0177	177	435	411	51	273	465	243						7-222	
0178	178	472	420	50	276	511	255						7-228	
0179	179	459	417	52	274	484	247						7-225	
0180	180	560	478	56		662	279						7-243	
0181	181	548	472	55		595	274						7-241	
0182	182	587	491	61		666	288							
0183	183	747	597				336							
0184	184			76										
0185	185			82	312		398							
0187	187			107	351									
0188	188	444	413			469							7-223	
0189	189	475	422	53		514	256						7-230	
0190	190	500	441	54		556	267						7-234	
0191	191	645	517	62	286	749							7-253	415-380
1001		1	4											
1002		2												
1003		3												
1004		4	7											
1005		5												
1006		6	9											474-145
1007		7												
1008		8	10											
1009		9	12											
1010		10												
1011		11												
1012		12	16											
1013		13	17											414-107
1014		14	18											
1015		15												
1016		16	20											
1017		17												
1018		18	22											
1019		19	23											
1020		20	24											414-185
1021		21	26											474-155
1022		22	27		237								8-045	
1023		23												
1024		24	29											
1025		25												
1026		26	32											
1027		27												
1028		28												
1029		29	35											
1030		30												
1031		31												
1032		32	40											414-112
1033		33												
1034		34												
1035		35												414-186
1036		36	46				97							
1037		37	47											
1038		38	52											
1039		39	56											
1040		40												
1041		41	59											
1042		42	60											
1043		43	62		239		99						7-123	
1044		44	66											
1045		45	69										7-124	414-117
1046		46	72				100							
1047		47	74										7-125	
1048		48	77											474-177
1049		49	79											
1050		50	87											
1051		51	89				103							
1052		52	90	19	241		104						7-127	
1053		53	91											474-182
1054		54	94					284					7-128	474-185
1055		55					110	283						
1056		56												
1057		57	96		243								8-036	414-129
1058		58	98											
1059		59	100											
1061		61												
1062		62												
1063		63	106											
1064		64	107											
1065		65						276						414-135
1066		66	108					274						474-196
1067		67												414-133
1068		68	111	23			116						7-135	474-197
1069		69	110											414-136
1070		70	113											
1071		71	114										7-138	474-204
1072		72	115	24	245		118						7-137	474-205
1073		73						266						414-141
1074		74	118											474-203
1075		75	119			357	121						7-140	
1076		76	120				120	265					7-139	
1077		77	121											474-213
1078		78												
1080		80	125											
1081		81												414-144
1082		82	128											
1083		83	127				122	262						
1084		84	138					254						
1085		85	139											
1086		86												
1087		87	142					251						474-218
1088		88	141				129	250					7-143	474-217
1089		89												474-215
1090		90	144											474-220
1091		91												474-216
1092		92	145											
1093		93	146											
1094		94	147				132	247						
1095		95	150				133							414-148
1096		96	154		249		135	245					7-146	
1097		97	155											474-228
1098		98												
1099		99	157				136							474-227
1100		100												
1101		101	159											
1102		102	161											
1103		103	163											
1104		104												
1105		105	164										7-149	
1106		106	165										7-150	
1107		107	166											
1109		109												
1110		110												
1111		111	168											
1112		112	169										7-151	474-282
1113		113												
1114		114												
1115		115	172										7-153	
1116		116												
1117		117												
1118		118	173					240					7-154	
1119		119	175				142	238					7-155	414-199
1120		120												
1121		121												
1122		122	176										7-156	
1124		124	179											
1125		125	180											
1126		126												
1127		127	181				143	232						
1128		128												
1129		129	182					233					7-158	
1130		130												
1131		131	183					231						414-159
1132		132												
1134		134	184											
1135		135	187	30	253								7-160	
1136		136												474-275
1137		137	188											474-276
1138		138												
1139		139	189					227						
1140		140												
1141		141	190											474-269
1142		142												
1143		143												
1144		144												
1145		145												
1146		146	192										7-162	
1147		147												
1148		148												
1149		149												
1150		150	193											414-163
1151		151	195											
1152		152	194										7-035	
1153		153	197											474-271
1154		154												
1155		155												
1157		157												474-263
1158		158												
1159		159	202											
1160		160												
1161		161												
1162		162	203										7-165	
1163		163												414-193
1164		164	204											
1165		165	205											
1166		166												
1167		167	206											
1168		168	207										7-166	
1169		169												414-166
1170		170	209										8-026	
1171		171	210										7-167	
1172		172												
1173		173	211		40								7-168	
1174		174												
1176		176												
1177		177											7-169	
1178		178												
1180		180												
1181		181												474-259
1183		183												
1184		184												
1185		185	216											
1186		186												
1187		187												415-004
1188		188												
1189		189	217				150							474-252
1190		190	218											
1191		191	220			66							7-170	
1192		192	223											474-253
1193		193												
1194		194	224											414-195
1195		195												
1196		196	225											
1197		197												
1198		198												
1199		199												414-175
1200		200	229		255								7-172	415-363
1202		202												
1203		203	232					205						475-009
1204		204												475-010
1205		205					156							
1206		206	235											
1207		207												475-008
1208		208	238				158							475-014
1209		209	239										8-028	
1210		210												
1211		211	241										7-174	
1212		212												
1213		213	242				163	199						
1216		216	247				164	197						
1217		217	245											
1218		218	248											
1219		219												
1220		220												
1221		221												
1222		222												
1223		223	252											238-044
1224		224												415-022
1225		225	253											
1226		226	254											415-023
1227		227	255											
1228		228												
1230		230												
1231		231												
1232		232	258											475-025
1233		233	259											
1234		234												475-028
1235		235	260											
1236		236	261											
1237		237	262			173								
1238		238												
1239		239												
1240		240	264										7-178	415-366
1241		241	265				174							
1242		242	266	41			176						7-179	415-027
1243		243												
1244		244	268											475-026
1245		245												415-034
1246		246												
1247		247	269											415-368
1251		251												
1252		252												
1253		253	274											475-032
1254		254	275											
1255		255												
1257		257	277											
1258		258	279											
1259		259												
1260		260	280					174						415-367
1261		261	283											
1262		262	284				182	171						415-035
1263		263					183							
1264		264												
1265		265	285				184							
1266		266	286											475-038
1267		267												
1268		268												
1269		269												
1270		270												
1271		271												
1273		273												415-038
1274		274	289											
1275		275	291				187						7-187	475-037
1277		277												
1278		278												
1280		280	293			225							7-188	
1281		281												
1282		282	294				189	167					7-189	
1283		283												
1284		284												
1285		285												
1286		286	295											
1287		287												415-044
1288		288	296										7-190	
1289		289												
1290		290	297			245								475-047
1291		291												
1292		292	298				192						7-191	415-046
1293		293												
1294		294	299	34	262	251	194						7-193	
1295		295												
1296		296												
1297		297	300		260		195						7-194	
1298		298												
1299		299												
1300		300	301											475-050
1302		302												
1303		303												
1304		304	302											
1305		305	303		261								7-195	475-053
1306		306	304											
1307		307	306											
1309		309	310											
1311		311	309											415-370
1312		312												
1313		313	313											415-055
1314		314	315				200							475-059
1316		316	317											415-058
1317		317	318											
1318		318												415-052
1320		320	322											
1321		321	321				203	153					7-198	415-059
1322		322	324											475-056
1323		323	323											
1324		324												
1325		325												
1326		326	326				206	146						
1327		327	329											
1328		328												475-055
1329		329	330				209	149						
1330		330												
1331		331	331		264								8-037	415-054
1332		332												
1333		333	333											
1334		334	336			300	210						7-200	
1335		335	337					144						
1336		336												
1337		337												
1338		338												
1339		339												
1340		340	341				212							415-063
1341		341												
1343		343												
1344		344												
1345		345	344											
1346		346												
1347		347	345										7-201	
1348		348												
1349		349												
1350		350												
1351		351	346	42			217						7-203	415-065
1352		352	348				219	139						415-067
1353		353	347			325								
1354		354	350	37									7-205	
1356		356												
1357		357												
1358		358	354											
1359		359	356					136						
1361		361												
1362		362	360				221	135						415-071
1364		364												
1365		365												
1366		366	363				224						7-208	
1367		367	364			364							7-210	
1368		368	366					131						
1369		369												
1370		370												415-081
1371		371	369				225	130					7-209	475-065
1372		372												
1373		373	370											
1374		374												
1375		375												
1376		376												
1377		377	372											475-070
1378		378												
1379		379	373											
1380		380	374										7-211	415-073
1381		381	375											
1382		382	376				228	129						415-082
1383		383	378			373							7-212	475-068
1385		385												
1386		386	381											
1387		387												475-069
1390		390	383					123						
1391		391	384											
1392		392												
1393		393												
1394		394												415-095
1395		395	385											
1396		396												
1397		397	386											415-096
1398		398	389											
1399		399												415-099
1401		401												
1402		402												
1403		403	391											
1404		404	392	48	269		236						7-215	
1405		405												
1406		406												
1407		407	394	49			238						7-217	475-075
1408		408	395											
1409		409	396		268	433							7-218	415-414
1410		410												
1411		411												
1412		412												
1413		413	397											
1414		414												
1415		415												
1416		416												
1417		417												415-101
1418		418												
1419		419	398										7-220	
1420		420	401										7-221	
1421		421												
1422		422	402											475-080
1423		423												
1424		424	403											
1425		425												
1426		426												
1427		427												
1428		428	406											
1429		429												
1430		430												
1431		431	409											
1432		432	408				242	109						
1433		433												
1434		434	410											
1436		436												
1437		437												
1438		438												
1439		439												415-375
1440		440												
1441		441												
1442		442												
1443		443												
1445		445	414											
1447		447												
1448		448												
1449		449												
1450		450												
1451		451	416											415-110
1452		452												
1453		453												
1454		454												415-111
1455		455												
1456		456												
1457		457												
1458		458												415-144
1460		460												
1461		461	418				250							
1462		462												
1463		463												
1464		464												
1465		465												
1466		466	419											
1467		467												
1468		468												
1469		469												
1470		470												
1471		471												
1473		473												
1474		474	421											
1476		476												
1477		477												415-117
1478		478	423				258						7-231	415-119
1479		479	424											
1480		480	425											
1481		481												
1482		482	428											
1483		483	427											
1484		484												
1486		486	432	68			262						7-232	
1487		487												
1488		488												
1490		490	435			545	265						7-233	415-115
1492		492	436											
1493		493												
1494		494												
1496		496	440											
1497		497												
1498		498												
1499		499												
1501		501												
1502		502	442			558							7-235	
1503		503	443		363								8-038	
1505		505												
1506		506	445											
1507		507	447											
1508		508												
1509		509												
1510		510												
1512		512	449				269						7-236	
1513		513												
1514		514												
1515		515												
1516		516	450											
1517		517												
1518		518												415-122
1519		519												
1520		520												
1521		521												
1522		522	453											
1523		523												
1524		524												
1525		525												
1526		526	454											415-135
1527		527						89						475-098
1528		528	458											
1529		529	456										7-238	415-378
1530		530												
1531		531	459			582							7-239	
1532		532												
1533		533	460											415-134
1534		534												
1535		535												
1537		537	463				270						7-240	475-100
1538		538	462											
1539		539												
1540		540												
1541		541												
1542		542												
1543		543	468										7-242	
1545		545	471											
1546		546												
1549		549												
1550		550	474											
1551		551												
1552		552												
1553		553												
1554		554												
1555		555												
1556		556												
1557		557												
1558		558												
1559		559	476				277						7-244	
1561		561												
1562		562												415-143
1563		563												
1564		564	479				280						7-245	475-106
1565		565												
1566		566												
1567		567												
1568		568	480											
1570		570												
1571		571												
1572		572												
1573		573												
1574		574	483											
1575		575	484				283							415-148
1576		576												
1577		577												
1578		578	485											
1579		579	486											
1580		580												
1581		581	487											475-112
1582		582	488				285							475-113
1583		583	490											
1585		585												
1586		586												
1588		588	492											
1590		590												
1592		592												
1593		593												
1594		594												
1595		595	495				293	73						
1596		596												
1598		598												
1599		599	497											415-152
1600		600												
1601		601												
1602		602												
1603		603												
1604		604												
1605		605												
1606		606	498											
1607		607	499				294						7-247	
1608		608												
1609		609												
1610		610	500				296							415-165
1611		611												
1612		612												
1613		613												
1614		614												
1615		615												
1616		616	501				298							
1617		617	502											
1618		618												
1619		619	503											
1620		620	504											
1621		621												
1622		622	505	69			302						7-249	
1623		623												
1624		624												
1626		626	508											
1627		627	509	63	285	727	303						7-250	
1628		628	510											
1629		629												
1630		630	511											
1631		631												
1632		632												
1633		633												
1634		634	512											
1635		635												
1636		636												
1637		637	513		283								7-251	
1638		638	514			740	304						7-252	415-175
1639		639												
1640		640												475-128
1641		641	515											475-130
1642		642												
1643		643												
1646		646												
1647		647	518			755							7-254	
1648		648												
1649		649												
1650		650												
1651		651												
1652		652												
1653		653												
1654		654												
1655		655												
1656		656												
1657		657	521				306	64						415-187
1658		658												
1659		659	523											475-129
1660		660												475-127
1661		661												
1662		662												
1663		663	524											475-126
1664		664												
1665		665												
1666		666												415-185
1667		667												
1668		668												
1669		669												
1670		670	527											
1671		671												
1672		672												
1673		673	528	70			308						7-255	415-186
1674		674	530			755								
1675		675												
1676		676	531											475-132
1677		677	532	60	288		311						7-256	
1678		678												
1679		679												
1680		680												
1681		681	540											
1682		682	541											
1683		683	543				316							
1685		685	545											
1686		686	549											
1687		687	550											475-135
1688		688	551											
1689		689												
1690		690	553											
1691		691												
1693		693	555											
1694		694												
1695		695												
1696		696												
1697		697												
1698		698												
1699		699												
1700		700												
1701		701	561											415-203
1702		702												
1703		703												475-150
1704		704												
1705		705												
1706		706												
1707		707	566											415-202
1708		708												
1709		709	565				322							
1710		710	567											
1711		711												
1713		713	569			885	325							
1714		714	570				327							475-151
1715		715												
1716		716												
1717		717												
1718		718	571											
1719		719												
1720		720												
1721		721	572											
1722		722	573	75			330							
1723		723												
1726		726	577				332	41						
1728		728	579											
1729		729												
1730		730												
1731		731	581			913	333							475-154
1732		732												
1733		733												
1734		734	584											
1735		735	586											
1736		736												
1737		737												
1738		738												
1739		739	592											415-218
1740		740												
1741		741	593											
1742		742	594											
1743		743	596											
1744		744												
1745		745												
1746		746												
1749		749												
1750		750	601			918								
1751		751	600											
1752		752												
1753		753												
1754		754												
1755		755												
1756		756												415-222
1757		757												
1758		758												
1759		759												475-160
1760		760	604				344	4						
1761		761												
1762		762												
1763		763	606											415-382
1764		764	608				347							475-170
1765		765	607		299	969								
1766		766	609											475-173
1767		767												
1768		768	610											
1769		769												
1770		770												
1771		771	611											
1772		772												
1773		773												
1774		774												
1775		775	613											
1776		776	614				350							
1777		777	615											415-235
2001				1	204									
2002				2	206									
2003				3	207									
2004				4	209									
2005				5	208									
2007				7										
2008				8										
2009				9										
2010				10	228		56							
2011				11	222		44						7-084	414-039
2012				12	226		54						7-088	414-1021
2013				13										
2014				14	233		76						7-105	
2015				15	231								7-094	
2016				16	229		68						7-101	
2017				17	234								8-056	357-174
2018				18										
2020				20										
2021				21										
2022				22	235									
2025				25	247		125						7-142	414-151
2026				26	251		137						7-147	
2027				27										
2028				28										
2029				29										
2031				31										
2032				32										
2033				33	259		173						7-177	
2038				38										
2040				40			216						7-204	415-794
2043				43			146							
2044				44										
2045				45										
2046				46	254								8-057	
2047				47										
2057				57	275	486	252						7-229	
2058				58										
2059				59	271		237						7-216	
2064				64	289		313						7-259	415-1292
2065				65	291		324							415-200
2066				66	290								8-063	358-413
2067				67	282									
2071				71	278		268						7-237	415-121
2072				72			251							415-109
2073				73										
2074				74										
2077				77			339							415-1399
2078				78	293								8-050	
2079				79	294		334							
2080				80	311		393							
2081				81	316									475-254
2083				83	304	1151	379							
2084				84	306									
2085				85	309									358-493
2086				86			351							
2087				87			357							
2088				88	314								8-070	
2089				89										
2090				90	319								8-065	415-1950
2091				91	332									
2092				92	328									416-035
2093				93	330									359-020
2094				94										
2095				95	331									416-043
2096				96										
2097				97	338									
2098				98										
2099				99	335									
2100				100	340									
2101				101	344									
2102				102	342									
2103				103										
2104				104	348									
2105				105										
2106				106										
2108				108	350									
2109				109	353									
2110				110										
2111				111	355									
2112				112										
2113				113										
2114				114										
2115				115										
2116				116	358									
2117				117										
2118				118	303									
2119				119	326									
3201					201									
3202					202									
3203					203									
3205					205									
3210					210									
3280					280									
3296					296									
3307					307									
3313					313									
3333					333									
3334					334									
3336					336									
3337					337									
3339					339									
3341					341									
3343					343									
3345					345									
3346					346									
3347					347									
3349					349									
3352					352									
3354					354									
3356					356									
3357					357									
3359					359									
3360					360									
3361					361									
3501								1						
3503								3						475-1273
3504								4						
3506								6						
3519								19						
3527								27						
3533								33						
3534								34						
3536								36						475-1210
3539								39						
3542								42						
3544								44						
3547								47						
3548								48						
3552								52						
3563								63						
3565								65						
3567								67						
3568								68						
3569								69						
3571								71						
3572								72						
3574								74						
3578								78						
3579								79						
3581								81						
3587								87						
3590								90						
3591								91						475-855
3592								92						475-843
3593								93						
3595								95						
3600								100						
3604								104						
3608								108						
3610								110						
3611								111						475-755
3613								113						475-743
3617								117						475-734
3618								118						475-715
3620								120						
3625								125						
3628								128						
3632								132						
3634								134						
3638								138						
3641								141						
3642								142						
3645								145						475-192
3647								147						
3648								148						
3654								154						
3655								155						
3656								156						
3657								157						
3658								158						474-547
3660								160						
3661								161						
3662								162						
3666								166						
3669								169						
3670								170						
3676								176						
3677								177						
3681								181						
3682								182						
3684								184						475-449
3687								187						475-432
3690								190						
3691								191						475-414
3696								196						
3698								198						
3701								201						
3702								202						
3704								204						
3706								206						
3707								207						475-339
3710								210						
3714								214						
3716								216						
3720								220						
3721								221						414-2135
3722								222						474-1992
3729								229						414-2074
3734								234						
3735								235						474-280
3736								236						
3737								237						
3739								239						
3744								244						
3746								246						
3748								248						
3749								249						
3753								253						
3759								259						
3760								260						414-1878
3764								264						414-1854
3768								268						
3770								270						
3771								271						474-1762
3772								272						
3773								273						
3777								277						
3778								278						
3779								279						
3781								281						414-1729
3782								282						
3785								285						
3787								287						414-1670
4009														414-025
4011														357-160
4013														414-167
4014														415-543
4015														358-134
4016														358-534
4018														415-688
4019														358-242
4021														358-250
4022														358-268
