No	Mag	X	Y
--	---	-	-
0001	7.40	-6430.96	-2871.82
0002	7.78	-6418.35	-2858.84
0003	8.32	-4868.10	1714.42
0003	10.75	-4868.10	1714.42
0004	8.88	-4579.97	3035.23
0005	9.36	-4214.38	2125.93
0006	5.97	-2917.09	578.39
0007	8.98	-2750.82	452.59
0008	6.38	-2419.35	-1982.48
0009	8.67	-2233.24	1664.78
0010	7.85	-1787.40	-45.07
0011	6.02	-1666.69	-241.16
0013	6.62	-1386.26	931.59
0014	5.72	-1398.64	-3764.45
0015	8.09	-1039.56	2800.17
0016	7.05	-1045.63	2388.93
0017	8.46	-1081.66	-442.74
0018	8.06	-1087.39	-1233.64
0019	7.12	-1083.22	-1862.17
0020	6.33	-961.51	-164.29
0021	9.14	-875.91	2188.10
0022	8.31	-794.50	392.27
0023	7.53	-759.35	863.67
0024	5.65	-722.82	2066.80
0025	9.60	-738.67	82.38
0027	8.46	-666.07	599.34
0028	3.64	-611.58	-84.48
0029	6.88	-600.24	237.78
0030	5.60	-598.87	-658.07
0031	7.47	-570.88	1215.53
0032	6.13	-553.77	1038.38
0033	5.25	-542.11	-276.51
0034	6.17	-519.13	-719.90
0035	6.80	-458.70	1869.43
0036	6.80	-459.10	920.30
0037	6.61	-458.10	-523.82
0038	5.72	-416.58	-643.56
0039	7.85	-356.44	333.95
0040	6.99	-356.60	-290.80
0041	3.76	-339.36	604.65
0042	8.86	-303.37	1991.82
0043	9.40	-301.77	1368.38
0044	7.19	-291.73	3098.30
0045	5.64	-297.52	328.87
0046	9.12	-287.55	-429.74
0047	4.80	-239.23	569.38
0048	7.13	-229.91	2121.74
0049	8.24	-228.97	185.78
0050	7.62	-229.35	-398.12
0051	6.97	-215.27	437.81
0052	7.80	-206.85	368.15
0053	5.98	-167.69	1145.61
0054	4.22	-135.59	2325.36
0055	5.26	-131.46	2290.72
0056	4.30	-120.03	743.83
0057	6.46	-106.79	28.28
0058	7.91	-89.61	1081.66
0059	7.49	-65.08	-121.77
0060	4.28	-57.16	2514.99
0061	7.35	-63.87	-3902.38
0062	7.38	-56.15	2025.50
0063	8.07	-40.23	357.05
0064	8.13	-17.25	318.63
0065	7.42	65.05	-97.77
0066	7.50	86.91	-1486.93
0067	5.72	86.96	2080.69
0068	5.89	135.00	-402.54
0069	8.64	143.02	1399.72
0070	3.53	144.85	1197.32
0071	3.85	148.62	37.35
0072	3.40	155.91	4.37
0073	7.85	164.86	513.91
0074	5.03	178.57	-1012.84
0075	7.38	184.52	108.24
0076	9.19	199.43	3940.17
0077	7.05	210.47	607.71
0078	6.91	224.43	722.48
0079	8.95	225.82	733.30
0080	5.59	284.73	-78.66
0081	7.11	285.91	1437.03
0082	4.78	319.99	121.92
0083	5.48	329.45	-58.67
0084	5.40	332.64	-767.71
0085	6.51	338.81	105.80
0086	7.04	371.53	-1842.05
0087	8.58	366.06	1543.65
0088	7.78	408.17	-702.48
0089	6.02	433.17	0.08
0090	6.38	493.68	-3801.87
0091	8.93	516.55	56.44
0092	8.66	531.48	-10.67
0093	9.41	582.22	329.49
0094	6.62	611.36	-935.13
0095	4.65	609.53	-360.67
0096	8.51	620.17	-245.90
0097	7.93	671.25	-122.39
0098	9.23	633.24	4469.79
0099	9.38	800.84	-55.67
0100	6.03	789.98	2718.36
0101	6.65	850.72	11.55
0102	7.54	929.21	-247.59
0103	5.78	977.18	73.21
0104	4.27	1001.54	-1197.81
0105	7.53	990.11	2653.03
0107	5.39	1116.07	-2886.18
0108	4.68	1076.11	33.15
0109	9.40	1092.44	2712.67
0110	8.85	1149.36	2900.07
0111	5.40	1567.13	-1682.38
0112	5.37	1705.13	-1476.73
0113	7.25	1796.64	-2455.20
0114	8.54	1777.32	897.41
0115	9.07	1838.34	1932.17
0116	9.00	1895.85	1039.80
