No	Mag	X	Y
--	---	-	-
0009	11.39	-3017.80	272.01
0016	9.25	-2809.02	-299.12
0023	11.29	-2678.59	420.33
0027	11.44	-2581.61	41.84
0030	11.40	-2517.59	1757.74
0031	9.79	-2442.63	-450.82
0032	11.65	-2441.79	-252.80
0034	9.50	-2434.64	-1891.01
0038	8.76	-2365.31	1169.00
0040	7.84	-2313.08	160.69
0045	8.25	-2259.72	-613.57
0047	9.87	-2236.89	-1999.82
0048	12.33	-2173.82	-319.88
0049	10.66	-2176.03	-901.92
0050	6.75	-2178.36	-1513.97
0052	12.28	-2166.39	-2090.10
0055	11.41	-2127.53	736.01
0058	11.26	-2098.09	1077.92
0060	12.92	-2105.69	-986.19
0070	11.81	-2023.16	-1628.54
0079	12.11	-1886.87	1077.18
0090	10.90	-1781.19	-1161.29
0100	10.55	-2490.53	1511.59
0114	8.14	-1464.41	1087.92
0124	9.00	-1327.66	-676.47
0127	10.80	-1280.68	1369.49
0141	12.39	-1102.88	-1300.97
0142	9.31	-1100.12	133.06
0143	8.31	-1098.21	1123.09
0146	9.39	-1069.26	1543.05
0150	7.45	-1058.13	-41.03
0154	8.50	-1016.34	-341.09
0155	9.42	-1001.68	-35.12
0162	10.58	-962.76	-2057.28
0164	11.31	-942.07	1884.85
0172	12.53	-831.43	624.61
0181	10.47	-791.16	-821.46
0182	10.32	-717.75	1374.48
0183	12.64	-733.14	354.47
0184	11.68	-734.58	-767.54
0196	10.74	-638.04	-2915.86
0198	12.63	-593.40	-887.71
0203	7.73	-548.78	1434.29
0204	6.67	-549.84	330.26
0207	7.67	-509.16	-1481.81
0208	10.66	-494.73	-1151.79
0209	12.74	-479.20	504.20
0212	6.59	-423.59	-527.84
0213	11.84	-423.56	-491.84
0217	10.23	-395.92	-1349.88
0218	9.40	-392.81	3144.39
0222	10.11	-365.90	1362.13
0224	7.32	-352.97	-485.90
0226	8.89	-323.49	1698.13
0227	9.49	-325.45	-1757.95
0229	7.54	-324.75	-521.91
0232	9.23	-309.67	1236.10
0236	11.94	-296.46	-431.93
0237	12.88	-296.44	-395.93
0238	10.30	-281.92	432.07
0239	9.67	-281.33	1614.11
0244	10.20	-255.02	-2478.06
0246	12.06	-239.67	348.05
0253	6.39	-211.17	1152.05
0256	12.64	-198.32	-2382.07
0257	11.01	-197.97	-1367.99
0258	10.25	-197.78	-839.97
0263	11.98	-155.24	-233.97
0265	6.61	-140.81	1020.03
0267	13.19	-98.69	330.01
0268	9.89	-112.89	-173.99
0271	8.81	-84.48	1104.02
0272	12.70	-70.43	822.01
0275	9.96	-42.29	360.00
0276	7.54	-42.36	-558.00
0279	7.70	0.00	0.00
0282	10.08	14.07	1512.03
0284	6.78	-14.14	-1218.01
0286	8.02	28.19	534.00
0288	10.69	28.25	-798.01
0292	8.18	70.31	1782.05
0293	9.89	70.63	-756.00
0295	9.37	70.53	0.01
0297	11.64	98.40	2256.10
0299	13.22	98.81	-113.99
0300	6.30	84.72	-509.99
0301	11.17	99.05	-1470.02
0304	11.52	140.65	1854.07
0309	11.63	155.06	588.03
0313	12.20	183.49	-191.97
0318	8.65	169.85	-1770.02
0322	10.87	268.10	-59.94
0323	7.80	268.85	-1649.97
0325	10.61	311.30	-1667.95
0326	11.34	310.63	-431.91
0328	6.85	310.33	120.08
0332	9.55	367.69	-1355.90
0334	11.02	380.99	-95.87
0335	11.03	380.36	846.13
0336	11.46	396.98	-2820.05
0340	8.48	435.75	2088.24
0341	10.30	452.04	-731.82
0344	12.09	478.92	894.21
0348	6.78	494.11	-383.79
0349	12.23	507.73	174.23
0353	12.35	575.60	2778.47
0363	12.43	664.06	-863.63
0365	10.18	665.63	-2213.71
0367	10.71	690.54	606.43
0368	11.52	704.79	480.45
0370	9.04	704.74	516.44
0371	10.11	692.04	-635.59
0375	8.33	746.59	846.50
0377	6.73	743.97	2844.69
0385	7.92	820.43	-1529.45
0390	12.96	893.03	-2705.49
0392	10.72	915.53	930.75
0396	9.88	931.97	-515.24
0399	10.93	958.98	216.81
0401	12.97	992.63	-2927.37
0403	11.71	1028.04	1020.95
0411	9.32	1075.88	-1955.07
0415	13.09	1117.47	-1510.96
0416	9.59	1142.92	-88.86
0418	10.47	1166.95	1951.29
0421	10.17	1202.33	-1504.79
0428	6.90	1254.10	679.39
0429	8.53	1294.04	1705.55
0430	12.04	1279.91	1735.52
0432	11.05	1340.21	13.57
0434	11.41	1329.71	-1540.52
0439	9.48	1389.30	-2782.55
0445	7.96	1497.99	-982.07
0446	13.22	1547.34	1658.19
0448	12.15	1569.98	-1467.92
0449	7.96	1573.38	-2704.08
0454	9.88	1622.39	14.30
0458	9.71	1675.13	1268.52
0459	9.23	1687.66	1790.60
0460	12.10	1716.48	1562.67
0466	10.99	1865.64	-1035.01
0471	12.15	1981.99	-1982.73
0472	9.77	1976.88	-506.60
0474	12.12	2018.23	-218.45
0476	11.62	2010.72	-2102.65
0478	9.74	2032.89	-374.40
0488	11.44	2247.98	2356.69
0492	12.13	2292.94	-1855.57
0495	9.97	2345.57	-883.26
0496	9.63	2365.20	-2215.35
0498	11.78	2400.80	-565.00
0508	10.77	2538.13	311.67
0532	12.57	-3486.32	-235.40
0533	11.58	-3445.71	-523.68
0534	7.55	-3442.43	2350.85
0535	12.65	-3276.12	1947.73
0536	9.49	-3273.96	-2601.12
0537	11.65	-3039.09	1568.31
0538	8.68	-3006.19	-2896.63
0540	11.03	-2670.47	2148.53
0541	10.66	-2371.41	-3721.76
0542	11.72	-1881.48	2703.38
0543	11.45	-1781.73	3171.16
0544	12.44	-1374.66	3242.00
0546	11.62	198.80	-3642.35
0547	11.99	255.55	-3552.30
0551	12.67	3048.42	-2836.39
0559	14.01	-1578.33	626.20
0560	13.97	-1195.39	1777.33
0561	14.41	-1097.91	1279.09
0563	16.11	-1001.01	348.88
0566	14.94	-928.84	1380.79
0569	15.20	-620.18	468.34
0570	15.35	-563.17	1104.29
0573	16.06	-98.71	228.00
0574	13.63	676.10	894.41
0575	14.29	760.12	1266.53
0577	14.68	871.60	2028.75
1133	6.58	-4263.72	-350.17
1166	7.56	-3892.12	301.33
1751	13.78	-1087.40	-598.98
2183	13.55	832.61	-185.39
2233	13.57	1087.44	-592.98
2236	9.68	1093.57	3553.45
3012	13.67	-2331.59	-919.32
3105	16.82	-2591.88	-5377.82
3132	14.59	-1578.33	626.20
3137	14.16	-962.76	-2057.28
3138	15.92	-2456.75	-450.75
3143	16.92	-919.30	-1445.30
3144	13.75	-901.88	630.72
3153	16.73	-2442.66	-456.81
3155	16.47	-269.19	-2472.06
3164	14.22	-1242.35	-418.66
3165	15.12	-1495.32	-5399.44
3172	13.79	-1171.46	-268.80
3200	16.11	-3297.75	639.62
3212	15.20	-156.43	-4626.75
3242	16.51	-6447.16	-4839.18
3245	16.38	-3212.17	819.15
3277	14.38	-622.36	-1535.70
3342	14.43	-282.81	-1361.95
3401	12.97	-42.19	1812.05
3427	12.90	84.89	-1686.03
3609	14.17	1076.11	-2081.09
3635	13.67	1243.26	-814.67
3637	14.50	1259.47	-1762.69
3658	13.23	1364.81	1519.69
3695	13.70	1584.76	-1695.90
3698	13.50	1598.37	-1503.84
3706	14.26	1618.27	1466.37
3733	13.99	1899.09	1647.27
3774	13.67	2326.23	394.77
3777	13.33	2355.59	112.87
6391	13.92	-84.76	-822.00
6556	14.23	734.26	-521.53
