No	Mag	X	Y
--	---	-	-
0001	13.16	-296.46	-142.04
0002	13.23	-294.95	-124.04
0003	10.90	-295.22	-175.05
0004	12.01	-294.73	-81.44
0005	12.40	-293.37	-91.05
0006	12.38	-289.50	-161.88
0007	12.95	-289.20	-104.87
0008	12.77	-283.27	-46.69
0009	11.39	-277.80	-81.52
0010	12.83	-278.45	-211.74
0011	12.28	-273.24	-13.74
0012	12.79	-266.31	-35.97
0013	12.56	-262.64	-157.20
0014	11.66	-261.40	-194.41
0015	11.22	-262.96	-226.21
0016	9.22	-256.91	-138.63
0017	12.85	-257.08	-176.43
0018	12.22	-254.72	32.38
0019	13.50	-252.30	-54.64
0020	11.40	-247.55	63.55
0021	12.99	-245.32	-71.47
0022	12.06	-247.45	-234.08
0023	11.29	-243.90	-67.28
0024	13.19	-246.10	-249.69
0025	13.36	-241.72	-217.30
0026	12.24	-238.62	-152.51
0027	11.44	-234.18	-104.52
0028	12.58	-229.21	75.47
0029	13.25	-230.41	-216.75
0030	11.40	-227.84	67.07
0031	9.79	-220.27	-153.78
0032	11.65	-220.19	-133.98
0033	12.86	-217.21	-93.79
0034	9.50	-219.41	-297.81
0035	12.29	-216.63	56.22
0036	11.86	-214.88	-221.61
0037	12.70	-212.53	23.80
0038	8.70	-212.59	8.20
0039	12.32	-213.83	-317.64
0040	7.80	-207.33	-92.62
0041	13.29	-205.59	-2.62
0042	12.30	-206.20	-169.44
0043	10.76	-204.48	-84.83
0044	10.60	-201.65	-82.44
0045	8.26	-201.97	-170.05
0046	13.52	-196.71	119.75
0047	9.87	-199.63	-308.69
0048	12.31	-193.39	-140.68
0049	10.66	-193.59	-198.88
0050	6.75	-193.80	-260.09
0051	12.53	-192.49	-290.70
0052	12.28	-192.59	-317.71
0053	13.06	-192.59	-318.31
0054	11.16	-188.30	114.32
0055	11.41	-188.80	-35.09
0056	11.95	-187.68	-122.09
0057	13.51	-185.72	45.91
0058	11.27	-185.87	-0.89
0059	13.82	-184.66	-61.50
0060	12.92	-186.56	-207.31
0061	12.67	-187.10	-372.95
0062	13.60	-180.07	51.89
