Description	Param
-----------	-----
Cluster number (IAU)	C0837+201
Old Cluster 	NGC
notation	2632
OCL number/Lund number	507   468
Right ascension (1950.0)	8 37.2
Declination (1950.0)	+20 10
10 year prec. RA/Dec	.57 -2.0
Galactic longitude	205.54
Galactic latitude	32.52
Sky survey	POSS
Chart type and number	O 1311
Centre of chart (RA,Dec)	8 24  18
Pos. on chart x,y mm	70   304
Tr. cl. (ref. 19/320=a/b)	II 3 m  :b
Membership (320)	50
Angular diameter (320)	70
Selected angular diameter	95 ( 315)
Distance, weight 	187
Distance, reference	180 ( 232)
E(B-V), v=var.	0.009
Turn-off col.,weight (jdl)	.15  w= 5
Derived log(age)	8.863
log(age), reference	8.82 ( 337)
Fe/H (jdl)	+0.14
Radial velocity, weight	33  w= 4
References	209 /
used by	
Janes, Duke	
and Lynga (jdl)	
Number of member	9  Am stars
stars with	
peculiar	
spectral	
types	
References for	108 /  54
peculiar	47 / 391
 stars	
Total V magnitude	3.1 ( 422)
Integrated B-V (422)	.36
Number of obs. stars (422)	161
Richness class (265)	4
Earliest sp. cl. (50,37)	A 0  A 0
Mag of brightest star (50)	6.0
Galactic R and z	8620   84
Linear diameter	5.0
Comment	D
