No	Rem
--	---
0016	SB1  AJ 73, 6 /  SB2, AA 352, 479 /
0040	SB1  AJ 73, 6 / Triple, ApJ 521, 682 / Triple, AA 354,881 /
0040	SP(K,H,M) A4-A8-F2  PASP 98,307 /
0045	Delta Scuti var,  APJ 162,597 /
0045	IDS 08320N1952A / BR CNC /
0047	SB1, AA 352, 479 / Orbit /
0050	SB2, orbit, ApJ 521, 682 /
0055	SB1, AA 352, 479 / Orbit / Non member /
0079	Double, sep=0".174, DK=1.58 mag, AA 375, 989 /
0090	Double, sep=0".184, DK=1.02 mag, AA 375, 989 /
0100	Double, sep=1".03, DK=5.70 mag, AA 375, 989 /
0114	CY CNC / Delta Scuti var, AN 294,1 /
0127	SB1, AA 352, 479 / Orbit /
0142	IDS 08334N1962C / SB2  MNRAS 137,303 /
0146	SB1  AJ 73, 6 /
0150	IDS 08334N1962A / RV var  APJ 111,232 /
0154	BS CNC / Delta Scuti var,  APJ 162,597 /
0155	IDS 08334N1962B /
0164	Double, sep=0".256, DK=2.76 mag, AA 375, 989 /
0181	SB1, AA 352, 479 / Orbit /
0184	SB2, AA 352, 479 / Orbit /
0198	Double, sep=1".1253, DK=2.35 mag, AA 375, 989 /
0203	IDS 08340N2026  0.4 0.9 /
0203	Double, sep=0".499, DK=0.80 mag, AJ 123, 1570 /
0203	SP(K,H,M) A7-F0-F0  APJS 69,301 /
0204	38 CNC /
0204	BT CNC / Delta Scuti var, APJ 162,597 /
0207	BU CNC / Delta Scuti var, APJ 162,597 /
0212	IDS 08342N1954D / ADS 6915D /
0212	Double, sep=0".80, DK=4.5 mag, AJ 123, 1570 /
0224	IDS 08342N1954AB 1.4 5.0 / ADS 6915AB /
0224	Double, sep=0".96, DK=2.30 mag, AJ 123, 1570 /
0224	SB2  MNRAS 137,303 /
0224	SP(K,H,M) A5-A6-F0  PASP 98,307 /
0229	IDS 08342N1954C / ADS 6915C /
0229	SB2  MNRAS 137,303 / BATTEN 352 /
0229	SP(K,H,M) A3-A7-F0  PASP 98,307 /
0232	IDS 08344N2022P /
0232	Double, sep=0".27, DK=2.5 mag, AJ 123, 1570 /
0244	SB2  APJ 183,133 / BATTEN 353 /
0244	TX CNC / eclipsing binary, W UMa type /
0244	colours at maximum light /
0246	SB1, AA 352, 479 /
0250	Double, sep=0".90, DK=2.90 mag, AJ 123, 1570 /
0250	Double,  sep=12".0 DM=5.2  APJ 116, 640 /
0253	IDS 08344N2022A / HR 3427, 39 CNC /
0258	SB1, AA 352, 479 / Orbit / Non member /
0265	IDS 08344N2022C / 40 CNC /
0265	Si,  PASP 98,307 /
0265	blue straggler, AAP 109,37 /
0265	Si, ApJ 294, L103 /
0268	IDS 08344N2022R /
0268	SB1, AA 352, 479 / Orbit /
0271	IDS 08344N2022Q /
0275	Double, sep=0".21, DK=0.02 mag, AA 375, 989 /
0275	Double, sep=0".198, DK=0.06 mag, AJ 123, 1570 /
0276	IDS 08348N1954B /
0276	SP(K,H,M) A3-A5-F0  PASP 98,307 /
0279	IDS 08346N1961C / ADS 6921C /
0279	SB1, AA 354,881 /
0279	SP(K,H,M) A2-A5-F0  ApJS 70,623 /
0279	SP(K,H,M) A4-A7-F2  PASP 98,307 /
0282	Double, sep=0".383, DK=4.0 mag, AJ 123, 1570 /
0283	IDS 08346N1961A / ADS 6921A / HR 3428 /
0284	Delta Scuti var, IBVS 4106 /
0284	Double, from lunar occultations  AJ 98, 2156 /
0284	Double, sep=0".104, DK=1.7 mag, AJ 123, 1570 /
0284	SB2, orbit, ApJ 521, 682 /
0287	IDS 08346N1961B /
0287	Double, sep=1".798, DK=5.13 mag, AA 375, 989 /
0287	SB1, AA 352, 479 / Orbit /
0292	BQ CNC / Delta Scuti var, APJ 162,597 /
0292	SB2  APJ 111,221 /
0295	IDS 08346N1961D / ADS 6921D /
0297	Double, sep=0".126, DK=0.56 mag, AA 375, 989 /
0297	SB1, AA 352, 479 /
0300	IDS 08348N1954A / HR 3429, EPS CNC /
0300	SB1, orbit, ApJ 521, 682 /
0300	SP(K,H,M) A3-A5-F0  ApJS 70,623 /
0300	SP(K,H,M) A5-A6-F0  PASP 98,307 /
0318	BV CNC / Delta Scuti var,  AN 294,1 /
0322	Double, sep < 0".09, DK~0.5 mag, AA 375, 989 /
0322	SB1, AA 352, 479 /
0323	BN CNC / Delta Scuti var,  APJ 162,597 /
0325	SB1, AA 352, 479 / Orbit /
0328	SB  MNRAS 121,503 / 42 CNC /
0334	Double, sep=0".091, DJ=1.14 mag, AA 375, 989 /
0340	BW CNC / Delta Scuti var,  APJ 162,597 /
0341	SB1, AA 352, 479 /
0348	Delta Scuti var,  IBVS 3324 /
0350	SP(K,H,M) A7-A8-F0  PASP 98,307 /
0350	Double, 12. 6.3  APJ 116,640 / SB2, AJ 73, 6 /
0365	Double, sep=0".373, DJ=0.87 mag, AA 375, 989 /
0365	Double, sep=0".340, DK=0.80 mag, AJ 123, 1570 /
0365	SB ApJ 376, 514 / Triple,  AA 283, 515 /
0367	SB2, AA 283, 515 / Triple /
0368	SB1, AA 352, 479 / Orbit /
0375	SB  APJ 116,640 /
0377	IDS 08355N2050  0".4 1.5 / ADS 6930 / SB /
0385	Double, sep=2".14, DK=1.51 mag, AJ 123, 1570 /
0385	IDS 08356N1937  2".1 1.8 / ADS 6931 /
0385	SB2  APJ 111,221 / Delta Scuti var, APJ 162,597 /
0399	SB1, AA 352, 479 /
0401	Triple, AB, sep=1".688, DK=2.30 mag, AA 375, 989 /
0401	Triple, AC, sep=1".776, DK=5.4 mag, AA 375, 989 /
0407	long-preriod variable  APJ 116,640 /
0412	Double, from lunar occultations  AJ 98, 2156 /
0416	SB1, AA 352, 479 / Orbit /
0428	SB1, orbit, AA 219, 125 /
0428	SB1, orbit, AA 485, 303 /
0434	SB1, AA 352, 479 / Orbit /
0439	SB1, AA 352, 479 / Orbit /
0445	BX CNC / Delta Scuti var,  APJ 162,597 /
0449	BY CNC / Delta Scuti var,  APJ 162,597 /
0458	Double, sep=0".279, DK=0.66 mag, AJ 123, 1570 /
0458	IDS 08366N2024  0.2 0.1 /
0466	Double, sep=2".184, DK=3.87 mag, AA 375, 989 /
0488	Double, sep=1".263, DK=4.65 mag, AA 375, 989 /
0495	Double, sep=0".072, DH=0.03 mag, AA 375, 989 /
0495	SB2 AA 283, 515 / Triple /
0496	SB1, AA 352, 479 /
0508	SB1, AA 352, 479 / Orbit /
